"","age1.R","age2_no_comorbid.R","age2_comorbid.R","age3_no_comorbid.R","age3_comorbid.R"
"243",2,2,0,0,0
"244",622,566,55,19,14
"245",644,592,59,18,15
"246",635,619,64,19,14
"247",653,617,75,14,26
"248",1,5,1,0,0
"249",644,584,58,21,20
"250",634,583,64,15,15
"251",649,575,53,15,21
"252",0,1,0,0,0
"253",1,2,0,0,0
"254",1,2,0,0,0
"255",643,595,68,20,14
"256",0,1,0,0,0
"257",669,565,56,23,15
"258",1,1,0,0,0
"259",619,534,60,17,21
"260",625,561,51,17,17
"261",655,611,65,20,21
"262",658,610,67,14,18
"263",0,0,0,0,0
"264",0,1,0,0,0
"265",0,2,0,0,0
"266",651,631,68,17,16
"267",646,573,52,17,9
"268",630,607,65,12,20
"269",615,539,59,14,14
"270",0,2,0,0,0
"271",638,540,67,15,17
"272",626,587,69,21,19
"273",0,0,0,0,0
"274",627,540,56,19,7
"275",593,495,55,17,12
"276",0,1,0,0,0
"277",0,1,0,0,0
"278",3,2,0,0,0
"279",0,1,0,0,0
"280",608,546,60,19,17
"281",638,561,69,19,15
"282",655,568,66,17,18
"283",0,1,0,0,0
"284",618,562,49,19,13
"285",1,1,0,0,0
"286",659,569,64,17,13
"287",614,581,53,17,16
"288",646,574,77,20,13
"289",0,1,0,0,0
"290",0,1,0,0,0
"291",631,536,65,18,15
"292",641,583,60,15,23
"293",642,609,69,23,18
"294",0,1,0,0,0
"295",628,575,61,12,18
"296",647,588,60,19,10
"297",645,599,69,20,20
"298",645,609,59,19,21
"299",0,1,0,0,0
"300",652,568,59,19,15
"301",627,594,57,19,11
"302",635,552,54,19,15
"303",654,580,58,18,14
"304",624,585,62,20,11
"305",0,1,0,0,0
"306",3,1,0,0,0
"307",644,614,59,22,13
"308",604,546,55,17,18
"309",639,595,60,25,21
"310",0,1,0,0,0
"311",647,602,51,18,17
"312",0,1,0,0,0
"313",0,1,0,0,0
"314",651,575,60,18,20
"315",0,1,0,0,0
"316",0,1,0,0,0
"317",0,1,0,0,0
"318",637,548,59,14,22
"319",639,567,63,22,14
"320",665,602,61,16,17
"321",619,542,54,16,13
"322",645,583,62,21,18
"323",0,1,0,0,0
"324",652,572,67,18,19
"325",0,1,0,0,0
"326",0,1,0,0,0
"327",610,590,52,13,20
"328",0,1,0,0,0
"329",616,566,60,13,15
"330",650,573,62,16,20
"331",637,560,61,18,16
"332",601,531,66,13,17
"333",645,572,51,15,8
"334",666,597,76,22,23
"335",1,1,0,0,0
"336",0,1,0,0,0
"337",655,592,68,18,25
"338",0,1,0,0,0
"339",2,2,0,0,0
"340",627,528,61,12,18
"341",612,567,64,16,13
"342",645,545,61,23,17
"343",0,1,0,0,0
"344",632,599,46,21,21
"345",630,598,59,15,11
"346",641,581,63,26,15
"347",0,1,0,0,0
"348",665,612,77,16,16
"349",627,581,55,16,13
"350",621,571,66,21,13
"351",0,1,0,0,0
"352",665,600,60,18,19
"353",621,550,56,15,9
"354",1,1,0,0,0
