"","age1_orange.R","age1_green.R","age2_no_comorbid_orange.R","age2_no_comorbid_green.R","age2_comorbid_green.R","age3_no_comorbid_green.R","age3_comorbid_green.R"
"2246",2,0,2,0,0,0,0
"2247",705,56,740,74,75,22,25
"2248",728,58,751,71,84,28,24
"2249",709,0,765,0,1,0,0
"2250",717,0,740,0,0,0,0
"2251",713,57,748,83,91,30,28
"2252",722,55,768,69,75,26,25
"2253",725,57,766,77,83,28,16
"2254",720,58,773,82,89,30,25
"2255",714,57,761,74,88,26,22
"2256",718,59,765,79,85,27,25
"2257",722,0,775,0,0,1,0
"2258",714,61,756,71,85,26,22
"2259",714,1,748,1,0,0,1
"2260",703,59,779,80,80,22,21
"2261",700,60,765,86,86,29,25
"2262",724,58,756,77,85,27,26
"2263",711,0,755,0,0,0,0
"2264",1,0,0,0,0,0,0
"2265",720,59,747,80,82,23,26
"2266",718,60,762,72,84,25,14
"2267",721,55,768,77,90,20,21
"2268",0,0,1,0,0,0,0
"2269",717,60,755,80,84,27,20
"2270",722,0,746,0,0,0,0
"2271",712,58,765,76,81,22,19
"2272",723,60,771,81,69,20,26
"2273",717,59,745,72,80,24,22
"2274",719,0,762,0,0,0,0
"2275",720,0,763,0,0,0,0
"2276",709,1,765,0,0,0,1
"2277",719,0,783,0,0,0,0
"2278",0,0,1,0,0,0,0
"2279",720,0,767,0,0,0,0
"2280",715,1,753,0,0,0,0
"2281",717,61,760,77,81,23,18
"2282",0,0,1,0,0,0,0
"2283",715,4,762,2,4,1,1
"2284",712,60,744,77,82,35,31
"2285",720,56,749,77,71,25,24
"2286",707,58,749,79,87,28,24
"2287",715,55,756,72,86,25,19
"2288",717,59,750,80,95,28,23
"2289",711,57,749,82,75,26,23
"2290",716,54,761,73,75,23,25
"2291",721,0,763,0,0,0,0
"2292",702,56,760,74,88,26,16
"2293",722,60,765,71,84,32,26
"2294",717,60,750,79,82,31,18
"2295",715,0,764,0,0,0,0
"2296",721,54,740,74,76,20,23
"2297",727,61,763,86,80,28,26
"2298",714,58,772,81,74,29,29
"2299",0,0,1,0,0,0,0
"2300",714,0,749,0,0,0,0
"2301",0,0,0,0,0,0,0
"2302",711,58,745,80,79,23,16
"2303",719,0,755,0,0,0,0
"2304",720,60,750,84,83,29,30
"2305",720,56,757,76,85,25,19
"2306",709,56,743,80,85,30,26
"2307",711,57,751,73,69,28,24
"2308",0,0,1,0,0,0,0
"2309",0,0,1,0,0,0,0
"2310",728,0,754,0,0,0,0
"2311",716,60,732,86,94,34,29
"2312",720,0,769,0,0,0,0
"2313",722,62,760,76,82,30,35
"2314",714,0,748,0,0,0,0
"2315",707,0,743,0,0,0,0
"2316",711,53,763,72,89,26,25
"2317",710,56,770,78,85,27,18
"2318",728,58,750,72,76,24,26
"2319",726,0,759,1,0,0,0
"2320",722,57,752,74,78,27,22
"2321",725,0,758,0,0,0,0
"2322",720,58,772,74,77,27,22
"2323",716,55,775,79,87,31,23
"2324",718,56,756,77,93,25,26
"2325",717,59,751,72,75,24,23
"2326",0,0,0,0,0,0,0
"2327",724,59,752,79,85,25,20
"2328",709,0,751,0,0,0,0
"2329",725,0,780,0,0,0,0
"2330",715,55,745,71,80,27,21
"2331",722,58,767,82,93,25,20
"2332",710,60,748,76,81,31,19
"2333",709,56,765,82,74,26,22
"2334",722,0,775,1,0,0,0
"2335",722,58,767,75,77,17,25
"2336",722,59,750,79,68,26,26
"2337",714,56,755,80,75,26,13
"2338",719,57,770,80,81,29,29
"2339",724,0,761,0,0,0,0
