"","age1_orange.D","age1_green.D","age2_no_comorbid_orange.D","age2_no_comorbid_green.D","age2_comorbid_green.D","age3_no_comorbid_green.D","age3_comorbid_green.D"
"184",26,0,51,0,0,0,0
"185",20,3,41,5,27,10,27
"186",29,3,51,3,21,8,39
"187",30,0,49,0,0,0,0
"188",27,1,48,4,29,11,33
"189",26,0,47,0,0,0,0
"190",29,0,51,0,0,0,0
"191",30,5,51,4,31,7,29
"192",24,2,46,5,32,6,40
"193",40,2,57,5,25,5,29
"194",33,0,46,0,0,0,0
"195",31,1,49,9,29,3,24
"196",30,4,32,5,28,6,40
"197",21,1,47,5,24,3,38
"198",0,0,0,0,0,0,0
"199",28,0,29,0,0,0,0
"200",32,4,36,3,34,14,30
"201",25,0,43,0,0,0,0
"202",21,0,43,0,0,0,0
"203",30,0,48,0,0,0,0
"204",34,4,42,6,33,7,28
"205",30,4,53,4,28,10,37
"206",0,0,0,0,0,0,0
"207",28,0,50,0,0,0,0
"208",0,0,0,0,0,0,0
"209",38,3,43,5,27,8,36
"210",29,0,56,0,0,0,0
"211",28,0,44,2,23,8,37
"212",31,1,45,3,20,4,41
"213",20,0,42,0,0,0,0
"214",25,0,36,0,0,0,0
"215",0,0,0,0,0,0,0
"216",33,2,47,4,27,7,33
"217",26,6,40,7,33,6,33
"218",21,3,38,4,24,11,39
"219",22,1,32,8,25,5,39
"220",0,0,0,0,0,0,0
"221",25,4,38,6,30,5,37
"222",21,2,39,5,24,6,35
"223",27,0,49,4,35,8,35
"224",29,0,45,2,32,11,38
"225",23,0,42,4,19,6,35
"226",34,0,50,0,0,0,0
"227",23,4,31,4,29,7,32
"228",15,2,48,2,31,9,40
"229",38,0,38,0,0,0,0
"230",25,0,49,0,0,0,0
"231",28,0,45,0,0,0,0
"232",0,0,0,0,0,0,0
"233",29,0,55,0,0,0,0
"234",31,0,33,0,0,0,0
"235",26,0,37,0,0,0,0
"236",29,1,47,5,23,9,25
"237",30,1,45,4,29,9,33
"238",19,0,44,0,0,0,0
"239",31,4,44,6,30,5,38
"240",29,2,33,6,23,6,26
"241",33,0,46,0,1,0,0
"242",0,0,0,0,0,0,0
"243",35,0,36,0,0,0,0
"244",23,0,31,0,0,0,0
"245",36,2,67,3,24,7,27
"246",19,1,44,5,19,3,29
"247",0,0,0,0,0,0,0
"248",32,0,35,0,0,0,0
"249",30,2,36,5,27,7,32
"250",26,3,35,3,32,6,35
"251",21,3,45,3,23,4,29
"252",29,3,43,3,29,10,24
"253",26,0,40,0,0,0,0
"254",33,4,43,6,28,2,31
"255",36,2,37,2,20,7,29
"256",0,0,0,0,0,0,0
"257",41,2,41,8,33,9,30
"258",19,3,35,7,32,9,31
"259",32,0,58,0,0,0,0
"260",36,0,46,0,0,0,0
"261",33,2,47,7,30,9,31
