"","age1_orange.P","age1_green.P","age2_no_comorbid_orange.P","age2_no_comorbid_green.P","age2_comorbid_green.P","age3_no_comorbid_green.P","age3_comorbid_green.P"
"1261",119,0,102,0,0,0,0
"1262",117,0,124,0,0,0,0
"1263",0,0,1,0,0,0,0
"1264",115,7,118,9,13,5,7
"1265",0,0,1,0,0,0,0
"1266",0,0,1,0,0,0,0
"1267",112,0,98,0,0,0,0
"1268",121,8,93,11,11,4,7
"1269",95,7,95,8,14,6,8
"1270",103,11,120,13,18,5,11
"1271",91,7,90,8,13,7,8
"1272",114,10,129,10,14,7,8
"1273",114,0,96,0,0,0,0
"1274",98,0,107,0,0,0,0
"1275",81,0,80,0,0,0,0
"1276",126,11,124,12,15,7,9
"1277",109,7,107,12,12,4,5
"1278",1,0,2,0,0,0,0
"1279",137,0,121,0,0,0,0
"1280",97,0,111,0,0,0,0
"1281",114,0,119,0,0,0,0
"1282",115,0,115,0,0,0,0
"1283",109,0,116,0,0,0,0
"1284",0,0,1,0,0,0,0
"1285",104,8,100,10,12,5,7
"1286",1,0,1,0,0,0,0
"1287",116,10,118,14,14,7,9
"1288",0,0,1,0,0,0,0
"1289",100,11,87,10,11,5,8
"1290",110,10,108,10,14,8,8
"1291",107,0,107,0,0,0,0
"1292",106,9,102,13,17,8,10
"1293",108,7,128,16,15,5,8
"1294",100,12,106,9,13,7,8
"1295",98,0,93,0,0,0,0
"1296",126,7,111,10,12,5,6
"1297",97,0,107,0,0,0,1
"1298",0,0,1,0,0,0,0
"1299",94,0,114,0,0,0,1
"1300",111,0,119,0,0,0,1
"1301",101,7,109,10,16,6,9
"1302",0,0,1,0,0,0,0
"1303",114,0,118,1,0,0,0
"1304",107,12,103,12,13,5,9
"1305",125,10,135,11,17,5,8
"1306",108,0,111,0,0,0,0
"1307",107,9,104,10,12,5,7
"1308",115,12,110,12,17,6,8
"1309",105,11,95,9,9,5,6
"1310",111,6,98,9,12,4,8
"1311",102,8,116,12,14,8,6
"1312",127,9,130,12,15,6,6
"1313",136,9,136,13,16,4,7
"1314",109,10,122,12,16,4,9
"1315",131,0,121,0,0,0,0
"1316",93,0,126,0,1,0,0
"1317",120,0,129,0,0,0,0
"1318",97,7,98,12,12,6,7
"1319",107,9,111,10,13,7,11
"1320",89,0,108,0,0,0,0
"1321",102,6,112,11,13,7,8
"1322",112,9,114,11,22,6,10
"1323",103,7,97,8,10,4,7
"1324",107,10,105,12,13,8,9
"1325",104,0,95,0,0,0,0
"1326",98,9,90,12,15,6,10
"1327",115,0,109,0,0,0,0
"1328",1,0,1,0,0,0,0
"1329",102,8,92,10,13,5,7
"1330",109,0,107,0,0,0,0
"1331",109,0,105,0,0,0,0
"1332",0,0,1,0,0,0,0
"1333",115,8,110,10,14,5,7
"1334",99,0,99,0,0,0,0
"1335",90,10,98,10,9,3,8
"1336",106,7,116,14,13,5,7
"1337",100,10,109,15,13,9,8
"1338",0,0,1,0,0,0,0
"1339",128,11,121,15,15,5,9
"1340",111,11,112,10,15,4,7
"1341",0,0,1,0,0,0,0
"1342",110,9,92,14,14,6,9
"1343",135,10,109,13,15,5,7
"1344",109,0,113,0,0,0,0
"1345",107,11,112,12,17,12,7
"1346",98,11,106,12,17,9,8
"1347",98,10,102,13,15,7,8
"1348",127,0,116,0,0,0,0
"1349",1,0,1,0,0,0,0
"1350",116,11,101,12,12,4,7
"1351",100,0,102,0,0,0,0
"1352",106,10,102,10,19,6,10
"1353",103,10,113,14,13,6,11
"1354",112,0,131,0,1,0,0
"1355",116,1,121,0,0,0,0
"1356",95,7,110,11,23,6,11
"1357",105,0,119,1,0,0,1
"1358",85,8,97,12,13,8,9
"1359",97,0,99,1,0,0,0
"1360",116,9,113,13,15,8,12
"1361",81,0,83,0,0,0,0
"1362",113,11,144,9,15,6,6
"1363",86,0,103,0,0,0,0
"1364",125,11,132,15,13,8,9
"1365",0,0,1,0,0,0,0
"1366",1,0,1,0,0,0,0
"1367",1,0,1,0,0,0,0
"1368",104,0,93,0,0,0,0
"1369",123,7,100,9,14,5,8
"1370",0,0,1,0,0,0,0
