"age1_orange"	"age1_green"	"age2_no_comorbid_orange"	"age2_no_comorbid_green"	"age2_comorbid_green"	"age3_no_comorbid_green"	"age3_comorbid_green"
"age1_orange"	0.994285714285714	0.00571428571428571	0.994285714285714	0.00571428571428571	0.00571428571428571	0.00571428571428571	0.00571428571428571
"age1_green"	0.0114285714285714	0.988571428571429	0.0114285714285714	0.988571428571429	0.988571428571429	0.988571428571429	0.988571428571429
"age2_no_comorbid_orange"	0.990476190476191	0.00952380952380952	0.990476190476191	0.00952380952380952	0.00952380952380952	0.00952380952380952	0.00952380952380952
"age2_no_comorbid_green"	0.019047619047619	0.980952380952381	0.019047619047619	0.980952380952381	0.980952380952381	0.980952380952381	0.980952380952381
"age2_comorbid_green"	0.019047619047619	0.980952380952381	0.019047619047619	0.980952380952381	0.980952380952381	0.980952380952381	0.980952380952381
"age3_no_comorbid_green"	0.0285714285714286	0.971428571428571	0.0285714285714286	0.971428571428571	0.971428571428571	0.971428571428571	0.971428571428571
"age3_comorbid_green"	0.0285714285714286	0.971428571428571	0.0285714285714286	0.971428571428571	0.971428571428571	0.971428571428571	0.971428571428571
