"","age1.I","age2_no_comorbid.I","age2_comorbid.I","age3_no_comorbid.I","age3_comorbid.I"
"243",0,1,0,0,0
"244",225,230,35,12,19
"245",2,1,0,0,0
"246",206,208,33,9,18
"247",234,236,42,10,14
"248",1,0,0,0,0
"249",0,1,0,0,0
"250",228,225,28,13,17
"251",209,244,31,10,20
"252",0,1,0,0,0
"253",241,220,35,15,20
"254",3,2,0,0,0
"255",1,1,0,0,0
"256",211,230,33,14,20
"257",0,1,0,0,0
"258",216,238,24,10,19
"259",0,0,0,0,0
"260",1,1,0,0,0
"261",0,1,0,0,0
"262",238,218,37,10,17
"263",214,220,38,18,25
"264",225,222,40,10,17
"265",230,229,33,11,19
"266",218,242,28,9,22
"267",0,1,0,0,0
"268",237,225,28,12,21
"269",225,235,34,13,18
"270",0,1,0,0,0
"271",220,212,36,9,20
"272",0,1,0,0,0
"273",220,221,31,9,14
"274",200,230,24,10,15
"275",0,1,0,0,0
"276",219,212,32,11,21
"277",244,242,27,14,17
"278",0,1,0,0,0
"279",194,222,30,9,20
"280",233,227,35,13,22
"281",1,1,0,0,0
"282",0,1,0,0,0
"283",0,1,0,0,0
"284",0,1,0,0,0
"285",218,223,28,12,14
"286",0,3,0,0,0
"287",221,232,29,7,20
"288",237,218,33,10,15
"289",229,195,27,12,17
"290",220,223,36,11,21
"291",0,1,0,0,0
"292",210,202,28,12,17
"293",0,1,0,0,0
"294",0,1,0,0,0
"295",212,222,38,11,15
"296",2,2,0,0,1
"297",200,220,31,10,15
"298",210,213,22,11,18
"299",0,1,0,0,0
"300",213,223,31,7,16
"301",199,215,32,11,16
"302",2,1,0,0,0
"303",206,232,32,12,17
"304",208,213,32,10,17
"305",221,211,29,10,20
"306",208,214,36,9,15
"307",217,241,30,11,17
"308",0,0,0,0,0
"309",0,1,0,0,0
"310",0,1,0,0,0
"311",208,212,28,10,16
"312",0,1,0,0,0
"313",212,209,29,12,14
"314",0,1,0,0,0
"315",229,218,34,12,17
"316",222,203,33,10,16
"317",211,232,32,11,19
"318",0,1,0,0,0
"319",214,204,28,12,14
"320",0,1,0,0,0
"321",225,201,31,15,23
"322",210,201,34,9,20
"323",218,231,30,9,17
"324",0,1,0,0,0
"325",0,1,1,0,0
"326",212,204,32,8,14
"327",212,237,29,9,16
"328",1,1,0,0,0
"329",227,211,27,10,20
"330",0,1,0,0,0
"331",208,212,33,10,22
"332",217,221,31,8,17
"333",203,205,29,11,14
"334",212,221,36,15,18
"335",220,233,31,12,17
"336",210,208,41,11,21
"337",0,0,0,0,0
"338",198,223,32,10,19
"339",188,196,28,8,13
"340",225,203,38,11,17
"341",0,1,0,0,0
"342",201,215,33,12,19
"343",210,201,38,10,16
"344",0,1,0,0,0
"345",0,1,0,0,0
"346",1,1,0,0,0
"347",206,213,33,11,15
"348",2,2,0,0,0
"349",0,1,0,0,0
"350",0,1,0,0,0
"351",0,1,0,0,0
"352",216,191,33,15,21
"353",190,201,32,13,19
"354",0,1,0,0,0
"355",0,1,0,0,0
"356",204,222,38,7,16
"357",1,1,1,0,0
"358",213,214,28,6,16
"359",218,246,36,13,18
"360",220,210,31,11,22
"361",227,221,34,11,14
"362",0,1,0,0,0
"363",203,220,37,11,19
"364",230,211,33,10,21
"365",0,1,0,0,0
"366",200,211,28,11,20
"367",0,1,0,0,0
"368",0,1,0,0,0
"369",209,212,33,10,17
"370",221,224,30,12,20
"371",1,1,0,0,0
"372",226,234,39,9,14
"373",0,1,0,0,0
"374",216,231,33,13,19
"375",221,222,33,12,20
"376",220,221,36,12,16
"377",0,1,0,0,0
"378",0,1,0,0,0
"379",0,1,0,0,0
"380",210,202,27,11,15
"381",0,1,0,0,0
"382",0,1,0,0,0
"383",217,216,34,10,23
"384",0,1,0,0,0
"385",1,2,0,0,0
"386",233,196,37,12,14
"387",0,1,0,0,0
"388",233,211,29,17,12
"389",219,250,21,10,14
"390",224,197,33,12,18
"391",234,215,29,10,15
"392",212,214,30,14,16
"393",1,1,0,0,0
"394",218,214,30,11,20
"395",0,0,0,0,0
"396",201,190,29,10,13
"397",212,246,33,11,16
"398",0,1,0,0,0
"399",2,1,0,0,0
"400",218,232,30,11,18
"401",2,1,0,0,0
"402",218,227,31,9,15
"403",0,1,0,0,0
"404",202,208,32,7,18
"405",226,227,30,12,16
"406",214,257,27,14,16
