"","age1_orange.D","age1_green.D","age2_no_comorbid_orange.D","age2_no_comorbid_green.D","age2_comorbid_green.D","age3_no_comorbid_green.D","age3_comorbid_green.D"
"184",27,0,44,0,0,0,0
"185",27,0,54,0,0,0,0
"186",35,2,51,3,19,3,22
"187",34,0,34,0,0,0,0
"188",30,0,44,0,0,0,0
"189",35,0,35,0,0,0,0
"190",25,0,45,0,0,0,0
"191",0,0,0,0,0,0,0
"192",31,0,49,0,0,0,0
"193",22,0,39,0,0,0,0
"194",0,0,0,0,0,0,0
"195",29,0,31,0,0,0,0
"196",0,0,0,0,0,0,0
"197",24,0,44,0,0,0,0
"198",36,0,38,0,0,0,0
"199",0,0,0,0,0,0,0
"200",37,0,44,0,0,0,0
"201",33,0,42,0,0,0,0
"202",33,0,54,5,25,5,31
"203",29,0,37,0,0,0,0
"204",38,0,38,0,0,0,0
"205",31,0,36,0,0,0,0
"206",19,5,39,1,35,7,26
"207",27,0,42,0,0,0,0
"208",27,0,40,0,0,0,0
"209",32,0,37,0,0,0,0
"210",27,0,42,0,0,0,0
"211",21,0,40,0,0,0,0
"212",28,0,41,0,0,0,0
"213",0,0,0,0,0,0,0
"214",29,0,31,0,0,0,0
"215",21,0,49,0,0,0,0
"216",0,0,0,0,0,0,0
"217",32,0,34,0,0,0,0
"218",36,0,48,0,0,0,0
"219",37,0,37,0,0,0,0
"220",0,0,0,0,0,0,0
"221",25,0,38,0,0,0,0
"222",26,0,37,0,0,0,0
"223",22,0,44,0,0,0,0
"224",31,0,45,0,0,0,0
"225",0,0,0,0,0,0,0
"226",23,0,35,0,0,0,0
"227",27,0,38,0,0,0,0
"228",29,0,40,0,0,0,0
"229",31,0,38,0,0,0,0
"230",25,0,55,0,0,0,0
"231",0,0,0,0,0,0,0
"232",21,0,52,0,0,0,0
"233",35,0,36,0,0,0,0
"234",15,0,36,0,0,0,0
"235",33,2,40,0,18,7,28
"236",22,0,56,0,0,0,0
"237",39,0,41,3,14,4,26
"238",28,0,51,0,0,0,0
"239",26,0,28,0,0,0,0
"240",22,0,45,4,27,7,28
"241",32,3,50,3,21,3,27
"242",27,0,40,0,0,0,0
"243",38,0,40,0,0,0,0
"244",25,0,43,0,0,0,0
"245",0,0,0,0,0,0,0
"246",26,0,33,0,0,0,0
"247",33,0,35,0,0,0,0
"248",40,0,33,0,0,0,0
"249",31,0,39,0,0,0,0
"250",0,0,0,0,0,0,0
"251",23,3,44,3,29,1,16
"252",0,0,0,0,0,0,0
"253",42,0,35,0,0,0,0
"254",27,0,41,0,1,0,0
"255",33,0,36,0,0,0,1
"256",30,0,43,0,0,0,0
"257",0,0,0,0,0,0,0
"258",22,0,47,0,0,0,0
"259",48,0,41,0,0,0,0
"260",38,0,45,0,0,0,0
"261",28,0,44,0,0,0,0
"262",30,2,42,5,25,7,24
"263",25,0,53,0,0,0,0
"264",29,0,35,0,0,0,0
"265",0,0,0,0,0,0,0
"266",25,2,29,4,23,7,30
"267",0,0,0,0,0,0,0
"268",31,0,40,0,0,0,0
"269",33,2,44,1,19,10,21
"270",0,0,0,0,0,0,0
"271",0,0,0,0,0,0,0
"272",31,0,53,0,0,0,0
"273",34,0,39,0,0,0,0
"274",29,0,42,0,0,0,0
"275",27,4,40,5,24,8,16
"276",24,0,35,0,0,0,0
"277",26,0,56,0,0,0,0
"278",31,0,30,0,0,0,0
"279",39,0,52,0,0,0,0
"280",27,0,38,0,0,0,0
"281",37,0,38,0,0,0,0
"282",29,0,38,3,30,4,31
"283",0,0,0,0,0,0,0
"284",28,6,32,0,29,7,24
"285",24,0,37,0,0,0,0
"286",0,0,0,0,0,0,0
"287",0,0,1,0,0,0,0
"288",27,0,44,0,0,0,0
"289",38,0,43,0,0,0,0
"290",25,0,34,0,0,0,0
"291",33,0,48,0,0,0,0
"292",31,0,45,0,0,0,0
"293",0,0,0,0,0,0,0
"294",28,0,44,0,0,0,0
"295",28,0,54,0,0,0,0
"296",29,0,39,0,0,0,0
"297",0,0,0,0,0,0,0
"298",0,0,0,0,0,0,0
"299",29,0,41,0,0,0,0
"300",0,0,0,0,0,0,0
"301",34,1,37,4,26,4,23
"302",25,0,28,0,0,0,0
"303",29,2,44,4,27,7,31
"304",26,3,42,5,30,7,21
"305",21,0,37,0,0,0,0
"306",25,0,31,0,0,0,0
"307",29,3,35,4,31,7,36
"308",29,0,54,0,0,0,0
"309",27,0,28,0,0,0,0
"310",29,0,39,0,0,0,0
"311",33,0,44,0,0,0,0
"312",34,2,39,4,27,9,30
"313",0,0,0,0,0,0,0
"314",25,1,41,1,19,6,32
"315",28,0,40,0,0,0,0
"316",0,0,0,0,0,0,0
"317",0,0,0,0,0,0,0
"318",29,0,43,0,0,0,0
"319",28,0,34,0,0,0,0
"320",34,0,42,0,0,0,0
"321",0,0,1,0,0,0,0
"322",29,0,46,0,0,0,0
"323",30,0,36,0,0,0,0
"324",0,0,0,0,0,0,0
"325",29,0,34,0,0,0,0
"326",41,0,44,0,0,0,0
"327",32,0,38,0,0,0,0
"328",30,0,43,0,0,0,0
"329",36,0,36,0,0,0,0
"330",0,0,0,0,0,0,0
"331",0,0,0,0,0,0,0
"332",31,0,45,0,0,0,0
"333",32,0,37,0,0,0,0
"334",36,2,41,6,20,5,27
"335",34,0,49,0,0,0,0
"336",40,0,43,0,0,0,0
"337",21,0,44,0,0,0,0
"338",31,0,31,0,0,0,0
"339",0,0,0,0,0,0,0
"340",30,0,48,0,0,0,0
"341",19,0,48,0,0,0,0
"342",37,0,38,0,0,0,0
"343",28,0,43,0,0,0,0
"344",33,0,36,0,0,0,0
"345",32,0,48,0,0,0,0
"346",33,0,38,0,0,0,0
"347",22,0,36,0,0,0,0
"348",23,0,42,0,0,0,0
"349",37,0,47,0,0,0,0
"350",29,0,38,0,0,0,0
"351",0,0,0,0,0,0,0
"352",33,0,40,0,0,0,0
"353",25,0,49,0,0,0,0
"354",30,0,47,0,0,0,0
"355",0,0,0,0,0,0,0
"356",28,0,44,0,0,0,0
"357",0,0,0,0,0,0,0
"358",19,2,39,4,17,3,26
"359",29,0,35,0,0,0,0
"360",32,0,43,0,0,0,0
"361",30,0,38,0,0,0,0
"362",24,0,45,0,0,0,0
"363",0,0,0,0,0,0,0
"364",0,0,0,0,0,0,0
"365",27,1,46,3,21,5,26
"366",26,0,47,0,0,0,0
"367",31,0,37,0,0,0,0
"368",29,3,45,2,21,5,25
"369",27,0,39,0,0,0,0
"370",0,0,0,0,0,0,0
"371",24,0,57,0,0,0,0
"372",32,0,45,0,0,0,0
"373",36,0,39,0,0,0,0
"374",32,0,45,0,0,0,0
"375",33,3,37,7,24,5,37
"376",22,0,45,0,0,0,0
"377",29,0,42,0,0,0,0
"378",40,0,49,0,0,0,0
"379",33,2,39,4,36,4,22
"380",0,0,0,0,0,0,0
"381",27,0,38,0,0,0,0
"382",29,0,55,0,0,0,0
"383",31,0,34,0,0,0,0
"384",34,0,43,0,0,0,0
"385",31,0,39,0,1,0,0
"386",37,2,52,4,30,3,29
"387",37,0,39,0,0,0,0
"388",27,3,34,3,35,10,31
"389",26,3,42,1,25,6,22
"390",26,0,45,0,0,0,0
"391",23,0,39,0,0,0,0
"392",30,0,43,0,0,0,0
"393",28,0,42,0,0,0,0
"394",0,0,0,0,0,0,0
"395",33,0,39,0,0,0,0
"396",22,1,36,2,29,6,39
"397",28,0,33,0,0,0,0
"398",0,0,0,0,0,0,0
"399",20,0,40,0,0,0,0
"400",26,0,40,0,0,0,0
"401",27,0,35,0,0,0,0
"402",0,0,0,0,0,0,0
"403",0,0,0,0,0,0,0
"404",27,3,29,4,22,7,33
"405",18,0,47,0,0,0,0
"406",0,0,0,0,0,0,0
"407",31,0,41,0,0,0,0
"408",0,0,0,0,0,0,0
"409",0,0,0,0,0,0,0
"410",34,0,32,0,0,0,0
"411",0,0,0,0,0,0,0
"412",34,0,46,0,0,0,0
"413",22,0,38,0,0,0,0
"414",26,0,44,0,0,0,1
"415",0,0,0,0,0,0,0
"416",36,0,42,0,0,0,0
"417",18,0,38,0,0,0,0
"418",26,0,43,0,0,0,0
"419",0,0,0,0,0,0,0
"420",34,0,42,0,0,0,0
"421",31,0,38,0,0,0,0
"422",24,0,29,0,0,0,0
"423",36,0,49,0,0,0,0
"424",28,0,37,0,0,0,0
"425",29,0,43,0,0,0,0
"426",31,0,29,0,0,0,0
"427",21,0,40,2,28,7,28
"428",36,0,49,0,0,0,0
"429",23,2,40,2,27,2,27
"430",0,0,0,0,0,0,0
"431",26,0,35,0,0,0,0
"432",31,0,36,0,0,0,0
"433",20,0,37,0,0,0,0
"434",25,0,30,0,0,0,0
"435",30,0,51,0,0,0,0
"436",0,0,0,0,0,0,0
"437",0,0,0,0,0,0,0
"438",33,0,36,0,0,0,0
"439",19,0,37,0,0,0,0
"440",0,0,0,0,0,0,0
"441",31,0,42,0,0,0,0
"442",30,0,50,0,0,0,0
"443",22,0,50,0,0,0,0
"444",35,4,44,1,21,6,19
"445",0,0,0,0,0,0,0
"446",22,0,46,0,0,0,0
"447",0,0,0,0,0,0,0
"448",0,0,0,0,0,0,0
"449",29,0,38,0,0,0,0
"450",31,0,42,0,0,0,1
"451",0,0,0,0,0,0,0
"452",19,0,36,0,0,0,0
"453",37,0,35,0,0,0,0
"454",24,0,42,0,0,0,0
"455",29,0,34,0,0,0,0
"456",32,0,44,0,0,0,0
"457",34,1,53,0,36,6,23
"458",0,0,0,0,0,0,0
"459",34,0,34,0,0,0,0
"460",32,0,31,0,0,0,0
"461",20,0,26,0,0,0,0
"462",0,0,0,0,0,0,0
"463",24,0,44,0,0,0,0
"464",30,0,38,0,0,0,0
"465",30,2,45,6,22,5,35
"466",28,0,33,0,0,0,0
"467",26,0,31,0,0,0,0
"468",30,0,44,0,0,0,0
"469",24,0,39,0,0,0,0
"470",28,0,50,0,0,0,0
"471",26,0,42,0,0,0,0
"472",0,0,0,0,0,0,0
"473",0,0,0,0,0,0,0
"474",25,0,47,0,0,0,0
"475",0,0,0,0,0,0,0
"476",36,0,47,0,0,0,0
"477",26,0,46,0,0,0,0
"478",13,0,39,0,0,0,0
"479",20,0,46,0,0,0,0
"480",29,0,56,0,0,0,0
"481",0,0,0,0,0,0,0
"482",32,0,42,0,0,0,0
"483",29,2,53,5,24,6,20
"484",30,0,37,0,0,0,0
"485",39,0,36,0,0,0,0
"486",0,0,0,0,0,0,0
"487",22,0,31,0,0,0,0
"488",0,0,0,0,0,0,0
"489",41,0,49,0,0,0,0
"490",22,0,43,0,0,0,0
"491",0,0,0,0,0,0,0
"492",36,0,40,0,0,0,0
"493",28,0,52,0,0,0,0
"494",27,0,43,0,0,0,0
"495",20,0,34,0,0,0,0
"496",31,0,45,0,1,0,0
"497",32,2,40,6,34,9,36
"498",0,0,0,0,0,0,0
"499",27,0,43,0,0,0,0
