"","age1_orange.D","age1_green.D","age2_no_comorbid_orange.D","age2_no_comorbid_green.D","age2_comorbid_green.D","age3_no_comorbid_green.D","age3_comorbid_green.D"
"1",22,2,41,3,31,10,22
"2",0,0,0,0,0,0,0
"3",36,1,62,4,23,8,31
"4",27,4,44,4,27,11,37
"5",0,0,0,0,0,0,0
"6",28,3,47,2,25,6,33
"7",37,4,42,6,29,6,27
"8",39,7,39,1,34,5,38
"9",32,1,44,4,21,5,34
"10",26,2,40,4,25,7,33
"11",32,2,47,3,33,6,36
"12",29,3,36,3,26,8,29
"13",0,0,0,0,0,0,0
"14",20,2,42,6,27,7,30
"15",27,0,37,0,0,0,0
"16",25,5,46,3,21,8,36
"17",33,1,46,7,21,6,38
"18",23,1,32,3,20,8,40
"19",36,4,33,2,24,9,35
"20",30,2,35,4,26,5,37
"21",0,0,0,0,0,0,0
"22",30,3,43,5,27,5,32
"23",30,1,38,5,26,4,29
"24",29,4,42,1,30,5,29
"25",30,2,35,7,27,9,34
"26",28,0,38,0,0,0,0
"27",34,2,47,10,29,8,38
"28",0,0,0,0,0,0,0
"29",0,0,0,0,0,0,0
"30",30,2,37,6,27,5,30
"31",24,0,54,3,32,12,37
"32",35,4,49,1,25,6,30
"33",22,1,43,6,26,6,31
"34",25,1,46,3,33,8,29
"35",0,0,0,0,0,0,0
"36",25,2,38,5,21,6,34
"37",0,0,0,0,0,0,0
"38",27,0,42,9,26,4,40
"39",26,2,49,6,26,6,28
"40",32,1,37,3,29,8,29
"41",0,0,0,0,0,0,0
"42",23,0,43,0,0,0,0
"43",21,0,32,0,0,0,0
"44",27,5,43,3,24,8,30
"45",27,1,30,7,29,11,39
"46",33,0,42,0,0,0,0
"47",25,0,48,9,28,7,38
"48",0,0,0,0,0,0,0
"49",15,4,42,1,27,5,30
"50",36,3,37,2,29,7,33
"51",23,2,55,3,32,9,40
"52",30,4,54,0,31,7,26
"53",35,0,43,0,0,0,0
"54",37,5,32,5,30,4,32
"55",25,1,42,2,25,5,39
"56",29,0,41,0,0,0,0
"57",38,1,42,4,31,5,23
"58",21,0,40,0,0,0,0
"59",0,0,0,0,0,0,0
"60",24,4,34,5,25,4,33
"61",35,0,47,0,0,0,1
"62",33,0,53,0,0,0,0
"63",29,2,38,3,36,12,33
"64",30,0,39,0,0,0,0
"65",0,0,0,0,0,0,0
"66",26,0,39,3,32,8,33
"67",0,0,0,0,0,0,0
"68",35,1,33,2,35,5,30
"69",34,4,39,2,30,9,31
"70",28,4,34,4,28,5,28
"71",30,1,37,6,29,6,37
"72",29,1,45,4,35,11,42
"73",31,2,44,5,30,5,42
"74",28,0,33,0,0,0,0
"75",23,4,48,1,25,12,36
"76",23,2,41,4,27,5,35
"77",0,0,0,0,0,0,0
"78",30,3,40,7,37,10,35
"79",31,2,42,4,27,7,32
"80",34,0,43,6,27,4,28
"81",38,5,51,3,27,7,40
"82",36,3,48,3,31,10,34
"83",29,1,46,3,31,5,39
"84",38,0,44,0,0,0,0
"85",26,1,41,3,24,6,33
"86",33,0,47,0,0,0,0
"87",29,2,34,5,22,5,29
"88",32,3,43,7,32,8,33
"89",0,0,0,0,0,0,0
"90",31,1,41,6,30,7,37
"91",35,4,39,5,23,5,31
"92",36,0,52,8,25,10,30
"93",28,5,39,2,27,11,41
"94",17,3,43,4,21,5,30
"95",33,0,35,0,0,0,0
"96",28,0,43,0,0,0,0
"97",30,2,42,2,32,12,40
"98",0,0,0,0,0,0,0
"99",28,0,45,0,0,0,0
"100",0,0,0,0,0,0,0
"101",31,3,43,0,25,9,29
"102",0,0,0,0,0,0,0
"103",31,4,53,1,27,5,48
"104",27,0,41,0,0,0,0
"105",26,3,41,0,22,9,37
"106",24,7,43,4,30,8,39
"107",26,3,48,4,28,9,33
"108",36,3,37,8,17,7,33
"109",31,0,41,0,0,0,0
"110",25,1,47,2,44,8,40
"111",0,0,0,0,0,0,0
"112",30,3,48,8,28,7,31
"113",25,1,63,2,32,8,32
"114",0,0,0,0,0,0,0
"115",21,2,48,3,31,8,37
"116",36,0,33,0,0,0,0
"117",23,2,43,5,35,5,33
"118",30,2,44,2,26,3,37
"119",27,4,52,2,26,7,38
"120",34,2,44,8,24,10,33
"121",29,4,45,1,25,11,32
"122",25,4,45,5,34,7,35
"123",34,3,46,3,24,8,28
"124",31,3,50,2,39,9,32
"125",30,2,35,4,34,5,37
"126",18,5,41,12,36,8,37
"127",29,1,41,7,29,8,37
"128",37,3,50,9,28,7,27
"129",0,0,0,0,0,0,0
"130",23,3,47,2,33,8,33
"131",23,5,46,4,37,8,34
"132",0,0,0,0,0,0,0
"133",29,1,36,3,27,12,37
"134",30,2,35,5,27,6,41
"135",23,1,44,3,30,9,36
"136",0,0,0,0,0,0,0
"137",27,3,37,5,28,4,31
"138",38,3,50,3,29,3,36
"139",32,0,37,1,23,7,28
"140",34,1,43,3,36,7,40
"141",32,4,52,6,27,8,30
"142",28,2,28,5,38,13,29
"143",35,0,44,5,30,9,33
"144",16,1,43,7,25,8,37
"145",34,5,39,8,26,1,37
"146",19,4,45,5,30,3,33
"147",36,1,39,5,21,10,40
"148",30,3,46,3,28,5,31
"149",0,0,0,0,0,0,0
"150",26,4,37,3,36,5,34
"151",27,5,32,6,21,7,34
"152",34,2,32,6,28,6,33
"153",27,1,46,5,33,8,30
"154",26,4,38,5,34,5,33
"155",0,0,0,0,0,0,0
"156",25,3,35,4,19,6,32
"157",0,0,0,0,0,0,0
"158",0,0,0,0,0,0,0
"159",21,4,49,7,24,7,29
"160",23,2,46,7,31,7,38
"161",23,1,49,5,22,7,37
"162",32,0,59,0,0,0,0
"163",37,3,34,3,35,7,41
"164",0,0,0,0,0,0,0
"165",24,0,47,0,0,0,0
"166",30,4,37,2,24,7,34
"167",25,2,30,3,20,9,32
"168",0,0,0,0,0,0,0
"169",20,4,42,4,26,2,38
"170",35,0,43,0,0,0,0
"171",27,0,50,0,0,0,0
"172",0,0,0,0,0,0,0
"173",25,1,36,5,19,10,39
"174",0,0,1,0,0,0,0
"175",31,2,44,4,31,7,30
"176",0,0,0,0,0,0,0
"177",32,2,62,7,38,10,30
"178",25,6,39,3,27,12,35
"179",19,5,47,2,31,8,43
"180",21,4,37,4,28,4,34
"181",25,4,41,4,21,5,31
"182",25,2,40,9,29,7,31
"183",33,3,33,5,21,3,35
"184",29,1,49,1,27,7,41
"185",21,0,41,4,35,4,33
"186",27,0,40,0,0,0,0
"187",0,0,0,0,0,0,0
"188",30,2,35,5,32,8,40
"189",30,3,42,3,36,5,33
"190",33,2,48,1,28,11,34
"191",19,4,42,3,36,10,39
"192",0,0,1,0,0,0,0
"193",23,1,43,3,34,8,35
"194",37,3,41,2,25,8,35
"195",30,5,35,3,33,8,31
"196",0,0,0,0,0,0,0
"197",27,3,45,5,37,6,35
"198",32,1,45,5,29,4,36
"199",27,0,44,0,0,0,0
"200",33,1,48,4,24,6,40
"201",31,2,43,10,32,5,33
