"","age1_orange.R","age2_no_comorbid_orange.R","age2_comorbid_green.R","age3_no_comorbid_green.R","age3_comorbid_green.R"
"1",757,802,91,28,24
"2",754,807,0,0,0
"3",749,818,0,1,0
"4",0,1,0,0,0
"5",752,801,86,35,27
"6",736,804,1,0,0
"7",743,804,0,0,0
"8",2,4,0,0,0
"9",750,793,0,0,0
"10",744,815,0,0,0
"11",729,814,83,25,31
"12",749,796,0,0,0
"13",744,802,98,29,25
"14",760,800,90,26,35
"15",748,804,86,32,14
"16",754,800,80,28,25
"17",732,795,0,0,0
"18",741,823,0,0,0
"19",739,793,0,0,0
"20",757,801,0,0,0
"21",756,805,86,32,18
"22",756,795,90,23,30
"23",0,1,0,0,0
"24",739,785,0,0,0
"25",757,830,0,0,0
"26",747,802,90,27,25
"27",751,804,0,0,0
"28",0,1,0,0,0
"29",746,794,0,0,0
"30",0,1,0,0,0
"31",741,801,0,0,0
"32",747,794,2,0,0
"33",738,799,0,0,0
"34",739,803,91,32,28
"35",758,812,90,30,27
"36",740,796,92,26,26
"37",750,792,83,32,31
"38",754,809,80,31,26
"39",746,805,86,24,31
"40",748,815,0,0,0
"41",742,798,87,27,29
"42",741,793,1,0,0
"43",1,1,0,0,0
"44",748,789,87,28,22
"45",729,795,82,23,23
"46",1,3,0,0,0
"47",0,1,0,0,0
"48",0,5,0,0,0
"49",755,792,90,29,24
"50",750,801,0,0,0
"51",749,802,1,0,0
"52",750,808,0,0,0
"53",745,799,86,29,25
"54",742,811,0,0,0
"55",741,809,0,0,0
"56",748,791,0,0,0
"57",752,810,0,0,0
"58",738,804,90,26,23
"59",743,791,0,0,0
"60",751,801,80,25,26
"61",749,791,0,0,0
"62",747,800,1,2,0
"63",735,817,0,0,0
"64",0,1,0,0,0
"65",751,787,0,0,0
"66",744,796,0,0,0
"67",753,792,0,0,0
"68",750,814,0,0,0
"69",0,1,0,0,0
"70",739,791,78,28,21
"71",0,1,0,0,0
"72",750,813,92,31,27
"73",0,1,0,0,0
"74",756,790,0,0,0
"75",750,812,0,0,0
