"","age1_orange.D","age2_no_comorbid_orange.D","age2_comorbid_green.D","age3_no_comorbid_green.D","age3_comorbid_green.D"
"1",44,57,31,10,45
"2",45,74,0,0,0
"3",60,70,0,0,0
"4",0,0,0,0,0
"5",50,53,28,4,33
"6",67,68,0,0,0
"7",60,58,0,0,0
"8",0,0,0,0,0
"9",54,73,0,0,0
"10",61,61,0,0,0
"11",73,77,30,10,36
"12",56,76,0,0,0
"13",60,76,25,6,43
"14",49,78,32,13,32
"15",55,85,36,4,50
"16",49,76,37,7,36
"17",64,76,0,0,0
"18",56,60,0,0,0
"19",57,75,0,0,0
"20",48,83,0,0,0
"21",45,70,27,6,36
"22",55,70,28,12,32
"23",0,0,0,0,0
"24",58,85,0,0,0
"25",51,61,0,0,0
"26",57,66,32,7,45
"27",50,76,0,0,0
"28",0,0,0,0,0
"29",56,73,0,0,0
"30",0,0,0,0,0
"31",61,64,0,0,0
"32",55,80,0,0,0
"33",59,64,0,0,0
"34",60,68,24,7,39
"35",45,69,32,10,35
"36",64,81,29,12,39
"37",55,75,32,4,33
"38",54,67,39,6,41
"39",61,77,30,10,31
"40",59,79,0,0,0
"41",59,77,30,8,29
"42",65,86,0,0,0
"43",0,0,0,0,0
"44",62,82,28,8,36
"45",69,77,30,11,35
"46",0,0,0,0,0
"47",0,0,0,0,0
"48",1,0,0,0,0
"49",54,85,31,12,39
"50",52,78,0,0,0
"51",53,66,0,0,0
"52",54,59,0,0,0
"53",64,76,28,8,40
"54",67,74,0,0,0
"55",67,75,0,0,0
"56",56,81,0,0,0
"57",53,61,0,0,0
"58",69,82,26,6,38
"59",60,70,0,0,0
"60",50,77,34,12,41
"61",55,59,0,0,0
"62",54,79,0,0,0
"63",72,66,0,0,0
"64",0,0,0,0,0
"65",51,81,0,0,0
"66",61,72,0,0,0
"67",51,80,0,0,0
"68",55,65,0,0,0
"69",0,0,0,0,0
"70",61,78,33,7,33
"71",0,0,0,0,0
"72",60,76,25,11,39
"73",0,0,0,0,0
"74",49,81,0,0,0
"75",51,61,1,0,0
"76",57,68,0,0,0
"77",57,71,0,0,0
"78",61,67,0,0,0
"79",50,75,0,0,0
"80",65,77,1,0,0
"81",51,74,0,0,0
"82",54,71,32,8,32
"83",63,74,0,0,0
"84",47,82,26,8,39
"85",56,62,23,6,35
"86",71,83,30,8,34
"87",0,0,0,0,0
"88",54,72,0,0,0
"89",73,82,28,6,31
"90",48,83,33,8,41
"91",0,0,0,0,0
"92",64,67,0,0,0
"93",50,79,26,10,27
"94",51,72,0,0,0
"95",57,76,36,5,32
"96",63,79,0,0,0
"97",63,72,0,0,0
"98",66,71,26,2,37
"99",53,66,0,0,0
"100",72,95,36,7,39
"101",63,79,0,0,0
"102",51,61,33,10,33
"103",58,61,0,0,0
"104",67,96,0,0,0
"105",56,72,0,0,0
"106",57,83,0,0,0
"107",0,0,0,0,0
"108",0,1,0,0,0
"109",62,89,0,0,0
"110",50,75,0,0,0
"111",56,76,0,0,0
"112",58,77,0,0,0
"113",0,0,0,0,0
"114",55,93,0,0,0
"115",63,65,26,6,33
"116",71,76,0,0,0
"117",57,76,35,6,32
"118",52,77,0,0,0
"119",57,66,0,0,0
"120",46,83,30,11,30
"121",59,75,0,0,0
"122",50,68,0,0,0
"123",53,78,0,0,0
"124",59,80,0,0,0
"125",52,71,23,10,32
"126",52,65,0,0,1
"127",65,83,0,0,0
"128",54,83,24,4,34
"129",0,0,0,0,0
"130",51,67,35,10,33
"131",65,61,0,0,0
"132",0,0,0,0,0
"133",0,0,0,0,0
"134",57,62,0,0,0
"135",62,68,0,0,0
"136",61,62,0,0,0
"137",0,0,0,0,0
"138",61,88,35,15,43
"139",0,0,0,0,0
"140",58,75,0,0,0
"141",63,59,0,0,0
"142",64,80,34,6,34
"143",43,78,0,0,0
"144",64,103,45,10,39
"145",72,70,0,0,0
"146",45,68,31,9,36
"147",57,65,0,0,0
"148",58,82,32,8,36
"149",0,0,0,0,0
"150",43,68,0,0,0
"151",56,62,0,0,0
"152",0,0,0,0,0
"153",58,63,0,0,1
"154",0,0,0,0,0
"155",61,71,0,0,0
"156",62,66,31,6,41
"157",58,69,0,0,0
"158",0,0,0,0,0
"159",54,66,0,0,0
"160",60,70,0,0,0
"161",53,74,0,0,0
"162",50,58,27,4,30
"163",55,68,0,0,0
"164",0,0,0,0,0
"165",57,74,26,8,34
"166",51,83,0,0,0
"167",66,68,0,0,0
"168",59,74,0,0,0
"169",54,62,0,0,0
"170",0,0,0,0,0
"171",70,76,0,0,0
"172",0,0,0,0,0
"173",67,75,29,10,40
"174",77,65,0,0,0
"175",60,81,0,0,0
"176",63,68,0,0,0
"177",0,0,0,0,0
"178",55,57,32,8,34
"179",0,0,0,0,0
"180",64,79,0,0,0
"181",65,82,0,0,0
"182",74,71,0,0,0
"183",59,63,0,0,0
"184",64,80,0,0,0
"185",49,83,29,13,38
"186",53,76,0,0,0
"187",0,0,0,0,0
"188",0,0,0,0,0
"189",56,71,34,9,31
"190",67,88,0,0,0
"191",62,91,37,14,28
"192",64,61,0,0,0
"193",66,59,0,0,0
"194",66,81,33,7,34
"195",0,0,0,0,0
"196",62,80,27,14,42
"197",0,0,0,0,0
"198",0,0,0,0,0
"199",65,63,27,14,41
"200",0,0,0,0,0
"201",0,0,0,0,0
"202",73,68,30,6,33
"203",50,74,0,0,0
"204",61,73,30,8,32
"205",0,0,0,0,0
"206",62,73,0,0,0
"207",50,62,0,0,0
"208",0,0,0,0,0
"209",62,72,0,0,0
"210",60,81,0,0,0
"211",51,67,42,8,51
"212",54,85,29,12,41
"213",62,71,0,0,0
"214",67,81,0,0,1
"215",58,86,32,9,33
"216",49,78,1,0,0
"217",55,76,29,7,34
"218",0,0,0,0,0
"219",60,73,0,0,0
"220",52,83,0,0,0
"221",51,72,34,8,28
"222",59,56,24,4,36
"223",51,74,0,0,0
"224",45,77,0,0,0
"225",51,83,0,0,0
"226",60,75,25,7,46
"227",58,72,0,0,0
"228",0,0,0,0,0
"229",57,66,0,0,0
"230",63,67,35,9,41
"231",49,80,29,8,31
"232",0,0,0,0,0
"233",0,0,0,0,0
"234",65,60,0,0,0
"235",52,84,33,6,46
"236",57,64,0,0,0
"237",52,102,0,0,0
"238",61,73,0,0,0
"239",57,96,31,16,36
"240",57,70,39,11,37
"241",57,61,0,1,1
"242",75,87,0,0,0
"243",53,76,0,0,0
"244",0,0,0,0,0
"245",0,0,0,0,0
"246",52,72,0,0,0
"247",61,68,0,0,0
"248",51,68,0,0,0
"249",63,81,0,0,0
"250",59,82,34,7,32
"251",51,70,29,11,41
"252",47,71,29,13,41
"253",0,0,0,0,0
"254",52,61,0,0,0
"255",47,66,34,6,39
"256",54,96,30,9,40
"257",64,60,0,0,0
"258",0,0,0,0,0
"259",56,78,0,0,0
"260",51,76,0,0,0
"261",40,71,0,0,0
"262",53,71,0,0,1
"263",47,64,0,0,0
"264",53,85,0,0,0
"265",80,57,0,0,0
"266",59,79,0,0,0
"267",51,64,20,10,41
"268",0,0,0,0,0
"269",58,76,0,0,0
"270",0,0,0,0,0
"271",64,79,0,0,0
"272",37,71,0,0,0
"273",73,84,29,10,31
"274",49,67,0,0,0
"275",47,64,0,0,0
"276",49,85,0,0,0
"277",0,0,0,0,0
"278",0,0,0,0,0
"279",63,71,26,6,29
"280",48,70,0,0,0
"281",65,90,44,11,31
"282",55,61,0,0,0
"283",62,73,31,10,39
"284",0,0,0,0,0
"285",55,76,34,10,35
"286",62,75,38,11,43
"287",61,69,0,0,0
"288",59,88,0,0,0
"289",0,0,0,0,0
"290",59,83,0,0,0
"291",75,73,31,6,33
"292",56,80,25,16,36
"293",60,75,0,0,0
"294",54,80,35,4,29
"295",46,81,26,6,30
"296",61,72,31,9,30
"297",63,82,40,2,47
"298",52,83,30,9,33
"299",63,69,0,0,0
"300",50,63,23,5,31
"301",63,81,0,0,0
"302",0,0,0,0,0
"303",56,63,0,0,0
"304",61,79,0,0,0
"305",66,72,32,12,36
"306",47,64,0,0,0
"307",43,79,0,0,0
"308",0,0,0,0,0
"309",62,75,0,0,0
"310",50,67,25,6,36
"311",72,68,24,11,37
"312",57,69,0,0,0
"313",56,60,24,6,22
"314",0,0,0,0,0
"315",57,73,0,0,0
"316",67,78,0,0,0
"317",54,78,30,7,29
"318",64,70,0,0,0
"319",68,83,0,0,0
"320",61,73,0,0,0
"321",63,82,28,6,36
"322",50,74,0,0,0
"323",62,77,0,0,0
"324",0,0,0,0,0
"325",72,70,30,6,41
"326",65,63,0,0,0
"327",53,69,0,0,0
"328",68,85,0,0,0
"329",62,82,0,0,0
