"","age1_orange.I","age2_no_comorbid_orange.I","age2_comorbid_green.I","age3_no_comorbid_green.I","age3_comorbid_green.I"
"1",169,158,22,7,15
"2",174,171,0,0,0
"3",175,172,0,1,0
"4",0,1,0,0,0
"5",175,175,24,8,9
"6",175,170,1,0,0
"7",190,158,0,0,0
"8",2,2,0,0,0
"9",174,156,0,0,0
"10",194,169,0,0,0
"11",175,179,19,7,10
"12",164,189,0,0,0
"13",192,190,23,9,15
"14",178,189,22,6,12
"15",179,177,24,6,12
"16",180,180,18,7,14
"17",188,155,0,0,0
"18",176,167,0,0,0
"19",170,170,0,0,0
"20",170,184,0,0,0
"21",170,170,17,7,8
"22",187,157,23,7,9
"23",0,1,0,0,0
"24",167,200,0,0,0
"25",183,201,0,0,0
"26",163,167,20,9,12
"27",192,198,0,0,0
"28",0,1,0,0,0
"29",187,181,0,0,0
"30",0,1,0,0,0
"31",177,187,0,0,0
"32",161,160,1,0,0
"33",168,184,0,0,0
"34",183,166,16,5,11
"35",180,199,24,11,14
"36",178,162,19,9,12
"37",182,175,18,8,9
"38",177,187,16,5,9
"39",182,191,17,6,12
"40",193,167,0,0,0
"41",145,161,16,6,9
"42",169,178,1,0,0
"43",1,1,0,0,0
"44",190,170,21,9,8
"45",160,170,26,10,16
"46",1,1,0,0,0
"47",0,0,0,0,0
"48",1,2,0,0,0
"49",198,167,41,11,16
"50",167,153,0,0,0
"51",160,191,1,0,0
"52",172,178,0,0,0
"53",188,193,24,8,9
"54",185,191,0,0,0
"55",162,177,0,0,0
"56",179,188,0,0,0
"57",164,169,0,0,0
"58",187,199,20,8,12
"59",175,167,0,0,0
"60",181,175,17,10,11
"61",160,176,0,0,0
"62",144,183,0,1,0
"63",174,171,0,0,0
"64",0,1,0,0,0
"65",200,175,0,0,0
"66",179,179,0,0,0
"67",181,171,0,0,0
"68",192,206,0,0,0
"69",0,1,0,0,0
"70",165,175,20,6,14
"71",0,1,0,0,0
"72",169,150,19,10,14
"73",0,1,0,0,0
"74",186,159,0,0,0
"75",194,169,1,0,0
"76",197,179,0,0,0
"77",176,159,0,0,0
"78",172,165,0,0,0
"79",184,173,0,0,0
"80",179,190,1,0,0
"81",201,199,0,0,0
"82",163,158,17,8,9
"83",172,182,0,0,0
"84",186,184,22,8,14
"85",168,163,23,8,9
"86",168,188,33,8,13
"87",0,1,0,0,0
"88",156,172,0,0,0
"89",170,193,17,6,16
"90",182,173,20,6,17
"91",0,1,0,0,0
"92",180,160,0,0,0
"93",160,187,23,7,10
"94",161,175,0,0,0
"95",208,183,15,8,6
"96",169,169,0,0,0
"97",175,170,0,0,0
"98",179,162,15,5,10
"99",187,167,0,0,0
"100",156,183,17,7,8
"101",188,180,0,0,0
"102",176,180,21,10,9
"103",187,199,0,0,0
"104",149,159,1,1,0
"105",175,163,0,0,0
"106",219,178,0,0,0
"107",0,1,0,0,0
"108",0,1,0,0,0
"109",168,166,0,1,0
"110",156,178,0,0,0
"111",165,142,0,0,0
"112",157,166,0,0,0
"113",0,1,0,0,0
"114",184,163,0,0,0
"115",183,175,17,5,9
"116",184,190,0,0,0
"117",166,186,21,9,13
"118",162,159,0,0,0
"119",211,165,0,0,0
"120",165,170,18,7,8
"121",149,158,0,0,0
"122",165,155,1,0,0
"123",193,169,0,0,0
"124",179,178,0,0,0
"125",161,155,16,7,10
"126",189,166,0,0,1
"127",154,161,0,0,0
"128",203,173,15,7,10
"129",0,1,0,0,0
"130",172,180,27,8,15
"131",184,175,0,0,0
"132",0,0,0,0,0
"133",1,1,0,0,0
"134",181,175,0,0,0
"135",158,178,0,0,1
"136",178,174,2,0,0
"137",0,1,0,0,0
"138",174,164,21,6,16
"139",0,1,0,0,0
"140",159,149,0,0,0
"141",179,195,0,0,0
"142",166,180,22,6,14
"143",148,199,0,0,0
"144",185,173,25,8,10
"145",172,187,0,0,0
"146",195,196,23,6,12
"147",176,178,0,0,0
"148",175,167,20,8,13
"149",0,1,0,0,0
"150",157,174,0,0,0
"151",161,184,0,0,0
"152",0,1,0,0,0
"153",173,163,0,0,1
"154",0,0,0,0,0
"155",176,145,0,1,0
"156",193,169,20,8,13
"157",181,165,0,1,0
"158",0,1,0,0,0
"159",179,166,0,0,0
"160",169,180,0,0,0
"161",181,169,0,0,0
"162",202,195,20,6,13
"163",160,161,0,0,0
"164",0,1,0,0,0
"165",197,188,17,8,12
"166",178,179,1,0,0
"167",179,181,0,0,0
"168",153,148,0,0,0
"169",175,174,0,0,0
"170",0,1,0,0,0
