"","age1_orange.E","age2_no_comorbid_orange.E","age2_comorbid_green.E","age3_no_comorbid_green.E","age3_comorbid_green.E"
"1",101,84,15,7,10
"2",111,105,0,0,0
"3",108,109,0,1,0
"4",0,1,0,0,0
"5",108,103,16,6,11
"6",111,115,1,0,0
"7",128,111,0,0,0
"8",1,3,0,0,0
"9",107,110,0,0,0
"10",120,110,0,0,0
"11",114,125,11,5,9
"12",97,105,0,0,0
"13",117,117,14,5,8
"14",111,113,17,4,7
"15",110,111,15,4,9
"16",128,107,10,4,6
"17",113,126,0,0,0
"18",107,115,0,0,0
"19",110,131,0,0,0
"20",111,131,0,0,0
"21",115,121,12,7,7
"22",133,103,11,4,7
"23",0,1,0,0,0
"24",110,109,0,0,0
"25",141,111,0,0,0
"26",117,116,16,7,7
"27",105,109,0,0,0
"28",0,1,0,0,0
"29",113,113,0,0,0
"30",0,1,0,0,0
"31",108,109,0,0,0
"32",102,111,1,0,0
"33",113,111,0,0,0
"34",100,108,10,5,10
"35",107,117,15,4,8
"36",101,103,13,8,11
"37",120,116,13,4,8
"38",117,109,11,4,7
"39",128,115,14,5,9
"40",113,107,0,0,0
"41",105,119,10,4,7
"42",115,111,1,0,0
"43",1,1,0,0,0
"44",122,119,14,5,8
"45",115,117,14,9,8
"46",1,1,0,0,0
"47",0,1,0,0,0
"48",1,3,0,0,0
"49",113,114,18,7,11
"50",111,99,0,0,0
"51",109,102,1,0,0
"52",121,120,0,0,0
"53",113,115,13,5,6
"54",131,135,0,0,0
"55",115,106,0,0,0
"56",125,103,0,0,0
"57",119,113,0,0,0
"58",121,121,15,5,8
"59",118,105,0,0,0
"60",110,112,11,8,8
"61",105,118,0,0,0
"62",110,99,1,1,0
"63",126,105,0,0,0
"64",0,1,0,0,0
"65",127,107,0,0,0
"66",114,110,0,0,0
"67",114,110,0,0,0
"68",132,128,0,0,0
"69",0,1,0,0,0
"70",108,114,12,4,10
"71",0,1,0,0,0
"72",104,114,13,5,9
"73",0,1,0,0,0
"74",112,99,0,0,0
"75",111,113,1,0,0
"76",122,92,0,0,0
"77",116,121,0,0,0
"78",118,103,0,0,0
"79",98,108,0,0,0
"80",104,100,1,0,0
"81",105,105,0,0,0
"82",108,100,14,7,9
"83",110,116,0,0,0
"84",115,109,15,5,10
"85",122,128,16,5,7
"86",122,102,14,5,11
"87",0,1,0,0,0
"88",110,135,0,0,0
"89",115,114,16,5,11
"90",114,131,12,6,8
"91",0,1,0,0,0
"92",116,105,0,0,0
"93",108,121,14,6,8
"94",126,120,0,0,0
"95",120,118,8,5,6
"96",122,104,0,0,0
"97",106,110,0,0,0
"98",119,114,8,5,7
"99",103,103,0,0,0
"100",117,128,8,5,7
"101",117,126,0,0,0
"102",110,106,12,5,8
"103",124,120,0,0,0
"104",94,108,1,1,0
"105",120,112,0,0,0
