"","age1_orange.P","age2_no_comorbid_orange.P","age2_comorbid_green.P","age3_no_comorbid_green.P","age3_comorbid_green.P"
"1",70,70,10,5,7
"2",89,87,0,0,0
"3",89,88,0,1,0
"4",0,1,0,0,0
"5",79,81,8,5,8
"6",82,91,1,0,0
"7",86,80,0,0,0
"8",1,2,0,0,0
"9",82,68,0,0,0
"10",88,90,0,0,0
"11",82,83,11,5,6
"12",76,88,0,0,0
"13",87,85,10,4,6
"14",82,95,11,5,5
"15",89,92,11,4,6
"16",86,82,9,4,5
"17",90,87,0,0,0
"18",77,83,0,0,0
"19",71,76,0,0,0
"20",90,85,0,0,0
"21",80,73,11,4,6
"22",79,84,12,3,5
"23",0,1,0,0,0
"24",82,82,0,0,0
"25",95,90,0,0,0
"26",74,83,10,5,6
"27",72,84,0,0,0
"28",0,1,0,0,0
"29",98,97,0,0,0
"30",0,1,0,0,0
"31",87,81,0,0,0
"32",77,74,1,0,0
"33",78,87,0,0,0
"34",75,72,10,4,6
"35",86,82,10,4,7
"36",84,85,11,4,8
"37",72,79,12,3,6
"38",80,100,7,3,7
"39",72,81,9,4,5
"40",89,88,0,0,0
"41",78,69,10,4,7
"42",86,72,1,0,0
"43",1,1,0,0,0
"44",78,84,10,3,9
"45",74,70,12,8,9
"46",1,1,0,0,0
"47",0,1,0,0,0
"48",1,2,0,0,0
"49",75,74,14,6,7
"50",80,77,0,0,0
"51",81,84,1,0,0
"52",78,83,0,0,0
"53",81,91,8,6,6
"54",88,91,0,0,0
"55",96,94,0,0,0
"56",102,85,0,0,0
"57",70,86,0,0,0
"58",77,90,9,4,5
"59",87,70,0,0,0
"60",77,85,9,4,9
"61",68,74,0,0,0
"62",89,81,1,1,0
"63",80,87,0,0,0
"64",0,1,0,0,0
"65",88,79,0,0,0
"66",74,77,0,0,0
"67",78,78,0,0,0
"68",80,80,0,0,0
"69",0,1,0,0,0
"70",80,86,9,3,7
"71",0,1,0,0,0
"72",71,84,11,5,6
"73",0,1,0,0,0
"74",75,87,0,0,0
"75",79,80,1,0,0
"76",97,82,0,0,0
"77",68,94,0,0,0
"78",73,66,0,0,0
"79",71,91,0,0,0
"80",80,85,1,0,0
"81",93,101,0,0,0
"82",78,63,10,5,6
"83",73,93,0,0,0
"84",81,75,11,5,8
"85",78,82,10,5,7
"86",90,86,11,4,8
"87",0,1,0,0,0
"88",73,79,0,0,0
"89",82,94,9,4,8
"90",81,79,10,4,8
"91",0,1,0,0,0
"92",81,81,0,0,0
"93",79,109,11,5,7
"94",78,92,0,0,0
"95",81,80,8,4,6
"96",75,70,0,0,0
"97",66,72,0,0,0
"98",80,78,8,3,5
"99",90,70,0,0,0
"100",88,82,7,6,6
"101",79,83,0,0,0
"102",81,94,12,5,8
"103",82,87,0,0,0
"104",66,79,1,1,0
"105",88,89,0,0,0
"106",89,77,0,0,0
"107",0,1,0,0,0
"108",0,1,0,0,0
"109",72,73,0,1,0
"110",84,65,0,0,0
"111",81,69,0,0,0
"112",78,64,0,0,0
"113",0,1,0,0,0
"114",72,70,0,0,0
"115",69,75,9,4,7
"116",96,74,0,0,0
"117",92,80,10,5,8
"118",79,71,0,0,0
"119",81,79,0,0,0
"120",82,77,10,4,4
"121",73,70,0,0,0
"122",69,72,1,0,0
"123",82,73,0,0,0
"124",75,70,0,0,0
"125",76,70,9,5,8
"126",87,82,0,0,1
"127",78,78,0,0,0
"128",98,95,11,3,7
"129",0,1,0,0,0
"130",85,84,12,4,9
"131",79,92,0,0,0
"132",0,1,0,0,0
"133",1,1,0,0,0
"134",93,83,0,0,0
"135",84,76,0,0,1
"136",78,82,1,0,0
"137",0,1,0,0,0
"138",75,72,12,4,7
"139",0,1,0,0,0
"140",75,78,0,0,0
"141",88,85,0,0,0
"142",75,84,14,5,5
"143",73,88,0,0,0
"144",99,85,10,6,4
"145",86,97,0,0,0
"146",90,96,8,6,8
"147",74,81,0,0,0
"148",102,80,10,5,6
"149",0,1,0,0,0
"150",80,81,0,0,0
"151",70,94,0,0,0
"152",0,1,0,0,0
"153",82,75,0,0,1
"154",0,1,0,0,0
"155",67,68,0,1,0
"156",90,68,10,5,6
"157",78,86,0,1,0
"158",0,1,0,0,0
"159",71,74,0,0,0
"160",74,82,0,0,0
"161",82,68,0,0,0
"162",103,96,8,4,7
"163",82,75,0,0,0
"164",0,1,0,0,0
"165",90,83,9,4,5
"166",82,84,1,0,0
"167",79,79,0,0,0
"168",81,78,0,0,0
"169",76,77,0,0,0
"170",0,1,0,0,0
"171",75,91,0,0,0
"172",0,1,0,0,0
"173",82,77,12,4,7
"174",67,72,0,0,0
"175",69,88,0,1,0
"176",85,96,1,0,0
"177",0,1,0,0,0
"178",81,86,11,6,6
"179",0,1,0,0,0
"180",75,79,0,0,0
"181",82,78,0,0,0
"182",84,81,0,0,0
"183",88,87,1,0,0
"184",95,90,0,0,0
"185",75,79,8,4,8
"186",73,75,0,0,0
"187",0,1,0,0,0
"188",0,1,0,0,0
"189",88,85,11,4,5
"190",86,81,0,0,0
"191",84,107,8,7,6
"192",83,99,0,0,0
"193",86,90,0,0,0
"194",104,96,10,3,6
"195",0,1,0,0,0
"196",77,83,9,5,8
"197",0,1,0,0,0
"198",0,1,0,0,0
"199",75,65,7,4,7
"200",0,1,0,0,0
"201",0,1,0,0,0
"202",76,86,9,4,5
"203",78,78,0,0,0
"204",71,91,11,6,6
"205",0,1,0,0,0
"206",86,84,0,0,0
"207",80,78,0,0,0
"208",1,1,0,0,0
"209",71,76,0,0,0
"210",75,83,0,0,0
"211",86,73,11,4,6
"212",80,89,10,4,10
"213",91,78,0,0,0
"214",82,65,0,0,1
"215",90,82,12,5,6
"216",85,79,1,0,0
"217",80,89,10,5,6
"218",0,1,0,0,0
"219",88,74,0,0,0
"220",76,81,0,0,0
"221",82,82,9,4,8
"222",76,87,14,7,7
"223",81,78,0,0,0
"224",81,77,0,0,0
"225",99,87,0,0,0
"226",70,82,10,4,8
"227",92,98,0,0,0
"228",0,1,0,0,0
"229",81,76,0,0,0
"230",78,77,9,4,7
"231",86,79,10,6,9
"232",0,1,0,0,0
"233",0,1,0,0,0
"234",90,82,0,0,0
"235",92,88,9,3,6
"236",74,75,0,0,0
"237",71,83,0,0,0
"238",66,79,0,0,0
"239",91,93,15,5,7
"240",78,60,12,4,6
"241",87,82,1,1,1
"242",82,75,0,0,0
"243",64,70,0,0,0
"244",0,1,0,0,0
"245",0,1,0,0,0
"246",81,70,0,0,0
"247",94,84,0,0,0
"248",80,82,0,0,0
"249",76,89,0,0,0
"250",79,81,13,6,8
"251",78,92,12,5,6
"252",82,92,14,4,8
"253",0,1,0,0,0
"254",82,93,0,0,0
"255",78,76,12,5,8
"256",85,82,13,4,5
"257",82,80,0,0,0
"258",0,1,0,0,0
"259",72,71,0,0,0
"260",88,78,0,0,0
"261",96,79,0,0,0
"262",69,70,0,0,1
"263",68,70,0,0,0
"264",81,82,0,0,0
"265",77,68,0,0,0
"266",81,77,0,0,0
"267",77,76,9,7,6
"268",0,1,0,0,0
"269",75,87,0,0,0
"270",0,2,0,0,0
"271",75,74,0,0,0
"272",91,113,0,0,0
"273",83,74,10,4,6
"274",81,82,0,0,0
"275",90,89,0,0,0
"276",76,88,1,1,0
"277",0,1,0,0,0
"278",0,1,0,0,0
"279",76,65,12,4,8
"280",83,91,0,0,0
"281",75,83,8,3,7
"282",87,69,0,0,0
"283",78,77,10,5,7
"284",0,1,0,0,0
"285",99,88,13,5,6
