"","age1_orange.A","age2_no_comorbid_orange.A","age2_comorbid_green.A","age3_no_comorbid_green.A","age3_comorbid_green.A"
"1",35,35,12,4,5
"2",40,36,0,0,0
"3",43,34,0,0,0
"4",0,0,0,0,0
"5",31,32,4,3,6
"6",40,30,0,0,0
"7",39,52,0,0,0
"8",0,0,0,0,0
"9",31,41,0,0,0
"10",41,37,0,0,0
"11",33,49,6,2,3
"12",44,40,0,0,0
"13",45,40,9,1,3
"14",39,39,5,3,4
"15",26,41,7,2,2
"16",39,42,4,3,2
"17",37,35,0,0,0
"18",30,36,0,0,0
"19",35,28,0,0,0
"20",41,31,0,0,0
"21",41,36,4,5,2
"22",37,33,4,2,4
"23",0,0,0,0,0
"24",42,45,0,0,0
"25",50,33,0,0,0
"26",30,35,6,2,3
"27",34,36,0,0,0
"28",0,0,0,0,0
"29",42,41,0,0,0
"30",0,0,0,0,0
"31",36,36,0,0,0
"32",33,35,0,0,0
"33",37,42,0,0,0
"34",38,28,6,3,3
"35",35,40,6,3,2
"36",33,38,4,3,3
"37",36,34,7,2,5
"38",39,39,3,2,2
"39",38,27,4,3,5
"40",39,41,0,0,0
"41",38,34,4,2,1
"42",36,40,0,0,0
"43",0,0,0,0,0
"44",36,36,4,2,2
"45",33,40,4,2,4
"46",0,1,0,0,0
"47",0,1,0,0,0
"48",0,0,0,0,0
"49",32,45,6,3,4
"50",27,43,0,0,0
"51",32,28,0,0,0
"52",36,37,0,0,0
"53",39,45,4,3,4
"54",38,42,0,0,0
"55",44,42,0,0,0
"56",37,39,0,0,0
"57",29,33,0,0,0
"58",36,32,5,3,3
"59",33,34,0,0,0
"60",27,30,8,1,2
"61",33,30,0,0,0
"62",39,40,1,0,0
"63",48,42,0,0,0
"64",0,0,0,0,0
"65",34,34,0,0,0
"66",34,31,0,0,0
"67",39,35,0,0,0
"68",43,40,0,0,0
"69",0,0,0,0,0
"70",34,41,6,3,3
"71",0,0,0,0,0
"72",28,35,8,2,2
"73",0,0,0,0,0
"74",25,29,0,0,0
"75",39,38,0,0,0
"76",42,43,0,0,0
"77",43,44,0,0,0
"78",41,38,0,0,0
"79",35,43,0,0,0
"80",36,33,0,0,0
"81",42,49,0,0,0
"82",24,29,4,2,5
"83",28,44,0,0,0
"84",37,33,6,3,5
"85",46,35,8,2,3
"86",34,42,5,2,5
"87",0,0,0,0,0
"88",36,38,0,0,0
"89",46,37,9,3,4
"90",33,32,4,4,5
"91",0,0,0,0,0
"92",33,39,0,0,0
"93",39,43,8,2,4
"94",34,49,0,0,0
"95",44,31,4,3,3
"96",30,32,0,0,0
"97",38,36,0,0,0
"98",34,32,6,1,1
"99",40,35,0,0,0
"100",42,40,4,2,3
"101",44,38,0,0,0
"102",31,29,6,2,4
"103",28,36,0,0,0
"104",38,38,1,0,0
"105",27,42,0,0,0
"106",43,37,0,0,0
"107",0,0,0,0,0
"108",0,0,0,0,0
"109",43,37,0,0,0
"110",40,47,0,0,0
"111",35,33,0,0,0
"112",30,37,0,0,0
"113",0,0,0,0,0
"114",36,38,0,0,0
"115",33,33,6,2,5
"116",42,31,0,0,0
"117",29,37,4,2,3
"118",38,34,0,0,0
"119",50,36,0,0,0
"120",32,40,5,5,5
"121",41,38,0,0,0
"122",35,37,0,0,0
"123",33,35,0,0,0
"124",37,35,0,0,0
"125",35,31,6,2,1
"126",38,39,0,0,0
"127",39,40,0,0,0
"128",43,39,5,4,4
"129",0,0,0,0,0
"130",36,37,5,4,6
"131",34,35,0,0,0
"132",0,1,0,0,0
"133",0,0,0,0,0
"134",33,29,0,0,0
"135",43,30,0,0,0
"136",37,32,0,0,0
"137",0,0,0,0,0
"138",39,44,6,3,7
"139",0,0,0,0,0
"140",29,38,0,0,0
"141",46,41,0,0,0
"142",35,43,7,4,6
"143",35,42,0,0,0
"144",37,41,3,2,2
"145",44,26,0,0,0
"146",45,42,6,2,3
"147",36,35,0,0,0
"148",39,45,5,1,3
"149",0,0,0,0,0
"150",37,35,0,0,0
"151",33,33,0,0,0
"152",0,0,0,0,0
"153",38,40,0,0,0
"154",0,1,0,0,0
"155",31,37,0,0,0
"156",36,37,6,3,2
"157",44,37,0,0,0
"158",0,0,0,0,0
"159",26,42,0,0,0
"160",34,40,0,0,0
"161",33,33,0,0,0
"162",46,50,5,2,2
"163",40,41,0,0,0
"164",0,0,0,0,0
"165",31,45,5,2,4
"166",38,40,0,0,0
"167",33,42,0,0,0
"168",34,40,0,0,0
"169",38,33,0,0,0
"170",0,0,0,0,0
"171",41,39,0,0,0
"172",0,0,0,0,0
"173",33,34,8,2,1
"174",29,34,0,0,0
"175",47,38,0,0,0
"176",32,41,1,0,0
"177",0,0,0,0,0
"178",39,36,6,3,5
"179",0,0,0,0,0
"180",36,34,0,0,0
"181",40,33,0,0,0
"182",33,33,0,0,0
"183",32,32,0,0,0
"184",34,42,0,0,0
"185",42,39,5,3,3
"186",34,40,0,0,0
"187",0,1,0,0,0
"188",0,0,0,0,0
"189",36,41,6,1,3
"190",32,28,0,0,0
"191",38,37,4,1,2
"192",34,39,0,0,0
"193",42,41,0,0,0
"194",44,42,6,1,3
"195",0,0,0,0,0
"196",40,31,6,2,3
"197",0,1,0,0,0
"198",0,0,0,0,0
"199",31,32,3,2,4
"200",0,1,0,0,0
"201",0,0,0,0,0
