"","age1_orange.I","age2_no_comorbid_orange.I","age2_comorbid_green.I","age3_no_comorbid_green.I","age3_comorbid_green.I"
"1",48.1004163386511,49.1488822730247,112.481868551099,113.687348235589,116.250901265236
"2",51.6808697036504,53.2517674693782,0,0,0
"3",63.5792376440082,70.4281574852018,0,78.2709974271689,0
"4",0,3.24677731667233,0,0,0
"5",42.2785318905809,50.0347701728525,107.511325463751,110.010346335027,93.945424284971
"6",52.653794460522,51.9684269628849,62.9454123739821,0,0
"7",49.2436139168542,59.7523810752132,0,0,0
"8",10.7162594326075,9.11546390958549,0,0,0
"9",47.4142806286053,52.016107204459,0,0,0
"10",44.5875612405316,46.4199366466645,0,0,0
"11",49.2546366538687,52.0706772926897,123.751547434474,126.134504760267,106.681001573137
"12",46.2677219809572,48.1102016256147,0,0,0
"13",50.560197925493,53.2176305621722,100.855275492939,96.2985751299904,88.0324919935221
"14",52.5840873675484,57.4257566302388,123.444136201386,140.114193548663,123.577084578357
"15",52.339758851667,59.3699826764667,84.8622921649505,67.2277933166896,89.8193347077462
"16",47.3389833480191,48.459387548895,79.5246298553272,67.6194476110019,91.2037988209916
"17",46.4001357676305,45.8960801015251,0,0,0
"18",43.2446268311081,46.4616422195754,0,0,0
"19",65.6223136011841,72.8746573781446,0,0,0
"20",51.2715780361628,57.5739040580137,0,0,0
"21",47.651595100774,50.0291021214576,104.430386792169,97.7670627276854,107.154053693056
"22",56.9328280796763,62.606324829445,109.681644731043,91.2891706051065,108.154871923121
"23",0,1.68594179780507,0,0,0
"24",38.836905678665,43.8590208251106,0,0,0
"25",52.5324891562723,52.5829421965228,0,0,0
"26",52.7900338932545,54.5555593034568,110.860038313909,116.610542575879,107.167281804834
"27",64.4578721298986,65.9485497996985,0,0,0
"28",0,6.82828353439583,0,0,0
"29",52.4722855240472,57.4956094353483,0,0,0
"30",0,2.57694316203998,0,0,0
"31",49.9061801883587,53.4515390104991,0,0,0
"32",49.3862039979908,57.0239667987904,63.6208517110167,0,0
"33",47.9909954346248,46.7983294014841,0,0,0
"34",57.5791717042764,61.7690913356674,133.409271817644,94.2874308320499,103.673332323838
"35",49.36461531161,50.6458400931114,79.4932635505896,84.468830677003,75.6522710081044
"36",79.5431146831734,81.5595677053911,94.5372164301136,117.570264183055,91.1778943243806
"37",48.9006229850809,53.1444831969478,99.2897040438283,110.146556376542,117.319016291387
"38",48.5014698108251,48.6892747488138,116.154986831708,121.715022825208,118.113074516081
"39",52.7827520620314,59.5229402641192,116.770546830152,121.793338501285,113.780184948326
"40",48.1315259766684,49.9039701926081,0,0,0
"41",46.2033131486616,56.5313907799272,99.1456980395066,111.825348130315,124.933496736308
"42",55.2046468946043,56.4506423644182,45.2349755086962,0,0
"43",10.5603251988698,6.28028714021009,0,0,0
"44",52.0520650328762,58.6484908096508,122.128457097314,132.421781853055,111.014806868719
"45",46.4913623776649,47.4939965891088,71.19376441269,80.2597504392536,74.4544050989119
"46",11.8115822156946,8.22355894092115,0,0,0
"47",0,0,0,0,0
"48",8.91749357072204,9.15027054761639,0,0,0
"49",45.9196074119818,48.629381981941,96.9375790515505,98.1618509322363,97.29712372849
"50",38.1584776646119,47.173954141034,0,0,0
"51",52.7788885590698,52.2868509298617,60.457177462974,0,0
"52",51.6847856373475,56.6691308784544,0,0,0
"53",41.606303632421,42.0199835814313,87.7089951238499,82.7624926439412,96.881203852926
"54",55.1034665114855,61.362810849953,0,0,0
"55",54.7800130367981,55.5987297833649,0,0,0
"56",55.4212965031902,57.7970101409283,0,0,0
"57",53.0028592946418,60.2689609133843,0,0,0
"58",52.2780037667348,49.6332132072747,94.4977983511579,109.272696473849,98.43426334872
"59",49.4537013226104,50.101607946436,0,0,0
"60",66.9743773577855,70.8003430696108,114.818441074489,123.407697571596,117.182814679022
"61",45.1140659005464,51.9103104739679,0,0,0
"62",40.1539767236826,51.6341907546247,0,48.1346513687195,0
"63",53.4105476716138,59.1100670023368,0,0,0
"64",0,1.7391068808836,0,0,0
"65",56.5533785038551,59.0483736683323,0,0,0
"66",50.3335344752753,55.9656962818953,0,0,0
"67",56.4805603984909,59.2407930053373,0,0,0
"68",74.3493324828967,76.482283782239,0,0,0
"69",0,5.31307455674368,0,0,0
"70",52.1733110915672,56.2683248542971,91.8612193290019,96.68925047797,92.4728210873388
"71",0,2.89548040151334,0,0,0
"72",60.9345483529851,62.7801177473736,107.091285814666,107.621411311591,126.713420510481
"73",0,2.99479093448108,0,0,0
"74",66.4837596642046,69.0494333725868,0,0,0
"75",74.3546083079006,72.3104419762216,63.956679972763,0,0
"76",38.8122433760128,42.7333922138388,0,0,0
"77",52.0550181894073,53.3277073987575,0,0,0
"78",47.2072282267495,52.327392207764,0,0,0
"79",48.7983691438457,54.9397436116687,0,0,0
"80",48.3739014358537,51.7489574126413,50.4999980512347,0,0
