"","age1_orange.P","age2_no_comorbid_orange.P","age2_comorbid_orange.P","age3_no_comorbid_green.P","age3_comorbid_green.P"
"1",34.1922074353239,36.6918474984446,36.0532508333166,0,0
"2",0,0.0647529356771901,0,0,0
"3",39.1215808691581,40.4112507939702,38.8759042419042,0,57.5746331154501
"4",34.2286362803314,34.6538385696473,30.2704808325301,0,0
"5",30.7006326060986,33.3803953861833,27.6198490299461,55.6097949718598,70.8468237183595
"6",33.6080771742559,35.1802467201596,34.2743348896757,51.5642076492961,55.7964458894141
"7",43.4681500818581,47.4528463700935,42.9916139327771,0,0
"8",28.5397443386793,28.8490504039743,25.9130676184308,0,59.157524175024
"9",35.2323536491574,35.1356977091522,39.2483940031618,0,37.8679260832474
"10",25.0853817992198,25.3369480733998,25.4952926696078,0,0
"11",25.0787347722561,28.9404833044496,23.0960241920383,0,0
"12",30.1680916360459,32.7197050684711,30.5170335267405,76.7249187257274,73.329111103463
"13",28.2401102173857,31.0969017074357,33.1607100358626,0,0
"14",31.8844420945811,32.6217068726709,34.8328343180533,89.6425258584662,98.7903637564328
"15",30.4802886451519,37.1917508391242,36.6528183985979,49.1172030533844,45.467483072008
"16",30.4123289462836,36.0069037911122,33.1562645703771,80.7923713113338,67.8882226515868
"17",27.6779933405047,28.730987889725,32.0860759189384,0,0
"18",34.0887663553486,35.5704065815621,33.7107479150376,0,0
"19",28.4560846555966,31.9727282590648,33.2604997070897,0,0
"20",27.4435268270262,29.8681792701237,28.6552977326857,52.7258104432986,66.8595787346805
"21",12.452180139988,4.16359855246582,0,0,0
"22",31.771922331429,31.4686196748734,30.576011598571,0,0
"23",39.8517287080746,42.1974190670573,39.8517287080746,0,0
"24",28.5787682177597,32.0649727343312,26.7598995610716,54.3832528517457,55.5219538122974
"25",32.2441451541393,32.8043528944056,38.1990244446674,0,0
"26",35.3312288302038,38.9492344008237,39.9578735667927,0,0
"27",0,0.134564348433028,0,0,0
"28",23.9332659532286,23.867898403452,30.1392474211701,0,0
"29",31.4908664885741,33.9665258363524,29.6702922613685,45.4992792148736,53.8628821545459
"30",23.2985393698776,25.4747526785744,27.5560708532766,37.5296764315042,0
"31",31.0226478977321,30.8841971172743,38.2937075842384,105.752985293825,120.500528812445
"32",0,0.332862698873257,0,0,0
"33",28.4057177891348,35.210829248265,33.5558950107253,40.2491460831619,48.464122963636
"34",35.5741463686106,33.8863824875016,41.6728971972997,0,38.4534835574282
"35",34.9130815337925,34.4816989972402,33.1339067577151,88.9099682133425,86.0608224172378
"36",47.4649900011227,47.7024658804986,47.7024658804986,0,0
"37",26.3643668029357,28.7667696428802,29.0709863278607,70.6494595461539,69.1090648827507
"38",49.546739123862,52.5184529769659,52.3316663848253,93.1851708591361,89.4640126190409
"39",30.1573991266911,38.9039121995421,35.1570441812568,0,0
"40",0,0.0931660058193852,0,0,0
"41",34.8102059519039,38.0082449784914,34.2690986864211,101.700811497413,92.3828054846621
"42",46.0176472569301,51.9264521020173,52.0958629603618,0,0
"43",13.3051500667072,5.06387789132381,0,0,0
"44",33.53532955234,32.1421176637044,35.2027226085628,75.0784618897586,69.4433776847889
"45",25.1316418546997,24.9725197929152,24.9096864379589,68.9527287453265,66.9493325408076
"46",29.5417777429561,34.7038312267504,34.2709081321609,41.485160360133,43.2368827627184
"47",0,0.849681994382299,0,0,0
"48",39.9335014026858,44.073083215573,42.2143814784243,59.6700094597298,63.7270304033796
