"","age1_orange.D","age2_no_comorbid_orange.D","age2_comorbid_orange.D","age3_no_comorbid_green.D","age3_comorbid_green.D"
"1",6.51105651105651,8.06794055201699,25.5591054313099,0,0
"2",7.86240786240786,8.49256900212314,27.1565495207668,0,1.34048257372654
"3",7.73955773955774,7.00636942675159,29.5527156549521,0,0
"4",6.38820638820639,9.02335456475584,28.7539936102236,27.2727272727273,49.597855227882
"5",7.86240786240786,9.02335456475584,29.5527156549521,29.5454545454545,46.916890080429
"6",8.47665847665848,9.55414012738854,27.1565495207668,0,0
"7",8.10810810810811,9.23566878980892,32.7476038338658,22.7272727272727,57.6407506702413
"8",7.61670761670762,7.85562632696391,18.370607028754,13.6363636363636,49.597855227882
"9",6.38820638820639,8.9171974522293,34.3450479233227,0,0
"10",5.52825552825553,6.79405520169851,27.9552715654952,9.09090909090909,48.2573726541555
"11",9.33660933660934,7.74946921443737,28.7539936102236,25,58.9812332439678
"12",8.35380835380835,9.23566878980892,23.961661341853,0,0
"13",6.38820638820639,8.28025477707006,25.5591054313099,0,0
"14",6.38820638820639,7.85562632696391,24.7603833865815,13.6363636363636,46.916890080429
"15",7.37100737100737,9.55414012738854,28.7539936102236,31.8181818181818,44.2359249329759
"16",7.37100737100737,9.34182590233546,21.5654952076677,0,0
"17",0,0,0,0,0
"18",6.87960687960688,9.55414012738854,27.1565495207668,6.81818181818182,52.2788203753351
"19",8.23095823095823,9.97876857749469,30.3514376996805,18.1818181818182,56.3002680965147
"20",5.8968058968059,8.06794055201699,24.7603833865815,29.5454545454545,58.9812332439678
"21",6.63390663390663,9.02335456475584,25.5591054313099,0,0
"22",8.5995085995086,9.23566878980892,29.5527156549521,0,0
"23",7.86240786240786,7.21868365180467,29.5527156549521,0,0
"24",8.72235872235872,8.3864118895966,27.1565495207668,22.7272727272727,41.5549597855228
"25",0,0,0,0,0
"26",7.61670761670762,8.49256900212314,30.3514376996805,27.2727272727273,46.916890080429
"27",8.35380835380835,8.9171974522293,27.1565495207668,0,0
