"","age1_orange.P","age2_no_comorbid_orange.P","age2_comorbid_orange.P","age3_no_comorbid_green.P","age3_comorbid_green.P"
"1",137,110,22,0,0
"2",0,1,0,0,0
"3",122,109,17,0,1
"4",116,115,17,0,0
"5",95,96,17,4,5
"6",121,112,17,6,8
"7",104,105,19,0,0
"8",112,108,18,0,1
"9",97,107,18,0,1
"10",113,108,15,0,0
"11",113,114,16,0,0
"12",128,117,15,6,8
"13",100,104,19,0,0
"14",106,114,19,3,6
"15",100,112,15,5,8
"16",124,123,17,4,8
"17",97,136,18,0,0
"18",122,127,19,0,0
"19",116,119,20,0,0
"20",111,107,21,6,11
"21",1,1,0,0,0
"22",114,111,18,0,0
"23",106,109,20,0,0
"24",127,108,22,5,9
"25",116,104,15,0,0
"26",113,100,16,0,0
"27",0,1,0,0,0
"28",124,126,16,0,0
"29",121,107,21,6,7
"30",111,132,18,1,0
"31",106,108,14,6,8
"32",0,1,0,0,0
"33",136,117,19,7,9
"34",112,114,15,0,1
"35",112,120,17,6,8
"36",114,105,20,0,0
"37",117,124,19,7,7
"38",109,120,14,3,5
"39",105,92,22,0,0
"40",0,1,0,0,0
"41",108,116,22,6,8
"42",102,105,20,0,0
"43",1,1,0,0,0
"44",105,109,18,5,7
"45",113,134,23,7,6
"46",111,103,17,7,11
"47",0,1,0,0,0
"48",120,108,17,6,8
"49",126,130,21,1,0
"50",112,126,22,4,9
"51",0,1,0,0,0
"52",108,117,16,0,0
"53",133,141,18,6,8
"54",125,116,17,4,9
"55",93,106,18,0,1
"56",110,112,18,0,0
"57",120,118,16,0,0
"58",0,1,0,0,0
"59",127,119,19,0,0
"60",110,129,19,6,8
"61",0,1,1,0,0
"62",110,116,19,3,8
"63",121,104,19,0,0
"64",112,134,22,0,0
"65",0,1,0,0,0
"66",126,119,17,1,0
"67",0,1,0,0,0
"68",147,124,19,0,1
"69",107,122,18,0,0
"70",124,132,21,0,1
"71",122,88,14,4,8
"72",104,113,24,0,0
"73",108,130,26,7,8
"74",0,1,0,0,0
"75",125,131,22,6,9
"76",106,137,21,0,0
"77",118,114,24,3,4
"78",108,118,18,3,7
"79",128,121,16,0,0
"80",110,140,20,0,0
"81",0,1,0,0,0
"82",114,114,20,3,6
"83",121,139,22,4,6
"84",139,122,23,0,0
"85",148,131,20,0,0
"86",113,121,16,0,0
"87",112,122,18,0,0
"88",120,106,18,8,9
"89",114,133,17,0,0
"90",116,96,17,4,8
"91",121,120,23,0,0
"92",117,118,12,5,9
"93",119,114,17,0,0
"94",99,112,16,0,0
"95",119,123,21,3,4
"96",109,111,16,4,10
"97",108,113,16,0,1
"98",97,106,14,6,8
"99",105,105,18,5,8
"100",0,1,0,0,0
"101",114,121,14,0,0
"102",121,126,25,3,5
"103",132,129,15,5,7
"104",123,115,19,0,1
"105",101,139,16,0,0
"106",123,109,20,0,0
"107",114,109,20,4,8
"108",102,105,16,0,0
"109",122,110,18,4,7
"110",116,143,19,6,7
"111",94,106,16,5,6
"112",118,119,21,7,10
"113",128,127,15,4,4
"114",110,124,17,0,0
"115",0,1,0,0,0
"116",111,111,17,0,0
"117",117,129,21,0,0
"118",133,141,20,4,6
"119",107,115,16,0,0
"120",99,110,20,0,1
"121",125,123,23,1,0
"122",109,100,18,1,0
"123",111,125,22,0,0
"124",0,1,0,0,0
"125",128,129,17,5,8
"126",108,110,16,0,0
"127",115,140,17,0,0
"128",107,116,21,0,0
"129",0,1,0,0,0
"130",119,99,23,0,0
"131",0,1,0,0,0
"132",131,107,19,7,8
"133",113,127,17,6,7
"134",0,1,0,0,0
"135",106,102,20,6,8
"136",0,1,0,0,0
"137",0,1,0,0,0
"138",99,119,17,0,0
"139",129,118,16,0,0
"140",110,122,22,7,9
"141",0,1,0,0,0
"142",0,1,0,0,0
"143",117,113,15,0,1
"144",123,108,19,5,7
"145",125,166,29,1,2
"146",114,119,17,6,7
"147",128,128,18,0,0
"148",107,134,19,0,0
"149",108,132,21,0,0
"150",95,114,12,0,0
"151",125,114,26,5,7
"152",107,114,16,9,10
"153",103,124,24,5,9
"154",91,88,19,0,0
"155",96,100,15,4,8
"156",111,123,16,0,0
"157",100,112,14,0,0
"158",108,101,23,4,5
"159",124,135,26,3,5
"160",131,141,20,5,6
"161",127,109,20,0,0
"162",0,1,0,0,0
"163",100,109,18,0,0
"164",125,135,18,0,0
"165",150,126,19,0,1
"166",146,123,23,0,0
"167",0,1,0,0,0
"168",112,103,17,0,0
"169",108,113,18,5,8
"170",116,130,17,0,0
"171",129,137,18,7,9
"172",112,127,19,5,8
"173",135,115,21,0,0
"174",138,134,24,6,9
"175",0,1,0,0,0
"176",0,1,0,0,0
"177",97,100,14,4,7
"178",1,1,0,0,0
"179",0,1,0,0,0
"180",126,118,16,10,9
"181",0,1,0,0,0
"182",108,105,18,4,4
"183",115,106,19,0,1
"184",110,121,20,5,9
"185",109,119,19,5,4
"186",130,130,22,0,0
"187",102,118,17,0,1
"188",125,119,23,0,0
"189",92,99,16,1,0
"190",113,109,18,3,7
"191",0,1,0,0,0
"192",109,113,23,4,4
"193",109,120,17,0,1
"194",122,109,19,1,0
"195",0,1,0,0,0
"196",128,117,20,0,0
"197",119,106,18,0,0
"198",101,109,18,7,10
"199",117,115,18,5,8
"200",110,100,13,0,1
"201",122,130,23,0,0
"202",0,1,1,0,0
"203",125,122,22,5,8
"204",0,1,0,0,0
"205",95,97,17,4,5
"206",0,1,0,0,0
"207",115,121,17,5,11
"208",116,116,16,0,0
"209",118,106,18,4,7
"210",0,1,0,0,0
"211",114,122,18,0,0
"212",119,116,22,0,0
"213",111,110,19,0,0
"214",123,116,19,5,6
