"","age1_orange.A","age2_no_comorbid_orange.A","age2_comorbid_orange.A","age3_no_comorbid_green.A","age3_comorbid_green.A"
"1",7.86240786240786,4.77707006369427,7.18849840255591,0,0
"2",0,0,0,0,0
"3",5.8968058968059,4.56475583864119,3.19488817891374,0,1.34048257372654
"4",5.8968058968059,5.09554140127389,8.78594249201278,0,0
"5",5.03685503685504,3.5031847133758,5.59105431309904,6.81818181818182,4.02144772117963
"6",4.91400491400491,4.98938428874735,7.98722044728434,6.81818181818182,8.04289544235925
"7",5.65110565110565,4.67091295116773,4.79233226837061,0,0
"8",5.03685503685504,4.14012738853503,9.58466453674121,0,0
"9",5.8968058968059,4.88322717622081,6.38977635782748,0,0
"10",5.52825552825553,5.09554140127389,4.79233226837061,0,0
"11",6.63390663390663,4.88322717622081,8.78594249201278,0,0
"12",5.52825552825553,6.05095541401274,6.38977635782748,4.54545454545455,6.70241286863271
"13",5.77395577395577,4.14012738853503,5.59105431309904,0,0
"14",6.01965601965602,6.05095541401274,5.59105431309904,4.54545454545455,2.68096514745308
"15",5.65110565110565,5.20169851380042,6.38977635782748,6.81818181818182,10.7238605898123
"16",4.42260442260442,5.73248407643312,4.79233226837061,6.81818181818182,5.36193029490617
"17",5.8968058968059,6.26326963906582,7.18849840255591,0,0
"18",5.28255528255528,4.88322717622081,7.98722044728434,0,0
"19",5.15970515970516,5.73248407643312,5.59105431309904,0,0
"20",5.15970515970516,4.35244161358811,8.78594249201278,4.54545454545455,5.36193029490617
"21",0,0,0,0,0
"22",4.79115479115479,4.88322717622081,4.79233226837061,0,0
"23",4.91400491400491,4.24628450106157,5.59105431309904,0,0
"24",5.52825552825553,5.30785562632696,5.59105431309904,9.09090909090909,5.36193029490617
"25",7.002457002457,4.98938428874735,4.79233226837061,0,0
"26",6.14250614250614,3.92781316348195,4.79233226837061,0,0
"27",0,0,0,0,0
"28",6.26535626535627,6.68789808917197,7.18849840255591,0,0
"29",5.40540540540541,6.26326963906582,5.59105431309904,11.3636363636364,2.68096514745308
"30",5.77395577395577,5.09554140127389,7.18849840255591,0,0
"31",6.01965601965602,5.20169851380042,5.59105431309904,2.27272727272727,2.68096514745308
"32",0,0,0,0,0
"33",6.01965601965602,5.62632696390658,4.79233226837061,4.54545454545455,4.02144772117963
"34",6.01965601965602,5.52016985138004,5.59105431309904,0,1.34048257372654
"35",4.79115479115479,4.98938428874735,4.79233226837061,4.54545454545455,4.02144772117963
"36",6.01965601965602,4.45859872611465,7.18849840255591,0,0
"37",5.03685503685504,5.83864118895966,7.18849840255591,6.81818181818182,5.36193029490617
"38",6.51105651105651,4.77707006369427,8.78594249201278,4.54545454545455,4.02144772117963
"39",4.79115479115479,5.09554140127389,8.78594249201278,0,0
"40",0,0.106157112526539,0,0,0
"41",6.51105651105651,4.77707006369427,7.18849840255591,6.81818181818182,4.02144772117963
"42",4.91400491400491,4.24628450106157,4.79233226837061,0,0
"43",0,0,0,0,0
"44",5.52825552825553,4.67091295116773,6.38977635782748,6.81818181818182,5.36193029490617
"45",4.79115479115479,4.14012738853503,5.59105431309904,9.09090909090909,6.70241286863271
