"","age1_orange.A","age2_no_comorbid_orange.A","age2_comorbid_orange.A","age3_no_comorbid_green.A","age3_comorbid_green.A"
"1",16,12,2,0,0
"2",1,0,0,0,0
"3",0,0,0,0,0
"4",16,9,3,0,0
"5",0,0,0,0,0
"6",0,1,0,0,0
"7",19,15,5,0,0
"8",18,17,2,0,0
"9",0,0,0,0,0
"10",0,1,0,0,0
"11",0,0,0,0,0
"12",17,11,2,0,0
"13",14,11,3,0,0
"14",18,17,6,0,0
"15",0,0,0,0,0
"16",0,0,0,0,0
"17",18,15,2,0,0
"18",0,0,0,0,0
"19",17,17,3,0,0
"20",12,12,6,0,0
"21",18,12,3,0,0
"22",0,0,0,0,0
"23",17,12,3,0,0
"24",21,14,2,0,0
"25",0,0,0,0,0
"26",18,15,3,0,0
"27",2,2,0,0,0
"28",0,0,0,0,0
"29",18,14,2,0,0
"30",0,0,0,0,0
"31",0,0,0,0,0
"32",14,17,4,0,0
"33",16,15,2,0,0
"34",1,1,0,0,0
"35",14,11,3,0,0
"36",19,14,2,0,0
"37",0,1,0,0,0
"38",14,15,5,0,0
"39",0,0,0,0,0
"40",0,1,0,0,0
"41",17,13,4,0,0
"42",17,14,2,0,0
"43",0,0,0,0,0
"44",18,14,6,0,0
"45",13,18,4,0,0
"46",19,13,3,0,0
"47",18,15,5,0,0
"48",0,0,0,0,0
"49",12,14,3,0,0
"50",11,15,3,0,0
"51",0,0,0,0,0
"52",21,13,5,0,0
"53",1,0,0,0,0
"54",10,8,2,0,0
"55",20,15,3,0,0
"56",0,0,0,0,0
"57",14,15,5,0,0
"58",21,14,2,0,0
"59",0,0,0,0,0
"60",13,9,1,0,0
"61",0,0,0,0,0
"62",0,0,0,0,0
"63",1,1,1,0,0
"64",15,14,2,0,0
"65",0,0,0,0,0
"66",17,9,3,0,0
"67",19,16,3,0,0
"68",12,10,1,0,0
"69",25,19,4,0,0
"70",0,0,0,0,0
"71",0,0,0,0,0
"72",0,0,0,0,0
"73",0,0,0,0,0
"74",16,21,1,0,0
"75",17,11,2,0,0
"76",20,15,3,0,0
"77",12,18,2,0,0
"78",13,10,4,0,0
"79",0,0,0,0,0
"80",0,0,0,0,0
"81",1,0,0,0,0
"82",19,20,3,0,0
"83",0,0,0,0,0
"84",0,0,0,0,0
"85",0,0,0,0,0
"86",0,1,0,0,0
"87",19,11,2,0,0
"88",14,17,4,0,0
"89",0,0,0,0,0
"90",0,0,1,0,0
"91",0,0,0,0,0
"92",16,11,4,0,0
"93",11,12,3,0,0
"94",0,0,0,0,0
"95",19,16,2,0,0
"96",0,1,0,0,0
"97",0,2,0,0,0
"98",1,1,0,0,0
"99",0,0,0,0,0
"100",0,1,0,0,0
"101",0,0,0,0,0
"102",0,0,0,0,0
"103",0,0,0,0,0
"104",17,17,2,0,0
"105",0,0,0,0,0
"106",16,12,2,0,0
"107",0,1,0,0,0
"108",16,11,3,0,0
"109",17,16,3,0,0
"110",0,0,0,0,0
"111",18,15,4,0,0
"112",0,0,0,0,0
"113",13,14,2,0,0
"114",18,14,3,0,0
"115",0,0,0,0,0
"116",0,0,0,0,0
"117",1,0,0,0,0
"118",21,21,4,0,0
"119",19,12,4,0,0
"120",0,0,0,0,0
"121",24,15,4,0,0
"122",0,1,0,0,0
"123",0,1,0,0,0
"124",15,16,3,0,1
"125",1,2,0,0,0
"126",0,0,0,0,0
"127",17,18,2,0,0
"128",0,0,0,0,0
"129",18,18,2,0,0
"130",18,12,3,0,0
"131",0,0,0,0,0
"132",13,9,5,0,0
"133",0,1,0,0,0
"134",17,12,2,0,0
"135",14,12,2,0,0
"136",18,13,2,0,0
"137",1,0,0,0,0
"138",0,1,0,0,0
"139",18,17,3,0,0
"140",16,14,3,0,0
"141",0,0,0,0,0
"142",14,14,4,0,1
"143",15,15,4,0,0
"144",1,0,0,0,0
"145",20,18,6,0,0
"146",13,20,3,0,0
"147",12,12,3,0,1
"148",13,11,3,0,0
"149",0,0,1,0,0
"150",0,1,0,0,0
"151",0,0,0,0,0
"152",16,15,3,0,0
"153",15,17,4,0,0
"154",0,0,0,0,0
"155",0,1,0,0,0
"156",0,1,0,0,0
"157",0,0,0,0,0
"158",0,0,0,0,0
"159",14,11,3,0,0
"160",14,15,1,0,0
"161",0,0,0,0,0
"162",0,0,0,0,0
"163",0,0,0,0,0
"164",14,15,3,0,0
"165",17,14,3,0,0
