"","age1_orange.I","age2_no_comorbid_orange.I","age2_comorbid_orange.I","age3_no_comorbid_green.I","age3_comorbid_green.I"
"1",38.2237041663431,39.8702855028319,41.4836957219055,0,0
"2",0,4.15437629000928,0,0,0
"3",42.8916117093488,47.5958305591564,45.6078011870099,0,0
"4",36.3952984115409,37.0437503435298,35.2734602110001,0,0
"5",32.4168035790754,34.7168721907512,31.6119388033598,59.5636276855281,75.3830716440973
"6",37.5507974657862,39.3487990382252,36.5895100727896,56.9767933431016,58.9754010633775
"7",50.1612651485709,51.6330652513628,50.5710801092347,0,0
"8",33.4289596410192,35.2436637542545,30.449496937011,0,59.9071667012857
"9",38.7993400160271,44.2463604991925,41.8428291200668,0,38.4107060591306
"10",31.8848475900027,32.7776266844949,33.04838892066,0,0
"11",30.0183703702995,31.6893119505529,30.9370745696394,0,0
"12",36.0964754375245,39.2775620225725,36.1147710900776,78.1500314998513,82.1103181218417
"13",34.3329735077546,39.4738435777227,38.478079651871,0,0
"14",37.6677330769384,37.7389564365934,37.7389564365934,97.1282885980134,102.23226528218
"15",37.7663697421803,41.8703450716121,46.9183589346836,72.0429174672334,46.7269030857874
"16",34.5576342786296,38.1207752670759,38.4978334148752,75.1360555116504,66.7599815052278
"17",35.1191486007078,36.3950651013681,35.7570654966003,0,0
"18",37.6900211206575,40.3750747406134,38.5727072131901,0,0
"19",34.1405289967672,36.3831134965102,38.4703524486343,0,0
"20",33.4441646607355,34.1356425543271,30.3504486120313,58.539250602268,69.3462430362675
"21",12.4580433242864,5.83896624240275,0,0,0
"22",35.4545662481301,37.9125595856588,33.0531373746416,0,0
"23",45.7160418530411,46.9563045377566,47.5174289994001,0,0
"24",30.1808645987015,34.8557708141995,34.8041861373117,66.3768451343231,60.4469424519082
"25",35.9295542725234,41.034920690825,41.1056377092148,0,0
"26",42.9511134094064,44.1394654201445,44.5881542077548,0,0
"27",0,0.280287204751001,0,0,0
"28",29.3250382893039,28.5189449847569,24.5521008762103,0,0
"29",35.9543238236604,35.0582404576903,33.66939862363,48.9387950290438,48.3094550922466
"30",26.5558646649331,27.683246325077,28.8914707112704,37.669560805833,0
"31",32.9096382058747,39.2237348694799,36.2274834273764,118.010581802528,122.61303821287
"32",0,0.931633797168352,0,0,0
"33",32.7868927416878,35.6623617658309,37.8409577755158,50.2772936291406,49.1902691497558
"34",38.805925414743,37.2851382541252,36.6584334503385,0,40.9143003731522
"35",39.6887469553543,39.6887469553543,49.0276390402248,89.7280948846513,91.3071871879653
"36",51.2151748773484,54.2345138262954,52.0619351353084,0,0
"37",31.0495750152672,33.2348286360026,30.7219510440055,88.2873560203328,83.3098099797434
"38",53.0639597044232,57.3179352529539,57.2976355804887,74.2933437645765,92.4190587691471
"39",36.5786071977277,39.6777907289103,43.2930795903208,0,0
"40",0,0,0,0,0
"41",38.2358488414939,42.1121721029807,38.2358488414939,106.33417407407,104.238255299497
"42",52.3824545263136,56.5879649537097,52.5319035213996,0,0
"43",13.4724257408455,10.1193549555182,0,0,0
"44",37.027949514627,38.7342078459951,38.6271002236385,87.3376257639275,79.5265758062964
"45",26.4304689420147,27.6818227539443,29.0374195653775,65.5506130774731,74.185328254105
"46",35.8998048616174,38.5977468341057,35.8846892326708,47.0468426996462,48.2431297021809
"47",0,1.22618606868167,0,0,0
"48",41.7474175943813,44.5668157742511,43.7137778488964,65.577889985283,66.9219020062536
"49",32.2777816856828,32.5945085480604,32.8818533474006,36.9473324620904,0
"50",47.5003675039984,52.791634533068,47.8528097065467,85.1937863538524,86.6381304351597
"51",0,0.603484042268014,0,0,0
"52",38.7786568767418,44.2181775536798,43.2913144860466,0,0
"53",33.4477115851117,36.3648512239442,36.1332104570587,47.3710360786925,61.5841829315818
"54",42.2474515882379,42.5476686901452,43.0804220524256,101.399729818833,103.545649116267
"55",39.9019910964946,43.4869564996502,37.1561700058528,0,35.4407945353744
"56",37.0334360792912,41.4409927695051,42.8472509556757,0,0
"57",47.3508633950214,48.6634763127995,49.1596521318708,0,0
"58",0,7.34031054890726,0,0,0
"59",33.7571700530915,33.8379910865952,37.6002956665855,0,0
"60",39.2481743481166,40.5524703485285,38.4248226809286,63.3870059393544,72.8003596566942
"61",0,7.10212522089567,12.6415978354802,0,0
"62",62.7998172114878,66.4978349042762,62.7998172114878,98.6122457002596,103.530995268303
"63",28.6098102287417,30.7207258164451,32.0064576726433,0,0
"64",34.3528792710942,39.6916670699092,38.2062205812903,0,0
"65",0,0,0,0,0
"66",30.8986022218657,36.7589969060827,32.8542692094477,44.4607957537639,0
"67",0,0,0,0,0
"68",46.1916441767719,47.5817606670144,46.284271007137,0,47.8269633201556
"69",30.270540246415,37.0178439764807,34.9762113351641,0,0
"70",31.8036271090702,32.7075260506031,32.442310004617,0,0
"71",36.689926760601,40.5326225420984,43.4231991503851,68.1477088375221,66.3172637055511
"72",41.8827149150636,47.1581755720772,43.0444939788175,0,0
"73",33.7408327741825,36.0014790991124,41.2056869164086,62.5371661179436,44.9134221350801
"74",0,0.893617119888182,0,0,0
"75",39.5622559137358,41.8529020987977,39.2282864189482,60.4393099503948,71.8565890429907
"76",33.9945147093153,33.2500670585566,32.1261465463686,0,0
"77",36.6894865238229,37.9753546482572,38.3717741501643,94.1424755134625,105.4301169611
"78",34.2302852031607,36.1821171799518,34.9786310624468,89.3949354459396,83.2922193273865
"79",33.3643384200829,38.5656725329782,39.0801007226117,0,0
"80",45.1300254230712,48.4390980970863,46.0015450155715,0,0
"81",0,0,0,0,0
"82",34.7839150811095,38.1969991433327,34.4759963615263,109.447167237892,102.530549453445
"83",40.468383959249,43.1264975178521,41.5166289753572,94.0988268946077,87.6664320363997
"84",35.6894876842281,35.6894876842281,40.0170573617721,0,0
"85",37.863008978755,41.1414890587714,43.5386631816688,0,0
"86",34.43402901461,36.267444359167,35.3478632259043,0,0
"87",26.853626273057,30.5142037696473,28.2015621784403,0,0
"88",35.3950333534263,35.1234366006867,36.4921778584493,95.9499003952507,97.2876535406657
"89",46.1701445605268,48.0551078847142,48.6070719034485,0,0
"90",34.8256608348122,38.3379163325739,31.5942338012863,95.1637938574608,90.0254715922968
"91",31.3519170554751,33.2013035979673,29.8134422511816,0,0
"92",49.0873091918635,51.7917692842932,48.7441218232089,82.6681755071675,83.3063844104505
"93",41.4633855388325,43.0769583543876,47.1186359033316,0,0
"94",33.0624862179858,35.2191383734347,31.7380724459762,0,0
"95",32.6454119487287,33.7685499688674,35.1268860728051,87.2233916899985,99.1680131995438
"96",40.925692725305,37.3464759444173,35.5422119230192,76.7850752566034,75.3933233307282
"97",34.1681982503252,37.6560631977958,37.1995291602319,0,57.1925960850503
"98",43.0238133988831,47.1741338992406,43.9438865747183,90.3768457797903,88.6055403039277
"99",52.8124098382604,55.0635883981294,57.8944251169436,100.501968828456,96.6499442601247
"100",0,11.8937954417843,0,0,0
"101",30.0208599139975,32.005347295046,35.4774438572504,0,0
"102",31.55936769063,34.4993878643034,35.8747389777925,65.7189213424127,99.6657309334147
"103",28.5154467072883,33.1439784340421,28.7322003264778,68.0169720560297,63.899242757632
"104",34.5103909001461,40.4128312941947,42.0285023389359,0,0
"105",30.5551327159087,33.0484299859918,31.3457892235736,0,0
"106",34.1874544988518,37.8980980407042,37.8980980407042,0,0
"107",33.2402065705455,37.3058300206747,35.5864565897709,59.850491653301,56.613378865839
"108",31.5565037824697,38.1323179085163,35.1828175507591,0,0
"109",28.998175182176,35.3022298423087,30.5199970053292,79.0213797079165,89.3838761723076
