"","age1_orange.S","age2_no_comorbid_orange.S","age2_comorbid_orange.S","age3_no_comorbid_green.S","age3_comorbid_green.S"
"213",59.6076244307164,92.6150832212565,71.9458934090189,132.150648795022,106.355638319277
"214",0,0,0,0,0
"215",81.5385837440772,63.2645529974656,49.7152419171239,47.2574668004872,44.6076458125838
"216",54.702051776766,70.1189702660192,62.9822045717649,88.550933117008,97.4940423129232
"217",0,0,0,0,0
"218",10.8111399404019,19.2069073412163,0,0,0
"219",57.1410432243,56.3967829065559,48.3171709140305,117.902389337997,124.074980563016
"220",72.1299438605818,73.6062642919555,57.0476585806062,122.463750941456,110.486377128846
"221",77.1984487544904,78.9815150539008,64.208471801749,0,0
"222",67.0754086942731,64.7301591905622,61.6793414317065,0,0
"223",88.0908646137152,68.4295399507203,61.7333213217889,60.5424288756008,60.9304499668509
"224",69.4083773625282,75.5963477859036,63.9304268548353,0,46.0012823667501
"225",64.4734111872013,77.5795542066941,54.557322052737,0,0
"226",58.760554452245,71.0438708557344,55.7710972768865,104.636773243447,81.6253854139512
"227",0,0,0,0,0
"228",69.5715183088671,67.0986121756967,48.8071707073968,95.8625935189524,106.78511464341
"229",58.4350498765987,56.4861895661158,58.2787708543267,0,0
"230",60.5856352640369,66.9439434101406,58.3499423557725,0,0
"231",62.184788350927,66.6938575480433,57.9784070476746,51.3939848378092,54.1272827154556
"232",79.1054313371567,79.3413942630025,91.1000539420604,115.149669690516,110.541461401211
"233",56.66297896338,58.8692313031863,45.5792477268055,0,0
"234",86.2835467066047,77.1873112442517,53.9151740484944,92.8566111357588,97.9919209305612
"235",72.7241136069054,78.8957159583396,68.1603909638289,100.090762672636,104.631656671342
"236",0,0,0,0,0
"237",79.2158196495796,119.704239470818,66.9461427212402,0,48.1178404831281
"238",52.6952126341332,58.6850306063343,51.4747376784748,0,0
"239",10.4457055664004,2.95816498172787,0,0,0
"240",0,0,0,0,0
"241",51.6303350201403,70.142733254046,46.6285837743605,87.6581057034377,100.411445308998
"242",0,0,0,0,0
"243",52.960097044082,66.6818125143226,65.9058904953021,0,0
"244",50.4130019958458,77.9771099193035,65.8297253782448,136.576806945203,127.85002895096
"245",59.7932360575739,77.8859231874377,71.9567174173415,0,23.1920247546742
"246",61.2105360360631,73.7665114829129,52.6711231300856,65.1535606423313,72.9310201105866
"247",55.2511547502613,84.301687541489,49.3436456102343,33.0161333436101,31.6909986453228
"248",51.5145605747792,75.6848829362226,51.4847462896771,46.1190289308552,0
"249",80.210091204035,76.7033721386285,79.2707286944613,0,0
"250",60.0301173306878,70.2066006399312,55.8660097120032,102.991974801143,109.900894489737
"251",56.9932576732919,67.8751076690778,77.2663215584352,112.028335549782,110.071373210571
"252",50.7682109811206,63.7646856489473,41.0173315524485,158.44501241758,196.341802910593
"253",0,4.26000765636223,0,0,0
"254",50.9302546672155,87.3323683637288,55.0853291891802,122.369834919137,139.007573886566
"255",61.310576600064,66.4767779679527,65.9762687337384,0,0
"256",55.0544648969423,66.42428324593,48.1630713530108,0,0
"257",82.8006789433845,68.2635205230483,54.3719726066881,99.0599027200822,94.4526527883526
"258",56.0884694612074,61.5230602765292,53.3323034066816,97.467833694093,95.2763932678299
"259",73.8063179872586,76.2141391147405,58.886584570013,35.9737189425499,39.1631900958279
"260",53.0410661048364,80.8572371466479,51.9294325961447,0,0
"261",17.5568511146411,26.6420110864861,0,0,0
"262",0,0,0,0,0
"263",55.3808584870249,74.8313252713276,67.686666445887,169.138004086804,147.65214500247
"264",49.2208769693078,64.6517322750114,58.2718227468826,73.4291932455821,97.688398756016
"265",51.0754777106884,61.5003989246721,51.6170347550998,109.210683710437,112.984199390941
"266",74.621503107718,82.5355871556236,65.9781592574978,176.437795295838,165.343590832421
"267",57.6558939345373,88.062233477512,86.3379221569946,0,0
"268",53.4859154528684,70.866769491895,57.2915584435425,74.6490517699644,78.278295968707
"269",61.1477897024595,67.0527516017959,58.7877131478746,0,0
"270",58.3599560327924,74.4439908118839,58.9780868280666,14.6670892745296,0
"271",0.256415211898816,0.230611268271109,0,0,0
"272",57.580225581297,61.3661550157393,52.004994711971,110.336725548305,135.518117768708
"273",51.8106230742536,66.5357687607567,68.9893733553819,0,0
"274",69.519093007706,81.9979268553084,77.8697298163905,0,0
"275",53.4840600843028,162.463136533277,59.0977700900605,0,40.0698121222538
"276",86.5126140116389,79.7324105047266,64.5820325632402,0,0
"277",0,0,0,0,0
"278",56.8362596302083,88.8569061719247,48.0191398644033,139.054136802344,133.695620564723
"279",60.4114647472145,67.8306127813471,53.3693470293979,111.793902126667,155.931038871142
"280",54.4930567219797,67.5063690135643,54.5130103164614,104.630903187594,102.864170438997
"281",49.653167407463,69.6465280656488,45.1715462553268,0,0
"282",73.5533323361709,81.6994482201045,48.8296922846906,99.0473597480228,92.1295951192364
"283",19.7990438929214,0,0,0,0
"284",58.2752092821351,68.4249953712529,62.4516228733706,0,0
"285",59.8239775841902,77.2775455496217,77.2966407852918,87.8175507429429,93.5916735907357
"286",89.6763516196457,102.347261391555,79.0865009605804,0,0
"287",88.2374493140341,89.643221859513,73.1336380167365,0,0
"288",67.9811597675481,72.2820226503105,57.9896097632835,165.668953859532,172.780130018915
"289",93.8860599424667,81.8580437606629,73.1484671704246,0,0
"290",55.8103010491682,69.2176802114662,45.6995949502075,0,0
"291",61.3395277067128,74.8233831611669,72.9871950183385,98.4157137950818,87.3976033149563
"292",58.9605006667685,81.4918265412884,62.5575991662026,74.2876530875068,74.6524643020182
"293",72.8483911165807,76.5798510700535,59.4430259240727,0,0
"294",68.2662669026078,93.5418834718575,59.5398549506435,107.335838447941,91.3780933253728
"295",53.7739057047674,75.9137430325706,54.7944614114166,104.753430382561,78.7729868977057
"296",0,0,0,0,0
"297",67.7456733708329,70.5339830554266,66.6267752819908,0,0
"298",44.9707165669546,94.6353771023711,56.672577953372,128.748283117918,146.382245143531
"299",67.9877105285051,63.0455207075641,60.4862950120785,0,0
"300",0,0,0,0,0
"301",48.3490307350467,63.8895774180499,43.9219094378973,0,0
"302",50.5983745540414,55.979810957537,47.6809445625645,75.61333810482,109.442635487899
"303",60.552946904477,65.9947523720802,68.5394456311237,90.5275889560748,88.4812917909783
"304",48.7850073707571,76.3127410553614,57.1202957456921,0,0
"305",43.5329858060249,99.6246725192346,87.4515559237982,87.7982003316174,91.3828469415515
