"","age1_orange.D","age2_no_comorbid_orange.D","age2_comorbid_orange.D","age3_no_comorbid_green.D","age3_comorbid_green.D"
"76",52,85,37,7,34
"77",63,100,45,12,31
"78",64,90,25,0,0
"79",0,0,0,0,0
"80",65,78,29,11,34
"81",0,0,0,0,0
"82",0,0,0,0,0
"83",77,86,44,0,0
"84",73,81,31,7,31
"85",53,75,37,0,0
"86",58,77,26,11,38
"87",59,76,31,0,0
"88",51,79,39,0,0
"89",72,75,35,7,35
"90",63,82,38,8,45
"91",58,79,42,0,0
"92",0,0,0,0,0
"93",56,77,40,0,0
"94",0,0,0,0,0
"95",68,67,34,0,0
"96",53,71,44,11,34
"97",57,94,37,0,0
"98",62,77,38,0,0
"99",61,77,33,0,0
"100",50,86,33,0,0
"101",0,0,0,0,0
"102",77,86,35,0,1
"103",65,72,36,5,32
"104",72,95,33,11,33
"105",62,81,33,0,1
"106",0,0,0,0,0
"107",0,0,0,0,0
"108",61,81,36,0,0
"109",0,0,0,0,0
"110",66,93,41,0,1
"111",0,0,0,0,0
"112",59,79,34,1,0
"113",54,89,30,0,0
"114",56,82,31,0,0
"115",51,83,32,0,0
"116",46,84,38,0,3
"117",62,76,37,0,0
"118",63,91,25,0,0
"119",67,73,33,8,32
"120",56,85,34,0,0
"121",80,83,25,7,28
"122",67,94,29,0,0
"123",58,64,40,0,0
"124",0,0,0,0,0
"125",60,88,28,8,38
"126",51,90,33,0,0
"127",0,1,0,0,0
"128",71,68,30,0,0
"129",0,0,0,0,0
"130",62,96,38,13,39
"131",58,82,37,14,42
"132",68,76,32,0,0
"133",61,89,34,7,44
"134",68,76,34,10,41
"135",63,64,31,0,0
"136",61,70,33,10,42
"137",0,0,0,0,0
"138",69,82,39,9,38
"139",0,0,0,0,0
"140",57,88,32,10,37
"141",44,75,31,0,0
"142",55,68,32,12,42
"143",54,67,43,0,1
"144",0,0,0,0,0
"145",53,70,25,8,31
"146",0,0,0,0,0
"147",77,79,36,0,0
"148",51,88,37,0,0
"149",55,69,32,0,0
"150",58,86,37,0,0
"151",57,107,33,13,40
"152",43,78,34,0,0
"153",54,77,32,0,0
"154",59,77,34,11,40
"155",0,0,0,0,0
"156",65,75,39,0,0
"157",60,83,36,0,0
"158",67,71,36,7,44
"159",48,75,38,0,0
"160",63,86,35,0,0
"161",0,0,0,0,0
"162",59,87,25,0,0
"163",66,84,37,0,0
"164",67,72,36,0,0
"165",49,96,40,16,40
"166",59,75,31,0,0
"167",53,90,37,0,0
"168",54,85,32,0,0
"169",60,75,30,11,46
"170",61,76,33,9,35
"171",0,0,0,0,0
"172",53,57,38,0,0
"173",56,87,35,0,2
"174",65,87,28,0,0
"175",65,82,46,0,0
"176",0,1,0,0,0
"177",63,89,30,11,48
"178",49,80,29,0,0
"179",55,76,34,0,0
"180",56,96,32,10,31
"181",52,74,37,0,0
"182",69,74,34,0,1
"183",51,77,38,6,47
"184",57,88,33,0,0
"185",63,80,43,9,34
"186",52,82,31,0,0
"187",56,83,29,0,0
"188",60,85,30,6,36
"189",0,0,0,0,0
"190",0,0,0,0,0
"191",56,89,33,5,35
"192",52,88,35,14,37
"193",58,74,38,0,0
"194",0,0,0,0,0
"195",62,88,36,14,43
"196",52,76,41,0,0
"197",57,73,31,0,0
"198",73,91,29,0,0
"199",66,78,38,11,49
"200",0,0,0,0,0
"201",65,82,29,0,0
"202",64,77,41,0,0
"203",57,82,43,10,45
"204",56,74,36,0,2
"205",64,81,31,1,1
"206",54,76,39,10,37
"207",49,71,39,0,1
"208",74,77,27,0,0
"209",53,67,31,0,0
"210",0,0,0,0,0
"211",53,84,44,0,0
"212",0,1,0,0,0
"213",54,97,35,12,37
