"","age1_orange.H","age2_no_comorbid_orange.H","age2_comorbid_orange.H","age3_no_comorbid_green.H","age3_comorbid_green.H"
"246",23,22,7,2,7
"247",22,23,8,0,0
"248",16,20,6,0,0
"249",22,22,7,0,0
"250",23,20,12,2,7
"251",20,25,7,0,0
"252",20,18,8,1,0
"253",20,19,5,1,5
"254",16,15,9,0,0
"255",21,20,8,0,0
"256",17,25,7,0,0
"257",17,16,6,0,0
"258",22,18,8,2,4
"259",21,14,9,0,0
"260",0,0,0,0,0
"261",20,19,13,0,0
"262",0,0,0,0,0
"263",15,19,7,1,7
"264",21,15,8,0,0
"265",17,16,11,0,0
"266",15,23,12,0,0
"267",20,17,11,0,0
"268",13,27,9,3,7
"269",15,24,9,4,10
"270",0,0,0,0,0
"271",0,0,0,0,0
"272",26,28,6,0,1
"273",25,19,7,3,10
"274",18,17,9,2,6
"275",25,16,8,0,0
"276",24,21,6,0,0
"277",16,18,6,0,0
"278",13,18,9,2,5
"279",17,18,11,2,7
"280",18,18,10,2,5
"281",15,20,8,3,7
"282",19,16,21,0,1
"283",18,18,11,0,0
"284",22,17,12,0,0
"285",25,21,7,2,6
"286",20,17,10,0,0
"287",15,20,10,2,5
"288",16,22,10,4,12
"289",0,0,0,0,0
"290",14,21,6,0,0
"291",21,21,8,3,6
"292",13,21,7,0,1
"293",15,22,4,0,0
"294",20,16,7,0,0
"295",15,24,9,0,0
"296",0,0,0,0,0
"297",15,29,4,3,6
"298",15,25,10,2,9
"299",15,24,9,3,6
"300",0,0,0,0,0
"301",15,12,12,0,0
"302",13,17,6,0,0
"303",29,24,9,0,0
"304",0,0,0,0,0
"305",25,19,6,4,9
"306",0,0,0,0,0
"307",21,21,12,0,0
"308",19,20,8,2,6
"309",15,17,4,4,4
"310",18,16,12,2,6
"311",17,19,4,0,0
"312",20,18,10,2,5
"313",19,16,8,2,7
"314",25,17,7,3,7
"315",18,15,7,2,9
"316",14,16,9,0,0
"317",22,27,9,0,0
"318",19,26,9,0,0
"319",0,0,0,0,0
"320",0,0,0,0,0
"321",16,22,10,0,0
"322",19,16,11,0,0
"323",24,26,10,0,0
"324",17,17,11,0,0
"325",14,20,9,3,8
"326",17,21,8,0,0
"327",21,19,9,0,0
"328",17,20,9,0,0
"329",0,0,0,0,0
"330",23,25,7,3,4
"331",16,18,10,0,0
"332",0,0,0,0,0
"333",20,25,9,1,5
"334",16,17,11,0,0
"335",17,20,12,4,6
"336",21,15,8,0,0
"337",22,19,9,3,8
"338",23,20,6,0,1
"339",9,24,9,3,7
"340",0,0,0,0,0
"341",17,19,8,0,0
"342",12,22,10,3,10
"343",15,17,8,0,0
"344",0,0,0,0,0
"345",0,0,0,0,0
"346",17,26,8,0,1
"347",17,26,13,3,10
"348",21,22,9,0,0
"349",20,29,8,0,0
"350",19,22,7,0,2
"351",0,0,0,0,0
"352",20,19,9,0,1
"353",21,19,9,0,0
"354",23,16,9,3,8
"355",14,21,9,0,0
"356",18,21,12,0,0
"357",0,0,0,0,0
"358",24,25,11,0,0
"359",16,20,17,6,8
"360",0,0,0,0,0
"361",0,0,0,0,0
"362",18,19,10,1,4
"363",20,22,7,2,6
"364",24,23,7,0,0
"365",21,20,7,0,0
"366",20,22,8,0,0
"367",20,18,13,0,0
"368",25,20,8,0,0
"369",0,1,0,0,0
"370",17,22,12,0,0
"371",0,0,0,0,0
"372",13,21,10,5,12
"373",18,22,11,0,0
"374",24,16,5,3,4
"375",13,18,5,2,2
"376",18,19,9,4,7
"377",22,20,6,2,6
"378",15,16,8,0,0
"379",0,0,0,0,0
"380",17,15,7,3,8
"381",0,0,0,0,0
"382",20,23,13,4,8
"383",21,27,11,0,0
"384",21,16,10,0,0
"385",0,0,0,0,0
"386",22,22,11,3,7
"387",20,26,9,1,5
"388",28,20,8,0,0
"389",19,28,8,2,9
"390",0,0,0,0,0
"391",16,29,14,4,6
"392",22,26,11,2,7
"393",19,16,14,1,8
"394",0,0,0,0,0
"395",24,27,7,4,13
"396",18,23,9,0,0
"397",16,17,9,3,9
"398",17,20,7,0,0
"399",15,20,7,3,9
"400",0,0,0,0,0
"401",0,0,0,0,0
"402",0,0,0,0,0
"403",21,20,10,0,0
"404",17,19,10,0,0
"405",16,21,12,4,7
"406",19,20,5,0,0
"407",18,19,9,0,0
"408",13,16,9,0,0
"409",16,29,6,1,0
"410",0,0,0,0,0
"411",18,18,7,0,0
"412",18,18,8,2,5
"413",0,1,0,0,0
"414",26,21,7,0,0
"415",17,21,9,0,0
"416",10,15,10,2,8
"417",16,17,6,0,1
"418",14,17,5,0,0
"419",0,0,0,0,0
"420",20,20,7,4,13
"421",25,24,12,0,0
"422",17,17,6,0,0
"423",17,17,15,1,5
"424",19,18,9,0,0
"425",12,22,13,1,0
"426",14,17,9,0,0
"427",16,24,10,4,6
"428",16,18,7,0,0
"429",20,25,5,3,6
"430",24,15,5,0,0
"431",0,0,0,0,0
"432",17,17,10,2,4
"433",19,15,10,2,8
"434",18,21,10,0,0
"435",19,26,10,0,0
"436",19,20,12,0,0
"437",14,18,10,2,4
"438",23,19,10,3,7
"439",16,20,8,2,5
"440",18,18,12,3,8
"441",18,21,8,0,0
"442",0,0,0,0,0
"443",17,22,7,0,0
"444",18,16,6,0,0
"445",13,14,10,0,0
"446",20,20,12,3,5
"447",15,23,6,0,0
"448",0,0,0,0,0
"449",0,0,0,0,0
"450",16,22,7,0,0
"451",0,0,0,0,0
"452",17,21,7,0,0
"453",16,24,8,2,10
"454",12,20,10,2,4
