"","age1_orange.R","age2_no_comorbid_orange.R","age2_comorbid_orange.R","age3_no_comorbid_green.R","age3_comorbid_green.R"
"1",69.2874692874693,49.2569002123142,31.9488817891374,0,0
"2",0.368550368550369,0.106157112526539,0,0,0
"3",0,0.106157112526539,0,0,0
"4",69.2874692874693,48.8322717622081,37.5399361022364,0,0
"5",0,0.106157112526539,0,0,0
"6",0,0.106157112526539,0,0,0
"7",71.4987714987715,52.4416135881104,50.3194888178914,0,0
"8",74.4471744471744,55.0955414012739,39.9361022364217,0,0
"9",0,0.106157112526539,0,0,0
"10",0,0.106157112526539,0,0,0
"11",0,0.106157112526539,0,0,0
"12",62.5307125307125,45.7537154989384,37.5399361022364,0,1.34048257372654
"13",67.6904176904177,47.5583864118896,39.9361022364217,0,0
"14",70.8845208845209,54.8832271762208,39.9361022364217,0,0
"15",0,0.106157112526539,0,0,0
"16",0,0.106157112526539,0,0,0
"17",66.8304668304668,47.9830148619958,42.332268370607,0,0
"18",0,0,0,0,0
"19",64.1277641277641,45.6475583864119,35.9424920127796,0,0
"20",65.3562653562654,45.6475583864119,38.3386581469649,0,0
"21",67.0761670761671,48.5138004246284,51.1182108626198,0,0
"22",0,0.106157112526539,0.798722044728434,0,0
"23",67.0761670761671,48.8322717622081,32.7476038338658,0,0
"24",71.2530712530713,49.5753715498938,32.7476038338658,0,0
"25",0.122850122850123,0.106157112526539,0,0,0
"26",69.5331695331695,53.0785562632696,38.3386581469649,0,0
"27",1.5970515970516,0.743099787685775,0,0,0
"28",0.245700245700246,0.106157112526539,0,0,0
"29",70.3931203931204,52.76008492569,43.9297124600639,0,0
"30",0,0.106157112526539,0,0,0
"31",0,0.106157112526539,0,0,0
"32",74.2014742014742,59.0233545647558,42.332268370607,0,0
"33",67.4447174447175,45.1167728237792,34.3450479233227,0,0
"34",0.368550368550369,0.636942675159236,0,0,0
"35",66.2162162162162,49.0445859872611,36.741214057508,0,0
"36",72.4815724815725,53.1847133757962,40.7348242811502,0,0
"37",0,0.106157112526539,0,0,0
"38",70.1474201474201,52.76008492569,45.5271565495208,0,0
"39",0,0.212314225053079,0,0,0
"40",0,0.106157112526539,0,0,0
"41",62.7764127764128,41.6135881104034,39.1373801916933,0,0
"42",71.2530712530713,54.8832271762208,43.1309904153355,0,0
"43",0.122850122850123,0.106157112526539,0,0,0
"44",71.1302211302211,54.2462845010616,42.332268370607,0,0
"45",72.3587223587224,52.2292993630573,42.332268370607,0,0
"46",69.9017199017199,50.4246284501062,43.1309904153355,2.27272727272727,1.34048257372654
"47",67.4447174447175,49.7876857749469,39.9361022364217,0,0
"48",0,0.106157112526539,0,0,0
"49",64.1277641277641,47.4522292993631,37.5399361022364,0,0
"50",63.1449631449631,47.23991507431,41.5335463258786,0,0
"51",0.122850122850123,0.106157112526539,0,0,0
"52",68.7960687960688,51.6985138004246,40.7348242811502,0,0
"53",0.368550368550369,0.106157112526539,0,0,0
"54",61.6707616707617,48.5138004246284,35.1437699680511,0,0
"55",65.4791154791155,51.2738853503185,47.1246006389776,0,0
"56",0,0.106157112526539,0.798722044728434,0,0
"57",69.5331695331695,52.2292993630573,39.1373801916933,0,0
"58",65.7248157248157,44.2675159235669,41.5335463258786,0,0
"59",0,0.106157112526539,0,0,0
"60",62.1621621621622,45.4352441613588,33.5463258785942,0,0
"61",0,0.106157112526539,0,0,0
"62",0,0.106157112526539,0,0,0
"63",0.368550368550369,0.530785562632696,2.3961661341853,0,0
"64",63.7592137592138,44.5859872611465,34.3450479233227,0,0
"65",0,0.106157112526539,0,0,0
"66",64.2506142506142,42.9936305732484,43.1309904153355,0,0
"67",69.2874692874693,54.2462845010616,46.3258785942492,0,0
"68",63.6363636363636,45.0106157112527,31.1501597444089,0,0
"69",74.3243243243243,57.4309978768577,41.5335463258786,0,0
"70",0,0.106157112526539,0,0,0
"71",0,0.106157112526539,0,0,0
"72",0,0.212314225053079,0,0,0
