"","age1_orange.I","age2_no_comorbid_orange.I","age2_comorbid_orange.I","age3_no_comorbid_green.I","age3_comorbid_green.I"
"242",0,0,0,0,0
"243",234,251,30,7,12
"244",234,249,38,0,0
"245",249,239,32,0,0
"246",220,237,31,11,16
"247",233,246,37,0,0
"248",239,230,31,0,0
"249",240,243,42,0,0
"250",243,234,42,6,12
"251",232,225,34,0,0
"252",221,221,32,1,1
"253",249,230,31,7,9
"254",235,238,26,0,0
"255",231,225,31,0,0
"256",214,213,34,0,1
"257",237,264,43,0,0
"258",222,240,34,8,10
"259",233,227,27,0,0
"260",0,1,0,0,0
"261",213,235,39,0,0
"262",0,1,0,0,0
"263",253,248,38,8,14
"264",220,240,31,0,0
"265",224,223,46,0,0
"266",247,220,31,0,0
"267",245,221,45,0,0
"268",232,255,31,11,11
"269",214,241,33,9,13
"270",0,1,0,0,0
"271",0,1,0,0,0
"272",244,237,25,0,1
"273",240,235,34,9,17
"274",207,202,30,10,14
"275",228,206,27,1,0
"276",238,226,36,0,0
"277",213,247,34,0,0
"278",240,247,40,9,14
"279",237,231,38,7,11
"280",232,230,38,10,9
"281",224,214,34,8,12
"282",201,202,27,0,1
"283",210,215,39,0,0
"284",248,216,30,0,0
"285",227,226,32,10,12
"286",221,217,31,0,0
"287",225,259,37,8,7
"288",226,227,32,9,17
"289",0,0,0,0,0
"290",215,219,33,0,0
"291",231,242,37,13,11
"292",238,240,35,0,1
"293",244,217,37,0,0
"294",221,232,27,0,0
"295",244,231,37,0,0
"296",0,1,0,0,0
"297",230,247,34,8,13
"298",220,239,29,9,21
"299",193,213,36,10,9
"300",0,1,0,0,0
"301",225,209,28,0,0
"302",234,238,29,0,0
"303",243,231,27,0,0
"304",0,0,0,0,0
"305",216,243,35,9,14
"306",0,1,0,0,0
"307",214,217,37,0,0
"308",225,223,28,12,14
"309",219,220,33,8,8
"310",232,228,34,7,12
"311",210,208,32,0,0
"312",227,225,40,8,10
"313",228,242,41,8,9
"314",219,233,39,11,18
"315",237,237,34,14,16
"316",249,210,33,0,0
"317",230,242,36,0,0
"318",208,230,31,0,0
"319",0,1,0,0,0
"320",0,1,0,0,0
"321",223,215,31,0,0
"322",214,229,35,0,1
"323",222,234,35,0,0
"324",232,250,28,0,0
"325",217,227,34,10,16
"326",241,252,34,0,0
"327",221,231,37,0,0
"328",235,240,36,0,0
"329",0,1,0,0,0
"330",248,252,38,9,11
"331",215,218,32,0,0
"332",0,0,0,0,0
"333",213,206,31,5,11
"334",196,216,37,0,0
"335",248,240,39,8,9
"336",240,216,35,0,1
"337",227,249,34,8,14
"338",228,237,27,0,1
"339",234,233,28,9,13
"340",1,1,0,0,0
"341",210,229,35,0,0
"342",241,228,34,10,12
"343",216,227,35,0,0
"344",0,1,0,0,0
"345",0,0,0,0,0
"346",235,255,32,0,2
"347",221,209,30,11,16
"348",225,245,34,0,0
"349",221,223,37,0,0
"350",237,219,27,1,5
"351",0,1,0,0,0
"352",224,215,33,0,1
"353",206,213,31,1,0
"354",228,239,38,11,16
"355",226,239,28,0,0
"356",232,238,34,0,0
"357",0,0,0,0,0
"358",209,222,27,0,0
"359",230,249,36,11,21
"360",0,1,0,0,0
"361",0,1,0,0,0
"362",198,220,28,5,13
"363",229,205,39,8,16
"364",252,248,25,0,0
"365",217,217,39,0,0
"366",241,234,45,0,0
"367",226,259,30,0,0
"368",263,252,40,0,0
"369",0,1,0,0,0
"370",250,216,37,0,0
"371",0,0,0,0,0
"372",235,233,33,8,15
"373",214,221,34,0,0
"374",208,197,32,6,13
"375",202,228,32,9,4
"376",237,235,31,7,10
"377",236,243,33,8,14
"378",214,232,32,0,0
"379",0,1,0,0,0
"380",216,251,32,8,13
"381",0,1,0,0,0
"382",225,247,30,7,14
"383",243,243,37,0,0
"384",242,236,34,0,0
"385",0,1,0,0,0
"386",226,240,34,5,11
"387",248,245,35,5,6
"388",233,269,37,0,0
"389",247,236,35,8,12
"390",0,0,0,0,0
"391",216,217,41,10,12
"392",238,243,46,6,11
"393",230,218,28,8,16
"394",0,1,0,0,0
"395",221,217,28,10,19
"396",224,217,24,0,0
"397",227,228,32,8,13
"398",232,264,29,0,0
"399",244,249,41,8,9
"400",0,1,0,0,0
"401",0,1,0,0,0
"402",0,1,0,0,0
"403",225,270,36,0,0
"404",211,226,29,0,0
"405",211,239,31,9,10
"406",233,228,33,0,0
"407",212,231,40,1,0
"408",216,220,27,1,0
"409",241,212,35,1,1
"410",0,2,0,0,0
"411",210,222,36,1,0
"412",228,202,34,8,13
"413",0,1,0,0,0
"414",239,241,32,0,0
"415",213,238,29,0,0
"416",211,235,37,9,14
"417",244,218,31,0,1
"418",245,240,42,0,0
"419",1,1,0,0,0
"420",217,240,34,11,18
"421",250,238,33,0,0
"422",201,235,32,0,0
"423",238,241,32,4,9
"424",235,247,26,0,1
"425",213,217,27,2,0
"426",237,212,35,0,0
"427",223,233,31,7,12
"428",235,240,30,0,0
"429",241,265,34,10,11
"430",237,242,32,0,0
"431",0,1,0,0,0
"432",210,230,41,8,6
"433",229,198,29,7,12
"434",232,235,36,0,0
"435",238,218,29,0,0
"436",224,238,35,0,0
"437",238,219,41,8,10
"438",240,220,34,11,12
"439",221,235,40,7,8
"440",227,243,42,8,11
"441",221,238,35,0,0
"442",0,1,0,0,0
"443",217,253,38,0,0
"444",232,223,38,0,0
"445",235,234,34,0,0
"446",227,228,40,10,14
"447",246,241,28,0,0
"448",0,1,0,0,0
"449",0,1,0,0,0
"450",214,248,25,0,0
"451",1,2,0,0,0
"452",229,246,31,0,0
"453",197,227,32,8,12
"454",215,232,35,7,11
"455",0,0,0,0,0
"456",213,248,37,0,0
"457",218,221,36,1,0
"458",225,242,42,0,0
"459",225,236,41,9,15
"460",252,217,34,0,0
"461",236,212,28,0,0
"462",247,255,27,9,13
"463",231,234,36,0,0
"464",211,251,28,0,0
"465",204,231,43,0,0
"466",218,229,38,8,14
"467",0,1,0,0,0
"468",251,226,32,10,17
"469",210,232,35,0,0
"470",238,253,33,0,0
"471",215,221,26,4,10
"472",214,241,32,12,17
"473",0,1,0,0,0
"474",220,210,38,0,0
"475",226,221,32,0,0
"476",247,219,34,0,0
"477",203,239,30,1,0
"478",0,0,0,0,0
"479",230,219,38,0,0
"480",242,222,27,0,0
"481",247,251,37,6,7
"482",218,210,40,5,10
"483",234,232,38,0,0
"484",232,232,37,0,0
"485",214,235,31,1,2
"486",215,231,31,10,16
"487",0,0,0,0,0
"488",252,260,36,0,1
"489",227,230,36,0,0
"490",240,247,33,9,15
"491",222,213,31,0,0
"492",2,1,0,0,0
"493",235,233,31,0,0
"494",246,240,35,9,13
"495",228,229,41,4,7
"496",241,240,38,0,2
"497",0,1,0,0,0
"498",205,257,32,0,0
"499",222,240,34,0,0
"500",222,221,31,0,0
"501",212,208,31,12,13
"502",212,243,31,7,11
"503",217,235,37,0,0
"504",227,218,40,0,0
"505",1,1,0,0,0
"506",227,236,27,0,0
"507",0,0,0,0,0
"508",237,233,26,0,0
"509",202,214,26,8,11
"510",236,241,36,9,11
"511",244,247,39,0,0
"512",236,241,35,0,0
"513",242,248,27,0,0
"514",261,269,36,12,19
"515",0,1,0,0,0
"516",219,265,29,9,12
"517",211,233,38,0,0
"518",234,231,32,0,0
"519",240,250,44,0,0
"520",243,252,42,0,0
"521",228,231,30,8,11
"522",201,225,35,0,0
"523",230,210,32,0,0
"524",221,235,38,0,0
"525",231,253,31,0,0
"526",241,261,36,0,0
"527",209,233,34,0,0
"528",0,1,0,0,0
"529",221,233,31,8,11
"530",240,279,33,6,13
"531",210,237,26,11,14
"532",1,1,0,0,0
"533",242,222,28,6,8
"534",233,227,30,0,0
"535",242,231,34,0,0
"536",0,1,0,0,0
"537",238,214,32,10,16
"538",0,1,0,0,0
"539",248,259,39,11,16
"540",212,206,26,10,19
"541",224,257,34,0,0
"542",241,247,33,0,0
"543",242,252,32,0,0
"544",207,218,30,7,8
"545",221,227,30,0,0
"546",222,239,33,13,19
"547",231,238,35,0,0
"548",235,221,38,6,6
"549",215,228,24,0,0
"550",236,241,27,0,0
"551",232,259,33,0,0
"552",244,241,40,0,0
"553",227,258,28,0,0
"554",225,228,36,1,1
"555",224,206,35,12,11
"556",0,1,0,0,0
"557",0,1,0,0,0
"558",245,219,37,7,13
"559",255,236,31,0,0
"560",208,219,44,0,0
"561",223,221,39,0,0
"562",231,232,30,0,0
"563",220,223,30,0,0
"564",220,216,29,7,9
"565",204,226,34,9,12
"566",218,212,31,0,0
"567",235,232,31,0,0
"568",0,1,0,0,0
"569",0,0,0,0,0
"570",219,241,36,0,0
"571",223,232,36,0,1
"572",248,224,35,0,1
"573",250,252,37,10,8
"574",228,244,27,10,9
