"","age1_orange.A","age2_no_comorbid_orange.A","age2_comorbid_orange.A","age3_no_comorbid_green.A","age3_comorbid_green.A"
"1",36.7856328954863,37.9294389826764,35.1458596481852,0,0
"2",40.2809503150694,42.3400837132161,36.6920618498392,73.8348823227464,78.5195245377714
"3",33.9183485498395,35.1722727300576,30.4687916173829,64.82856594381,58.3794598269892
"4",32.0114063887162,35.7862409290388,33.6652192079975,0,0
"5",29.4480791452543,33.2524522288432,30.4013462880389,0,0
"6",30.1453189746502,35.0035960873754,29.3180243623939,0,0
"7",34.9580856535194,35.8855253979561,31.0778046443866,0,0
"8",34.509623865889,41.1082166874198,34.2345842323851,0,0
"9",39.0930835168699,40.7760586542517,30.5111615137727,0,0
"10",37.0194185798936,39.6854149314302,38.7155791426854,101.856067395288,86.726539319783
"11",34.2062130856209,32.7971499236796,35.4029597530154,0,0
"12",30.7108384726968,34.8669351380336,31.1365123762418,61.6928935634373,58.7286718858136
"13",41.9102721672505,40.6167010404341,41.175042254497,0,0
"14",44.5270144058021,46.7739843368147,46.4341443695462,0,0
"15",41.6302758612356,41.0951417209733,40.0429860833741,0,0
"16",37.2013786465426,41.6194912260738,38.6993862470739,0,0
"17",0,0,0,0,0
"18",35.6657239504612,36.99611163838,39.5408094264395,0,0
"19",34.070892687228,37.6461504636832,34.9316782967971,64.5426909959033,64.6607996245286
"20",31.89509654179,37.1167809108537,37.7415002798079,0,0
"21",39.7433658321485,45.1003655173259,33.7161543832815,72.5268347772575,88.1754360365424
"22",41.1930329890633,45.1504685988725,48.4269754880542,100.061746903116,98.1812572788806
"23",33.3205252937939,36.8428114649074,34.4650394526426,0,0
"24",0,0,0,0,0
"25",31.8164100214776,33.608769006121,31.2746573860817,44.2262916313932,63.1684642402511
"26",39.0490732883226,44.5333463016821,40.8953865612394,67.4643553518769,68.6717872594707
"27",33.2204274597964,33.7629908573751,33.3544543332524,61.894787377742,93.6284190206435
"28",27.268320146544,26.5558755619139,24.7331085216512,0,0
"29",37.0216282069256,41.2788168506361,38.7646364971324,62.8464953311696,53.23761872911
"30",45.0591835447347,47.2922369088426,44.2645765128305,0,0
"31",33.9193071340498,33.0667837839867,35.3377256382916,127.851434441888,104.904705369682
"32",40.3996203605345,42.9016090890384,35.9761393353028,0,45.9850712552111
"33",41.9692071656062,43.4477621009151,36.9809657723915,0,37.3342764161755
"34",37.7302035506211,40.1100405720111,52.1123745393738,64.4131479653375,55.1325964362602
"35",40.9542807048472,45.2413480875165,39.9246925797783,0,0
"36",29.9718273921092,33.9896854933651,34.9137260364256,0,0
"37",28.3523211998641,31.6993516314857,22.1081109428193,50.7389120878392,113.201560537358
"38",47.1707383267322,45.8802876947543,55.0640189389249,0,0
"39",43.9195193923298,47.3982644736081,45.480256439816,0,0
"40",29.0753970798372,34.3576119928573,33.3641717459957,0,0
"41",0,0,0,0,0
"42",26.4639476686952,31.2238373246987,31.6741822222412,41.1058172323825,103.465532547431
"43",66.8674026430101,68.8357346238102,65.8132190580211,0,0
"44",36.7505997587294,37.4413028971058,39.2619979831693,40.6510004456756,75.8329674033416
"45",16.4368217280643,6.73900044157821,0,0,0
"46",34.9859071869672,40.7588098320751,36.563978876576,0,0
"47",0,0,0,0,0
"48",43.2612215340078,47.3072813616273,43.7991712995317,0,0
"49",50.6249360976207,52.038606408211,47.6315662892275,0,0
"50",41.9649281810347,40.3968420922575,41.2556109091529,0,0
"51",26.6239824879541,34.5214807418041,34.3318632964918,0,0
"52",68.5953630057032,76.6949658678912,66.1958604906178,0,0
"53",36.8164303600348,38.7892287671331,34.0310514585091,56.9654366948509,85.0085364377846
"54",61.4919671801855,60.4840404930604,62.3375791777096,86.4051378061599,104.031446826452
"55",44.7503622094846,40.1179566056192,45.2537010599272,0,0
"56",31.7254273792948,31.9361339530792,33.9007695379875,0,0
"57",33.802203587293,33.9521685849824,34.1330149093504,0,0
"58",42.9832912983406,39.565684700862,38.1557070320049,0,0
"59",28.9497414038237,29.2560429378305,26.5849150414277,13.9475034805603,31.335912436713
"60",33.0474902151768,38.2555228446087,36.6529491887277,0,0
"61",23.6980506737782,28.7924685271888,30.0141007881084,30.3083496547417,43.6860017463388
"62",47.3734900325081,46.9645066724041,46.2634212644531,80.4495473844659,70.0478733455605
"63",33.3248277810132,39.6580416524987,33.7806691924814,96.9434161232786,58.3450561843801
"64",33.9245729566419,35.8708080232272,37.6525599482186,0,41.9479942565631
"65",0,0,0,0,0
"66",53.8299320535761,49.70618857172,54.2592261746193,0,0
"67",39.093135958814,42.8787949753728,43.7184888039135,68.4827087995532,60.3318544849117
"68",0,0,0,0,0
"69",0,14.2325617244116,0,0,0
"70",49.1101284684785,52.5472502514356,50.702811336447,0,0
"71",0,0,0,0,0
"72",29.3580025835352,28.8956314531435,33.4910472971152,34.3536600267705,0
"73",36.6738467348933,41.9936290136436,42.3072498560364,0,0
"74",38.6705216262979,36.5896928428705,41.539879951909,0,0
"75",38.997567771569,44.6580412879859,42.7925075242826,0,0
"76",34.7039340850719,31.6681597469453,35.7953425309937,67.5620932619373,66.0441302930767
"77",37.3088217558202,37.0769680196152,33.4404311773188,73.1029538292597,54.3169101875731
"78",26.1721899723356,34.104351139475,35.6125948686933,0,0
