"","age1_orange.R","age2_no_comorbid_orange.R","age2_comorbid_orange.R","age3_no_comorbid_green.R","age3_comorbid_green.R"
"1",564,464,40,0,0
"2",3,1,0,0,0
"3",0,1,0,0,0
"4",564,460,47,0,0
"5",0,1,0,0,0
"6",0,1,0,0,0
"7",582,494,63,0,0
"8",606,519,50,0,0
"9",0,1,0,0,0
"10",0,1,0,0,0
"11",0,1,0,0,0
"12",509,431,47,0,1
"13",551,448,50,0,0
"14",577,517,50,0,0
"15",0,1,0,0,0
"16",0,1,0,0,0
"17",544,452,53,0,0
"18",0,0,0,0,0
"19",522,430,45,0,0
"20",532,430,48,0,0
"21",546,457,64,0,0
"22",0,1,1,0,0
"23",546,460,41,0,0
"24",580,467,41,0,0
"25",1,1,0,0,0
"26",566,500,48,0,0
"27",13,7,0,0,0
"28",2,1,0,0,0
"29",573,497,55,0,0
"30",0,1,0,0,0
"31",0,1,0,0,0
"32",604,556,53,0,0
"33",549,425,43,0,0
"34",3,6,0,0,0
"35",539,462,46,0,0
"36",590,501,51,0,0
"37",0,1,0,0,0
"38",571,497,57,0,0
"39",0,2,0,0,0
"40",0,1,0,0,0
"41",511,392,49,0,0
"42",580,517,54,0,0
"43",1,1,0,0,0
"44",579,511,53,0,0
"45",589,492,53,0,0
"46",569,475,54,1,1
"47",549,469,50,0,0
"48",0,1,0,0,0
"49",522,447,47,0,0
"50",514,445,52,0,0
"51",1,1,0,0,0
"52",560,487,51,0,0
"53",3,1,0,0,0
"54",502,457,44,0,0
"55",533,483,59,0,0
"56",0,1,1,0,0
"57",566,492,49,0,0
"58",535,417,52,0,0
"59",0,1,0,0,0
"60",506,428,42,0,0
"61",0,1,0,0,0
"62",0,1,0,0,0
"63",3,5,3,0,0
"64",519,420,43,0,0
"65",0,1,0,0,0
"66",523,405,54,0,0
"67",564,511,58,0,0
"68",518,424,39,0,0
"69",605,541,52,0,0
"70",0,1,0,0,0
"71",0,1,0,0,0
"72",0,2,0,0,0
"73",0,2,0,0,0
"74",542,489,43,0,0
"75",567,459,45,0,0
"76",594,511,51,0,0
"77",539,446,46,0,0
"78",547,444,45,0,0
"79",0,1,0,0,0
"80",1,1,0,0,0
"81",2,0,0,0,0
"82",558,464,56,0,0
"83",4,2,0,0,0
"84",0,1,0,0,0
"85",0,1,0,0,0
"86",0,1,0,0,0
"87",549,493,49,0,0
"88",557,457,48,0,0
"89",0,0,0,0,0
"90",3,1,1,0,0
"91",0,1,0,0,0
"92",532,480,53,0,0
"93",488,412,42,0,0
"94",0,1,0,0,0
"95",519,448,42,0,0
"96",4,5,0,0,0
"97",9,11,0,0,0
"98",6,8,0,0,0
"99",0,1,0,0,0
"100",0,1,0,0,0
"101",0,2,0,0,0
"102",0,1,0,0,0
"103",0,1,0,0,0
"104",596,485,39,0,0
"105",1,1,0,0,0
"106",509,427,44,0,0
"107",0,1,0,0,0
"108",521,423,36,0,1
"109",594,480,45,0,0
"110",2,2,0,0,0
"111",559,456,51,0,0
"112",0,1,0,0,0
"113",498,399,41,0,0
"114",548,496,52,0,0
"115",0,1,0,0,0
"116",0,1,0,0,0
"117",7,5,0,0,0
"118",590,486,57,0,0
"119",587,517,46,0,0
"120",5,5,0,0,0
"121",562,512,51,0,0
"122",0,1,0,0,0
"123",0,2,0,0,0
"124",541,451,43,0,1
"125",1,3,0,0,0
"126",0,1,0,0,0
"127",560,450,48,0,0
"128",2,1,0,0,0
"129",564,482,42,0,0
"130",585,549,46,0,0
"131",0,1,0,0,0
"132",521,458,54,2,0
"133",1,2,1,0,0
"134",541,478,49,0,0
"135",525,427,38,0,0
"136",542,464,52,0,0
"137",5,1,0,0,0
"138",1,1,0,0,0
"139",579,497,43,0,0
"140",527,450,52,0,0
"141",0,1,0,0,0
"142",547,463,50,0,1
"143",547,483,44,0,0
"144",1,0,0,0,0
"145",582,496,52,0,0
"146",530,474,46,0,0
"147",492,431,47,0,1
"148",545,460,49,0,0
"149",1,2,1,0,0
"150",5,3,1,0,0
"151",0,2,0,0,0
"152",598,558,56,0,0
"153",567,484,48,0,0
"154",0,1,0,0,0
"155",0,1,0,0,0
"156",0,1,0,0,0
"157",0,2,0,0,0
"158",2,0,0,0,0
"159",534,432,38,0,0
"160",523,426,45,0,0
"161",3,3,0,0,0
"162",1,0,0,0,0
"163",1,1,0,0,0
"164",559,493,50,0,0
"165",591,511,56,0,0
"166",548,460,54,0,0
"167",0,1,0,0,0
"168",547,442,44,0,0
"169",0,1,0,0,0
"170",550,466,50,0,0
"171",551,464,55,0,0
"172",503,408,46,0,0
"173",0,1,0,0,0
"174",1,1,1,0,0
"175",541,480,55,0,0
"176",541,445,53,0,0
"177",597,490,57,0,0
"178",0,1,0,0,0
"179",556,469,47,0,0
"180",1,2,0,0,0
"181",576,477,43,0,0
"182",0,1,0,0,0
