"","age1_orange.I","age2_no_comorbid_orange.I","age2_comorbid_orange.I","age3_no_comorbid_green.I","age3_comorbid_green.I"
"1",30.3439803439803,25.9023354564756,27.9552715654952,0,0
"2",0,0.106157112526539,0,0,0
"3",26.9041769041769,23.8853503184713,27.1565495207668,0,0
"4",30.3439803439803,23.036093418259,26.3578274760383,0,0
"5",29.3611793611794,23.1422505307856,27.1565495207668,15.9090909090909,14.745308310992
"6",29.1154791154791,24.416135881104,27.1565495207668,25,22.7882037533512
"7",28.5012285012285,24.9469214437367,29.5527156549521,0,0
"8",31.3267813267813,25.9023354564756,24.7603833865815,0,1.34048257372654
"9",29.1154791154791,24.7346072186837,23.961661341853,0,1.34048257372654
"10",28.3783783783784,26.4331210191083,27.1565495207668,0,0
"11",29.8525798525799,24.6284501061571,30.3514376996805,0,0
"12",30.3439803439803,23.9915074309979,26.3578274760383,18.1818181818182,16.0857908847185
"13",26.044226044226,23.036093418259,27.9552715654952,0,0
"14",28.6240786240786,24.3099787685775,26.3578274760383,11.3636363636364,10.7238605898123
"15",26.1670761670762,24.203821656051,22.3642172523962,22.7272727272727,16.0857908847185
"16",29.4840294840295,26.2208067940552,31.1501597444089,18.1818181818182,14.745308310992
"17",25.7985257985258,23.9915074309979,25.5591054313099,0,0
"18",29.2383292383292,23.2484076433121,28.7539936102236,0,0
"19",29.2383292383292,25.796178343949,31.1501597444089,0,0
"20",29.2383292383292,24.6284501061571,30.3514376996805,18.1818181818182,30.8310991957105
"21",0.122850122850123,0.106157112526539,0,0,0
"22",28.5012285012285,23.9915074309979,30.3514376996805,0,0
"23",26.7813267813268,24.0976645435244,27.9552715654952,0,0
"24",25.7985257985258,22.3991507430998,28.7539936102236,29.5454545454545,20.1072386058981
"25",28.7469287469287,23.8853503184713,21.5654952076677,0,0
"26",25.9213759213759,23.8853503184713,31.9488817891374,0,0
"27",0,0.106157112526539,0,0,0
"28",29.2383292383292,23.8853503184713,23.961661341853,0,0
"29",27.5184275184275,27.9193205944798,27.1565495207668,25,12.0643431635389
"30",28.3783783783784,23.8853503184713,27.1565495207668,2.27272727272727,0
"31",24.2014742014742,22.0806794055202,27.1565495207668,27.2727272727273,20.1072386058981
"32",0,0.106157112526539,0,0,0
"33",27.5184275184275,24.8407643312102,31.1501597444089,22.7272727272727,18.7667560321716
"34",25.9213759213759,22.9299363057325,25.5591054313099,0,1.34048257372654
"35",27.8869778869779,22.7176220806794,23.961661341853,27.2727272727273,21.4477211796247
"36",27.2727272727273,22.3991507430998,27.1565495207668,0,0
"37",29.7297297297297,25.796178343949,28.7539936102236,22.7272727272727,16.0857908847185
"38",28.1326781326781,24.3099787685775,24.7603833865815,9.09090909090909,9.38337801608579
"39",27.5184275184275,23.4607218683652,26.3578274760383,0,0
"40",0,0,0,0,0
"41",26.044226044226,25.796178343949,29.5527156549521,31.8181818181818,21.4477211796247
"42",28.1326781326781,23.3545647558386,24.7603833865815,0,0
"43",0.122850122850123,0.106157112526539,0,0,0
"44",30.3439803439803,21.9745222929936,24.7603833865815,20.4545454545455,24.1286863270778
"45",26.9041769041769,27.1762208067941,31.9488817891374,18.1818181818182,20.1072386058981
"46",25.0614250614251,22.7176220806794,24.7603833865815,27.2727272727273,25.4691689008043
"47",0,0.106157112526539,0,0,0
"48",27.5184275184275,24.203821656051,29.5527156549521,15.9090909090909,18.7667560321716
"49",30.8353808353808,26.7515923566879,30.3514376996805,2.27272727272727,0
"50",29.4840294840295,27.1762208067941,23.961661341853,18.1818181818182,26.8096514745308
"51",0,0.106157112526539,0,0,0
"52",27.1498771498771,23.3545647558386,26.3578274760383,0,0
"53",29.97542997543,26.0084925690021,28.7539936102236,13.6363636363636,17.426273458445
"54",28.6240786240786,25.0530785562633,28.7539936102236,13.6363636363636,21.4477211796247
"55",26.4127764127764,22.5053078556263,23.961661341853,0,1.34048257372654
"56",26.2899262899263,26.4331210191083,28.7539936102236,0,0
"57",28.6240786240786,25.583864118896,27.1565495207668,0,0
"58",0,0.106157112526539,0,0,0
"59",30.5896805896806,28.5562632696391,29.5527156549521,0,0
"60",25.4299754299754,23.7791932059448,23.961661341853,31.8181818181818,21.4477211796247
"61",0,0.106157112526539,0.798722044728434,0,0
"62",27.1498771498771,26.8577494692144,27.1565495207668,13.6363636363636,16.0857908847185
"63",27.1498771498771,25.1592356687898,27.1565495207668,0,0
"64",26.7813267813268,24.8407643312102,27.9552715654952,0,0
"65",0,0,0,0,0
"66",29.2383292383292,25.3715498938429,22.3642172523962,2.27272727272727,0
"67",0,0,0,0,0
"68",26.4127764127764,26.7515923566879,25.5591054313099,0,1.34048257372654
"69",27.1498771498771,26.0084925690021,24.7603833865815,0,0
"70",29.3611793611794,26.5392781316348,31.1501597444089,0,0
"71",29.1154791154791,20.3821656050955,22.3642172523962,13.6363636363636,16.0857908847185
"72",27.3955773955774,22.2929936305732,28.7539936102236,0,0
"73",25.7985257985258,24.5222929936306,21.5654952076677,22.7272727272727,17.426273458445
"74",0,0.106157112526539,0,0,0
