"","age1_orange.E","age2_no_comorbid_orange.E","age2_comorbid_orange.E","age3_no_comorbid_green.E","age3_comorbid_green.E"
"1",151,144,32,0,0
"2",155,146,29,7,10
"3",156,146,17,7,8
"4",157,163,23,0,0
"5",169,145,24,0,0
"6",152,151,22,0,0
"7",170,184,32,0,0
"8",157,151,30,0,1
"9",155,142,24,0,0
"10",154,146,26,5,6
"11",151,142,27,1,1
"12",161,141,14,6,10
"13",164,167,24,0,0
"14",160,171,26,0,0
"15",152,169,26,1,0
"16",153,149,32,0,0
"17",0,1,0,0,0
"18",146,144,22,0,0
"19",162,152,24,4,8
"20",169,189,24,0,0
"21",174,161,26,3,7
"22",165,158,26,5,10
"23",165,155,27,0,0
"24",0,1,0,0,0
"25",156,139,23,7,7
"26",138,170,24,5,9
"27",156,157,29,5,8
"28",160,154,23,0,0
"29",160,168,30,6,8
"30",163,168,26,0,0
"31",155,180,24,4,9
"32",150,159,24,0,1
"33",153,170,24,0,1
"34",147,139,25,6,8
"35",147,137,20,0,0
"36",134,155,20,1,1
"37",160,155,25,5,5
"38",129,149,22,0,0
"39",166,147,23,0,0
"40",155,160,23,0,0
"41",0,1,0,0,0
"42",150,141,30,4,5
"43",140,140,23,0,0
"44",166,165,25,6,7
"45",1,1,0,0,0
"46",166,168,23,0,0
"47",0,1,0,0,0
"48",162,152,28,0,0
"49",158,161,20,0,0
"50",140,150,23,0,0
"51",162,170,26,0,0
"52",159,152,22,0,0
"53",160,170,28,5,9
"54",152,153,23,5,5
"55",174,149,22,0,0
"56",154,171,27,0,0
"57",154,157,25,1,1
"58",160,160,31,0,0
"59",170,145,25,6,8
"60",168,163,23,0,0
"61",156,176,27,1,1
"62",129,128,22,8,7
"63",157,136,22,8,11
"64",140,151,25,0,1
"65",0,1,0,0,0
"66",174,160,19,0,0
"67",157,173,22,4,6
"68",0,1,0,0,0
"69",0,1,0,0,0
"70",172,180,24,0,0
"71",0,1,0,0,0
"72",162,149,20,1,1
"73",168,134,25,0,0
"74",144,157,28,0,0
"75",144,152,27,0,0
"76",178,156,27,4,11
"77",172,159,27,6,6
"78",186,132,24,0,0
"79",0,1,0,0,0
"80",151,142,22,7,7
"81",1,1,0,0,0
"82",0,1,0,0,0
"83",167,146,31,0,0
"84",166,146,23,5,8
"85",151,168,28,0,0
"86",157,162,21,3,8
"87",157,147,27,0,0
"88",179,156,30,0,0
"89",133,146,23,4,10
"90",162,145,28,9,10
"91",158,165,31,1,0
"92",0,1,0,0,0
"93",166,167,26,0,0
"94",0,1,0,0,0
"95",155,153,22,0,0
"96",144,166,27,7,6
"97",159,177,35,0,0
"98",144,166,22,0,0
"99",160,140,21,0,0
"100",144,148,20,0,0
"101",0,1,0,0,0
"102",144,151,25,0,1
"103",173,151,21,4,7
"104",168,173,18,8,7
"105",142,143,22,0,1
"106",0,1,0,0,0
"107",0,1,0,0,0
"108",144,173,26,0,0
"109",0,1,0,0,0
"110",152,143,23,1,1
"111",0,1,0,0,0
"112",159,158,24,1,0
"113",147,157,27,0,0
"114",159,139,26,0,0
"115",154,152,30,0,0
"116",144,168,32,0,1
"117",150,171,21,0,0
"118",163,180,23,0,0
"119",152,135,22,6,9
"120",149,145,26,0,0
"121",153,155,24,4,6
"122",182,175,31,0,0
"123",153,143,19,0,0
"124",1,1,0,0,0
"125",162,152,24,8,13
"126",161,164,21,0,0
"127",1,1,0,0,0
"128",157,163,25,0,0
"129",0,1,0,0,0
"130",135,139,21,8,8
"131",150,161,26,7,10
"132",168,161,22,0,0
"133",160,175,25,5,13
"134",150,144,28,5,8
"135",148,139,24,1,0
"136",154,148,18,5,8
"137",1,1,0,0,0
"138",161,147,23,4,12
"139",0,1,0,0,0
"140",128,151,23,5,9
"141",184,155,22,0,0
"142",158,153,21,5,8
"143",143,132,25,0,1
"144",0,1,0,0,0
"145",149,159,28,4,7
"146",0,1,0,0,0
"147",152,169,22,0,0
"148",153,151,28,0,0
"149",160,154,21,0,0
"150",158,170,25,0,0
"151",153,156,22,6,12
"152",162,157,26,0,0
"153",155,137,24,0,0
"154",155,154,28,6,11
"155",0,1,0,0,0
"156",137,145,19,0,0
"157",175,170,27,0,0
"158",150,141,33,7,11
"159",146,161,30,1,0
"160",153,168,24,0,0
"161",0,1,0,0,0
"162",162,140,24,0,0
"163",163,128,21,0,0
"164",163,159,30,0,0
"165",150,150,22,3,7
"166",177,157,22,1,0
"167",160,153,23,0,0
"168",140,155,25,0,0
"169",148,148,31,7,10
"170",158,143,28,6,8
"171",0,1,0,0,0
"172",169,143,27,0,0
"173",158,147,30,1,2
"174",155,138,22,0,0
"175",173,154,24,0,0
"176",0,1,0,0,0
"177",166,161,34,5,11
"178",167,164,31,0,0
"179",157,158,27,0,0
"180",142,179,27,3,8
"181",157,154,24,0,0
"182",157,165,26,0,1
"183",170,165,27,5,9
"184",152,151,23,0,0
"185",173,154,21,6,6
"186",149,148,23,1,0
"187",142,147,32,0,0
"188",183,145,27,5,7
"189",0,1,0,0,0
"190",0,1,0,0,0
"191",153,143,19,4,6
"192",164,155,23,5,12
"193",158,162,23,0,0
"194",0,1,0,0,0
"195",159,171,23,9,8
"196",150,157,22,1,0
"197",147,144,24,0,0
"198",157,165,28,0,0
"199",152,143,28,6,8
"200",0,1,0,0,0
"201",166,155,23,0,0
"202",144,141,21,0,0
"203",136,149,23,5,12
"204",164,147,24,0,2
"205",139,136,23,1,1
"206",152,152,26,6,12
"207",142,147,26,0,1
"208",169,151,23,0,0
"209",160,162,20,0,0
"210",0,1,0,0,0
"211",148,155,22,0,0
"212",0,1,0,0,0
"213",153,141,22,5,6
"214",0,1,0,0,0
"215",151,152,21,1,1
"216",168,155,24,5,8
"217",0,1,0,0,0
"218",1,1,0,0,0
"219",150,167,22,4,9
"220",165,168,24,4,10
"221",163,131,25,0,0
"222",182,174,28,0,0
"223",160,158,23,1,1
"224",159,184,29,0,1
"225",165,146,26,0,0
"226",147,170,21,7,7
"227",0,1,0,0,0
"228",163,158,27,5,9
"229",166,175,29,0,0
"230",178,156,23,0,0
"231",165,160,22,1,1
"232",168,153,32,5,6
"233",143,142,23,0,0
"234",146,158,25,6,8
"235",155,143,18,5,8
"236",0,1,0,0,0
"237",140,140,25,0,1
"238",166,165,18,0,0
"239",1,1,0,0,0
"240",0,1,0,0,0
"241",134,138,25,7,8
"242",0,1,0,0,0
"243",174,179,27,0,0
"244",156,171,25,5,9
"245",158,153,25,0,1
"246",150,139,27,8,11
"247",149,158,24,1,1
"248",144,156,22,1,0
"249",168,146,21,0,0
"250",133,158,21,4,9
"251",150,151,24,7,8
"252",148,131,25,5,8
"253",0,1,0,0,0
"254",165,154,25,9,7
"255",145,162,32,0,0
"256",156,156,32,0,0
"257",138,149,21,8,7
"258",151,159,29,7,12
"259",169,162,28,3,1
"260",161,146,23,0,0
"261",1,2,0,0,0
"262",0,1,0,0,0
"263",170,168,20,5,4
"264",147,164,25,5,9
"265",149,148,19,9,10
"266",153,159,19,3,5
"267",159,161,25,0,0
"268",144,148,28,7,10
"269",152,155,22,0,0
"270",156,178,25,1,0
"271",1,1,0,0,0
"272",141,148,21,6,7
"273",161,168,27,0,0
"274",160,144,22,0,0
"275",162,156,24,0,1
"276",142,151,25,0,0
"277",0,1,0,0,0
"278",152,161,28,6,10
"279",151,132,24,6,8
"280",161,146,24,7,7
"281",143,144,22,0,0
"282",158,158,21,7,8
"283",1,1,0,0,0
"284",157,159,23,0,0
"285",147,145,23,7,8
"286",149,159,26,0,0
"287",156,168,24,0,0
"288",142,146,14,4,6
"289",142,173,28,0,0
"290",167,165,25,0,0
"291",150,138,20,5,8
"292",154,173,24,1,1
"293",168,166,21,0,0
"294",160,186,28,4,9
"295",158,159,27,7,10
"296",0,1,0,0,0
"297",155,130,23,0,0
"298",155,156,26,4,4
"299",125,143,18,0,0
"300",0,1,0,0,0
"301",139,165,27,0,0
"302",157,147,25,9,12
"303",150,188,31,6,9
"304",164,152,32,0,0
"305",148,159,25,7,10
"306",156,129,24,6,12
"307",0,1,0,0,0
"308",0,1,0,0,0
"309",161,168,22,0,1
"310",158,144,27,6,10
"311",137,127,24,5,11
"312",169,160,24,0,0
"313",142,172,22,0,0
"314",158,147,20,6,8
"315",155,160,24,2,1
"316",0,1,0,0,0
"317",160,148,26,0,1
"318",159,153,21,0,0
"319",164,158,26,0,0
"320",150,142,21,0,0
"321",0,1,0,0,0
"322",167,139,24,0,0
"323",173,165,22,0,1
"324",163,152,19,4,8
"325",156,153,20,5,7
"326",157,153,22,0,0
"327",180,157,25,0,0
"328",157,156,21,1,0
"329",0,1,0,0,0
"330",153,147,21,4,6
"331",168,175,24,6,8
"332",143,144,19,6,8
"333",147,156,22,4,6
"334",145,167,26,0,0
"335",173,187,25,6,7
"336",168,159,28,0,0
"337",165,173,24,6,7
"338",162,157,27,0,0
"339",153,138,20,5,9
"340",144,142,19,0,0
"341",0,1,1,0,0
"342",148,166,22,0,0
"343",164,133,20,0,0
"344",171,157,21,0,0
"345",0,1,0,0,0
"346",176,157,26,6,10
"347",155,137,20,0,0
"348",166,169,26,0,0
"349",158,159,25,6,8
"350",148,153,22,0,0
"351",0,1,1,0,0
"352",0,1,0,0,0
"353",167,168,30,0,0
"354",159,167,29,6,9
"355",151,169,21,7,10
"356",156,153,27,8,6
"357",149,155,22,0,1
"358",154,156,20,0,0
"359",148,154,25,4,5
"360",166,168,18,4,6
"361",162,178,26,0,0
"362",164,165,24,0,0
"363",143,163,21,7,7
"364",150,131,23,0,0
"365",160,154,18,6,8
"366",165,161,23,4,9
"367",138,140,22,0,0
"368",143,148,21,6,5
"369",166,170,25,0,0
"370",150,134,20,0,0
"371",154,135,22,0,0
"372",138,148,15,1,0
"373",147,142,25,0,0
"374",145,142,20,0,0
"375",150,134,28,5,6
"376",169,166,22,5,11
"377",145,154,27,0,0
"378",0,1,0,0,0
"379",147,143,19,0,0
"380",162,166,25,0,0
"381",139,168,27,6,7
"382",153,147,23,5,12
"383",173,177,18,0,1
"384",0,1,0,0,0
"385",156,156,23,1,2
"386",0,1,0,0,0
"387",162,163,22,0,0
"388",158,137,29,0,0
"389",156,146,22,8,7
"390",184,137,28,0,0
"391",176,167,26,7,7
"392",148,157,25,5,8
"393",153,167,22,4,7
"394",1,1,0,0,0
"395",0,1,0,0,0
"396",154,158,22,0,0
"397",1,1,0,0,0
"398",167,151,29,8,8
"399",165,158,26,0,0
"400",169,155,24,0,0
"401",170,148,23,0,0
"402",0,1,0,0,0
"403",156,151,21,5,7
"404",158,149,27,0,0
"405",154,159,28,5,6
"406",140,174,22,6,8
"407",0,1,0,0,0
"408",154,155,22,6,7
"409",172,165,22,0,1
"410",141,149,27,0,0
"411",155,168,24,0,1
"412",151,142,27,0,0
"413",134,156,26,0,0
"414",0,1,0,0,0
"415",144,155,25,1,0
"416",153,151,20,0,1
"417",0,1,0,0,0
"418",154,153,22,0,0
"419",155,148,30,0,0
"420",153,151,23,0,1
"421",150,141,24,0,0
"422",165,160,24,6,9
"423",0,1,0,0,0
"424",163,179,26,0,0
"425",161,170,28,5,7
"426",157,151,27,5,8
"427",161,154,28,0,0
"428",145,147,27,0,0
"429",174,144,27,0,0
"430",164,163,27,0,0
