"time" "healthy.S" "vulnerable.S" "healthy.E" "vulnerable.E" "healthy.A" "vulnerable.A" "healthy.I" "vulnerable.I" "healthy.R" "vulnerable.R" "healthy.Q" "vulnerable.Q" "healthy.D" "vulnerable.D"
0 1900 100 0 0 0 0 1 0 0 0 0 0 0 0
1 1899.54275283094 99.9759343595232 0.359239582566827 0.0189073464508857 0.0884204903782311 0.0024493210631089 0.865361707527578 0.00240819851162784 0.097712497987327 0.000215300200503986 0 0 0.0465128905990099 8.54742506616801e-05
2 1899.0675200799 99.9509221094684 0.593490700340096 0.0312363526494787 0.28997671362799 0.0080325959453737 0.756080170963742 0.00776558480587334 0.205975905159822 0.00146576506325415 0 0 0.08695643000808 0.000577592067584836
3 1898.52116392943 99.9221665226013 0.79290087116874 0.0417316247983547 0.556750399593999 0.0154224487422161 0.666930819866161 0.0146724800788398 0.339798666577264 0.00431770066857968 0 0 0.122455313368037 0.00168922311065199
4 1897.86683494515 99.8877281550077 0.999909948368986 0.0526268393878414 0.874956701854702 0.0242370277522078 0.594862002591663 0.0227229951626259 0.509502817794012 0.00913522886981736 0 0 0.153933584244188 0.00354975381979975
5 1897.07142395622 99.8458644187484 1.2375841423128 0.0651360074901472 1.24641712784922 0.0345267902451307 0.537967466420159 0.0319539003403917 0.724413264313863 0.0162459399057648 0 0 0.182194042884408 0.00627294327016795
6 1896.09953268089 99.7947122463626 1.52185418060857 0.0800975884530825 1.68097501909891 0.0465644049611887 0.495042040771563 0.0426186966621934 0.994633206580609 0.026018870595962 0 0 0.207962872051183 0.00998819296498576
7 1894.91006790749 99.7321088372362 1.86695340566634 0.0982607055613862 2.19361495226072 0.0607649571263357 0.465391178065386 0.0551009238337527 1.33205330442737 0.0389074238585948 0 0 0.231919252092301 0.0148571523837259
8 1893.45377693155 99.6554619437656 2.28800956031602 0.120421555806106 2.80364821638249 0.0776633854953597 0.448754644848916 0.0698880537235513 1.75109197005314 0.0554799629640694 0 0 0.254718676852648 0.0210850982452926
9 1891.67098177763 99.5616306198751 2.80247712645508 0.147498796129215 3.53485340316268 0.0979183768189109 0.445285152329068 0.0875728170021837 2.26938857293761 0.0764481526767726 0 0 0.277013967488949 0.0289312374978333
