"","age1_orange.E","age1_green.E","age2_no_comorbid_orange.E","age2_no_comorbid_green.E","age2_comorbid_green.E","age3_no_comorbid_green.E","age3_comorbid_green.E"
"184",144,11,135,16,14,6,10
"185",158,12,140,14,17,6,11
"186",155,13,142,18,15,6,9
"187",150,14,149,19,18,5,9
"188",158,13,145,12,17,5,9
"189",0,0,1,0,0,0,0
"190",0,0,1,0,0,0,0
"191",159,12,127,14,19,9,8
"192",0,0,1,0,0,0,0
"193",140,11,150,14,22,9,15
"194",139,13,122,14,19,8,10
"195",140,13,132,17,18,7,11
"196",0,0,1,0,0,0,0
"197",148,14,150,13,24,9,9
"198",153,12,150,15,18,7,10
"199",151,11,153,13,14,4,8
"200",121,16,130,14,19,5,11
"201",154,17,135,17,20,11,12
"202",129,17,139,13,18,9,7
"203",155,11,159,14,20,9,13
"204",154,8,134,14,16,7,10
"205",133,16,141,13,19,6,9
"206",0,0,1,0,0,0,0
"207",148,11,159,16,21,7,11
"208",151,17,140,16,24,10,14
"209",0,0,1,0,0,0,0
"210",138,12,131,9,18,5,10
"211",145,14,124,13,23,6,9
"212",135,13,145,16,19,5,10
"213",151,12,139,17,19,9,12
"214",152,13,160,16,18,10,10
"215",0,0,1,0,0,0,0
"216",167,10,141,18,19,9,12
"217",133,14,152,19,21,8,11
"218",137,10,145,10,11,5,10
"219",146,11,165,14,17,8,10
"220",136,15,141,12,15,6,10
"221",152,12,146,15,18,6,10
"222",134,14,158,13,22,6,11
"223",163,14,119,14,25,5,12
"224",161,14,151,21,22,9,12
"225",148,12,128,15,19,7,9
"226",139,14,130,11,23,8,12
"227",150,13,136,13,16,5,9
"228",149,13,144,15,18,7,11
"229",158,15,143,14,22,6,8
"230",160,14,152,16,21,8,14
"231",134,12,134,12,20,10,16
"232",163,14,156,13,17,8,10
"233",148,13,138,16,17,7,11
"234",143,14,138,14,15,7,10
"235",143,15,137,14,19,6,9
"236",146,15,143,16,20,7,10
"237",146,13,127,14,20,8,12
"238",152,10,145,18,14,9,11
"239",145,8,140,12,20,7,10
"240",181,12,133,10,21,7,12
"241",1,0,1,0,0,0,0
"242",0,0,1,0,0,0,0
"243",145,12,156,13,22,5,8
"244",136,13,123,17,16,7,10
"245",143,10,164,18,18,8,11
"246",143,16,126,21,21,5,9
"247",150,11,155,12,18,6,8
"248",1,0,1,0,0,0,0
"249",0,0,1,0,0,0,0
"250",0,0,1,0,0,0,0
"251",142,12,142,14,20,6,8
"252",158,15,142,15,22,7,9
"253",132,10,116,13,19,6,11
"254",152,11,160,18,18,7,11
"255",160,14,152,20,27,6,9
"256",146,11,147,20,22,7,10
"257",152,11,123,13,17,6,14
