"","age1.P","age2_no_comorbid.P","age2_comorbid.P","age3_no_comorbid.P","age3_comorbid.P"
"243",0,1,0,0,0
"244",21,13,5,1,2
"245",0,1,0,0,0
"246",0,1,0,0,0
"247",17,15,3,2,3
"248",0,1,0,0,0
"249",0,1,0,0,0
"250",21,21,4,3,3
"251",13,10,3,2,2
"252",0,1,0,0,0
"253",0,1,0,0,0
"254",18,16,3,3,2
"255",1,1,0,0,0
"256",1,2,1,0,0
"257",1,1,0,0,1
"258",16,13,4,2,3
"259",0,1,0,0,0
"260",14,10,4,2,2
"261",20,20,4,2,4
"262",2,1,0,0,0
"263",0,1,0,0,0
"264",2,1,1,0,0
"265",0,1,0,0,0
"266",20,16,6,1,3
"267",15,12,2,1,3
"268",1,1,0,0,0
"269",16,14,4,1,2
"270",0,1,0,0,0
"271",17,12,3,3,3
"272",0,1,0,0,0
"273",15,11,4,1,2
"274",0,1,0,0,0
"275",0,1,0,0,0
"276",0,1,0,1,0
"277",1,1,0,0,0
"278",0,1,0,0,0
"279",9,10,2,2,3
"280",20,23,5,3,2
"281",23,20,7,2,2
"282",0,1,0,0,0
"283",24,17,4,2,3
"284",0,1,0,0,0
"285",0,1,1,0,0
"286",0,1,0,0,0
"287",17,14,6,2,3
"288",0,1,0,0,0
"289",19,16,3,2,2
"290",23,18,5,2,2
"291",1,1,0,0,0
"292",4,3,1,1,0
"293",0,1,0,0,0
"294",25,16,4,1,3
"295",1,1,0,0,1
"296",0,1,0,0,0
"297",0,1,0,0,0
"298",0,1,0,0,0
"299",0,1,0,0,0
"300",0,1,0,0,0
"301",0,2,0,0,1
"302",1,1,0,0,0
"303",0,1,0,0,0
"304",0,1,0,0,0
"305",1,1,0,0,1
"306",0,1,0,0,0
"307",14,11,4,2,3
"308",0,1,0,0,0
"309",0,1,0,0,0
"310",0,1,0,0,0
"311",0,1,0,0,0
"312",0,1,0,0,0
"313",5,4,1,2,2
"314",0,1,0,0,0
"315",23,16,4,2,2
"316",22,18,3,2,3
"317",1,1,0,0,1
"318",11,10,2,1,2
"319",0,1,0,0,0
"320",19,18,3,1,3
"321",2,1,1,0,0
"322",2,1,0,0,0
"323",1,1,0,0,0
"324",20,17,5,2,3
"325",13,12,3,2,2
"326",19,17,4,2,2
"327",0,1,0,0,0
"328",0,1,0,0,0
"329",0,1,0,0,0
"330",15,13,3,2,3
"331",1,1,0,0,0
"332",19,16,4,2,3
"333",1,1,0,0,0
"334",0,1,0,0,0
"335",0,1,0,0,0
"336",0,1,0,0,0
"337",1,1,1,0,0
"338",2,1,0,0,0
"339",0,1,0,0,0
"340",15,11,3,2,3
"341",1,1,0,0,0
"342",0,1,0,0,0
"343",2,2,1,0,0
"344",1,1,1,0,0
"345",12,8,3,2,4
"346",0,1,0,0,0
"347",0,1,0,0,0
"348",0,1,0,0,0
"349",21,28,5,2,2
"350",14,15,4,2,2
"351",1,1,0,0,0
"352",0,1,0,0,0
"353",20,19,4,2,2
"354",23,20,5,3,2
"355",1,1,0,0,0
"356",1,1,0,0,1
"357",12,11,4,1,2
"358",16,12,3,1,2
"359",0,1,0,0,0
"360",0,1,0,0,0
"361",1,1,0,0,0
"362",0,1,0,0,0
"363",1,1,0,0,0
"364",0,1,0,0,0
"365",2,2,0,1,0
"366",0,1,0,0,0
"367",0,1,0,0,0
"368",1,1,0,0,0
"369",0,1,0,0,0
"370",0,1,0,0,0
"371",13,14,4,2,2
"372",21,15,3,2,3
"373",2,1,0,0,1
"374",0,1,0,0,0
"375",0,1,0,0,0
"376",0,1,0,0,0
"377",26,20,5,2,3
"378",1,1,0,0,0
"379",19,20,3,1,2
"380",13,15,2,2,2
"381",18,18,4,3,2
"382",1,1,0,0,0
"383",1,1,0,0,0
"384",0,1,0,0,0
"385",22,21,5,2,3
"386",11,10,3,1,2
"387",1,1,0,0,0
"388",0,1,0,0,0
"389",1,2,1,0,0
"390",1,1,1,0,0
"391",18,15,4,1,3
"392",15,16,3,2,2
"393",12,9,3,1,2
"394",0,1,0,0,0
"395",19,18,3,3,3
"396",20,14,4,3,3
"397",18,14,4,3,2
"398",0,1,0,0,0
"399",15,16,3,2,2
"400",26,18,4,1,4
"401",0,1,0,0,0
"402",14,12,5,2,2
"403",0,1,0,0,0
"404",1,1,0,0,0
"405",2,2,1,0,0
"406",24,15,4,2,3
"407",19,18,4,2,2
"408",1,1,0,0,0
"409",23,19,5,1,3
"410",1,1,0,0,0
"411",1,1,0,0,0
"412",1,1,0,0,0
"413",1,1,0,0,0
"414",1,1,1,0,0
"415",18,10,4,1,2
"416",0,1,0,0,0
"417",0,1,0,0,0
"418",0,1,0,0,0
"419",0,1,0,0,0
"420",18,15,4,2,2
"421",1,1,0,0,0
"422",10,7,3,2,2
"423",25,23,6,3,3
"424",1,1,0,0,0
"425",1,1,0,0,0
"426",0,1,0,0,0
"427",16,14,4,1,2
"428",16,14,4,1,3
"429",2,1,0,0,0
"430",10,8,2,1,2
"431",0,1,0,0,0
"432",14,11,3,1,3
"433",17,12,4,1,2
"434",2,1,0,0,0
"435",19,15,4,3,3
"436",24,26,5,3,3
"437",0,1,0,0,0
"438",3,3,2,0,1
"439",0,1,0,0,0
"440",4,3,2,1,2
"441",23,20,5,3,2
"442",1,1,0,0,0
"443",2,1,0,1,0
"444",2,1,0,0,0
"445",0,1,0,0,0
"446",0,1,0,0,0
"447",22,17,5,2,3
"448",0,1,1,0,0
"449",0,1,0,0,0
"450",17,13,5,2,2
"451",0,1,0,0,0
"452",0,1,0,0,0
"453",1,1,0,0,0
"454",4,2,1,0,1
"455",17,15,4,2,3
"456",2,1,0,0,0
"457",18,13,4,2,2
"458",2,2,1,0,0
"459",22,20,5,2,3
"460",0,1,0,0,0
"461",2,2,1,0,0
"462",0,1,0,0,0
"463",25,20,5,2,3
"464",0,1,0,0,0
"465",1,1,0,0,0
"466",0,1,0,0,0
"467",22,21,4,2,2
"468",32,18,4,2,3
"469",0,1,0,0,0
"470",26,20,4,3,3
"471",0,1,0,0,0
"472",0,1,0,0,0
"473",0,1,0,0,0
"474",1,2,0,0,0
"475",1,1,2,0,0
"476",15,11,5,2,3
"477",17,15,3,2,3
"478",0,1,0,0,0
"479",17,11,4,3,3
"480",1,1,0,0,0
"481",20,14,5,2,3
"482",0,1,0,0,0
"483",0,1,0,0,0
"484",20,22,5,3,4
"485",17,17,3,2,3
"486",17,14,3,2,3
"487",0,1,0,0,0
"488",1,2,1,0,0
"489",0,1,0,0,1
"490",20,18,5,2,2
"491",1,1,0,0,1
"492",23,19,6,2,3
"493",14,11,4,2,3
"494",1,1,0,0,0
"495",1,1,0,0,0
"496",21,21,5,4,4
"497",1,2,0,0,0
"498",1,1,0,0,0
"499",0,1,0,0,0
"500",1,1,0,0,0
"501",0,1,0,0,0
"502",22,19,5,2,3
"503",19,17,6,2,3
"504",0,1,0,0,1
"505",19,13,4,2,2
"506",14,10,3,2,3
"507",18,13,6,1,3
"508",1,1,0,0,0
"509",12,14,5,1,3
"510",16,12,4,2,2
"511",17,17,5,2,2
"512",0,1,0,0,0
"513",1,1,1,0,0
"514",21,15,6,3,3
"515",0,1,0,0,0
"516",0,1,0,0,0
"517",1,1,0,0,0
"518",19,14,4,2,2
"519",21,19,4,2,2
"520",19,14,4,2,3
"521",0,1,0,0,0
"522",0,1,0,0,0
"523",0,1,0,0,0
"524",1,1,0,0,0
"525",1,2,0,0,0
"526",21,22,4,2,2
"527",1,1,0,0,0
"528",1,1,0,0,0
"529",0,1,0,0,0
"530",22,21,4,2,2
"531",18,17,5,2,2
"532",1,1,0,0,0
"533",0,1,0,0,0
"534",21,31,4,3,2
"535",0,1,0,0,0
"536",24,17,5,2,2
"537",0,1,0,0,0
"538",20,15,4,2,2
"539",0,1,0,0,0
"540",18,13,4,2,3
"541",0,1,0,0,0
"542",0,1,0,0,0
"543",16,11,3,2,3
"544",3,2,1,0,0
"545",20,13,3,2,2
"546",13,14,5,1,2
"547",11,9,3,1,2
"548",1,1,0,0,0
"549",0,1,0,0,0
"550",13,12,4,1,2
"551",1,1,0,0,0
"552",19,17,4,1,3
"553",18,15,3,3,3
"554",18,13,4,1,2
"555",18,12,3,1,2
"556",2,1,0,0,0
"557",0,1,0,0,0
"558",12,11,3,1,2
"559",1,1,0,1,0
"560",0,1,0,0,0
"561",0,1,0,0,0
"562",0,1,0,0,0
"563",1,1,0,0,0
"564",23,22,4,2,3
"565",0,1,0,0,0
"566",10,8,2,2,2
"567",0,2,0,0,0
"568",2,1,0,0,0
"569",1,1,1,0,0
"570",0,1,0,0,0
"571",0,1,1,0,0
"572",12,13,4,1,3
"573",0,1,0,0,0
"574",2,3,2,0,0
"575",0,1,0,0,0
"576",1,2,0,0,0
"577",17,13,2,3,4
"578",1,1,0,0,0
"579",0,1,0,0,0
"580",19,19,4,2,2
"581",16,12,3,1,2
"582",1,1,0,0,1
"583",1,1,0,0,0
"584",0,1,0,0,0
"585",1,1,0,0,0
"586",20,16,4,2,3
"587",0,1,0,0,0
"588",26,21,5,2,4
"589",0,1,0,0,0
"590",11,11,3,1,2
"591",32,26,5,2,3
"592",1,1,0,0,0
"593",0,1,0,0,0
"594",0,1,0,0,0
"595",1,2,0,1,0
"596",0,1,0,0,0
"597",18,13,3,3,2
"598",0,1,0,0,0
"599",0,1,0,0,0
"600",1,1,0,0,0
"601",20,14,3,2,2
"602",21,20,7,2,2
"603",0,1,0,0,0
"604",1,1,1,0,1
"605",0,1,0,0,0
"606",1,1,0,0,1
"607",0,1,0,0,0
"608",1,1,0,0,0
"609",0,1,0,0,0
"610",20,18,3,2,3
"611",1,2,0,0,0
"612",29,29,7,2,4
"613",0,1,0,0,0
"614",0,1,0,0,0
