"","age1.R","age2_no_comorbid.R","age2_comorbid.R","age3_no_comorbid.R","age3_comorbid.R"
"1",0.122850122850123,0.318471337579618,0,2.27272727272727,0
"2",93.3660933660934,84.9256900212314,65.4952076677316,45.4545454545455,30.8310991957105
"3",92.014742014742,85.1380042462845,65.4952076677316,72.7272727272727,34.8525469168901
"4",90.04914004914,87.0488322717622,63.8977635782748,65.9090909090909,36.1930294906166
"5",91.8918918918919,84.5010615711253,71.8849840255591,77.2727272727273,37.5335120643432
"6",0,0.106157112526539,0,0,0
"7",0,0.106157112526539,0,0,0
"8",0.122850122850123,0.106157112526539,0,0,0
"9",0,0.106157112526539,0,0,0
"10",0,0.106157112526539,0,0,0
"11",90.2948402948403,82.5902335456476,69.4888178913738,54.5454545454545,36.1930294906166
"12",91.7690417690418,85.031847133758,66.2939297124601,56.8181818181818,38.8739946380697
"13",91.6461916461916,85.9872611464968,63.0990415335463,72.7272727272727,42.8954423592493
"14",91.5233415233415,83.1210191082803,64.6964856230032,63.6363636363636,33.5120643431635
"15",91.6461916461916,84.7133757961784,65.4952076677316,61.3636363636364,28.1501340482574
"16",0,0.106157112526539,0,0,0
"17",0,0.106157112526539,0,0,0
"18",90.6633906633907,85.244161358811,61.5015974440894,65.9090909090909,41.5549597855228
"19",0,0.106157112526539,0,0,0
"20",90.7862407862408,85.8811040339703,65.4952076677316,70.4545454545455,32.171581769437
"21",92.2604422604423,85.1380042462845,71.0862619808307,61.3636363636364,29.4906166219839
"22",91.2776412776413,83.4394904458599,63.0990415335463,59.0909090909091,46.916890080429
"23",92.2604422604423,85.4564755838641,70.2875399361022,68.1818181818182,24.1286863270778
"24",90.9090909090909,83.651804670913,72.6837060702875,65.9090909090909,33.5120643431635
"25",0,0.106157112526539,0,0,0
"26",91.4004914004914,85.9872611464968,65.4952076677316,56.8181818181818,34.8525469168901
"27",91.6461916461916,84.6072186836518,70.2875399361022,61.3636363636364,29.4906166219839
"28",92.7518427518427,84.8195329087049,65.4952076677316,77.2727272727273,34.8525469168901
"29",0,0.106157112526539,0,0,0
"30",91.4004914004914,85.244161358811,63.0990415335463,72.7272727272727,41.5549597855228
"31",91.7690417690418,85.4564755838641,67.0926517571885,61.3636363636364,29.4906166219839
"32",90.5405405405405,86.7303609341826,70.2875399361022,52.2727272727273,30.8310991957105
"33",90.2948402948403,86.3057324840764,66.2939297124601,56.8181818181818,29.4906166219839
"34",90.5405405405405,81.8471337579618,67.8913738019169,54.5454545454545,36.1930294906166
"35",92.8746928746929,84.3949044585987,65.4952076677316,68.1818181818182,22.7882037533512
"36",90.7862407862408,84.9256900212314,70.2875399361022,72.7272727272727,41.5549597855228
"37",91.5233415233415,86.6242038216561,66.2939297124601,61.3636363636364,40.2144772117963
"38",90.04914004914,84.2887473460722,69.4888178913738,61.3636363636364,29.4906166219839
"39",91.5233415233415,86.1995753715499,72.6837060702875,70.4545454545455,25.4691689008043
"40",91.7690417690418,84.7133757961784,67.0926517571885,65.9090909090909,29.4906166219839
"41",91.5233415233415,87.3673036093418,63.8977635782748,70.4545454545455,41.5549597855228
"42",90.5405405405405,86.9426751592357,63.0990415335463,50,36.1930294906166
"43",0,0.106157112526539,0,0,0
"44",91.031941031941,83.7579617834395,67.0926517571885,59.0909090909091,41.5549597855228
"45",92.5061425061425,84.8195329087049,70.2875399361022,63.6363636363636,36.1930294906166
"46",0,0.106157112526539,0,0,0
"47",91.031941031941,85.6687898089172,57.5079872204473,59.0909090909091,20.1072386058981
"48",91.2776412776413,86.3057324840764,68.6900958466454,56.8181818181818,28.1501340482574
"49",91.7690417690418,83.3333333333333,65.4952076677316,56.8181818181818,33.5120643431635
"50",91.2776412776413,87.5796178343949,70.2875399361022,72.7272727272727,32.171581769437
"51",92.2604422604423,84.1825902335457,66.2939297124601,68.1818181818182,21.4477211796247
"52",92.2604422604423,83.4394904458599,65.4952076677316,56.8181818181818,29.4906166219839
"53",91.8918918918919,86.9426751592357,65.4952076677316,70.4545454545455,38.8739946380697
"54",93.8574938574938,85.1380042462845,70.2875399361022,59.0909090909091,33.5120643431635
"55",90.6633906633907,84.5010615711253,69.4888178913738,61.3636363636364,18.7667560321716
"56",0,0.106157112526539,0,0,0
"57",91.8918918918919,86.7303609341826,79.8722044728434,79.5454545454545,34.8525469168901
"58",92.7518427518427,85.5626326963907,64.6964856230032,65.9090909090909,25.4691689008043
"59",0,0.106157112526539,0,0,0
"60",91.4004914004914,82.3779193205945,62.3003194888179,61.3636363636364,32.171581769437
"61",0,0.106157112526539,0,0,0
"62",0,0,0,0,0
"63",0,0.106157112526539,0,0,0
"64",92.014742014742,86.6242038216561,67.0926517571885,75,29.4906166219839
"65",91.8918918918919,84.9256900212314,56.7092651757188,68.1818181818182,41.5549597855228
"66",92.7518427518427,85.244161358811,62.3003194888179,63.6363636363636,34.8525469168901
"67",0,0.106157112526539,0,0,0
"68",0,0.106157112526539,0,0,0
"69",0,0.106157112526539,0,0,0
"70",91.7690417690418,86.6242038216561,63.8977635782748,72.7272727272727,29.4906166219839
"71",92.014742014742,85.1380042462845,67.8913738019169,61.3636363636364,33.5120643431635
"72",93.6117936117936,87.4734607218684,66.2939297124601,68.1818181818182,30.8310991957105
"73",93.4889434889435,86.3057324840764,63.8977635782748,70.4545454545455,36.1930294906166
"74",92.5061425061425,84.9256900212314,66.2939297124601,47.7272727272727,29.4906166219839
"75",0,0.106157112526539,0,0,0
"76",92.2604422604423,86.7303609341826,66.2939297124601,45.4545454545455,30.8310991957105
"77",91.1547911547912,85.7749469214437,70.2875399361022,65.9090909090909,28.1501340482574
"78",92.1375921375921,85.5626326963907,57.5079872204473,65.9090909090909,29.4906166219839
"79",90.5405405405405,84.7133757961784,66.2939297124601,63.6363636363636,33.5120643431635
"80",91.7690417690418,84.9256900212314,63.0990415335463,70.4545454545455,32.171581769437
"81",90.2948402948403,85.5626326963907,69.4888178913738,65.9090909090909,32.171581769437
"82",92.6289926289926,84.1825902335457,67.0926517571885,70.4545454545455,34.8525469168901
"83",0,0.106157112526539,0,0,0
"84",93.4889434889435,85.3503184713376,66.2939297124601,68.1818181818182,26.8096514745308
"85",91.8918918918919,87.3673036093418,67.8913738019169,70.4545454545455,40.2144772117963
"86",91.8918918918919,83.5456475583864,66.2939297124601,63.6363636363636,29.4906166219839
"87",91.4004914004914,86.6242038216561,75.0798722044728,61.3636363636364,44.2359249329759
