"","age1_orange.H","age2_no_comorbid_orange.H","age2_comorbid_green.H","age3_no_comorbid_green.H","age3_comorbid_green.H"
"242",18,22,7,2,8
"243",16,16,10,4,7
"244",16,24,7,2,8
"245",22,16,6,2,10
"246",24,24,1,0,0
"247",21,31,0,0,0
"248",16,20,5,4,7
"249",18,18,0,0,0
"250",19,24,6,3,9
"251",24,20,15,4,6
"252",12,19,0,0,0
"253",0,0,0,0,0
"254",18,18,8,3,10
"255",17,25,7,2,9
"256",15,23,0,0,0
"257",23,19,5,2,6
"258",20,23,0,0,0
"259",17,20,0,0,0
"260",12,23,0,0,1
"261",17,24,6,4,9
"262",17,20,5,2,8
"263",17,20,8,2,7
"264",23,26,7,2,6
"265",12,17,0,0,0
"266",18,26,0,0,0
"267",21,22,0,0,0
"268",9,26,6,2,7
"269",22,26,6,3,6
"270",16,21,7,3,7
"271",18,21,10,3,12
"272",21,15,0,0,0
"273",16,22,9,1,5
"274",24,28,0,0,0
"275",19,27,5,2,6
"276",25,30,7,4,9
"277",17,17,8,3,12
"278",18,23,0,0,0
"279",17,20,0,0,1
"280",23,16,6,5,9
"281",23,24,9,3,10
"282",16,24,6,1,6
"283",0,0,0,0,0
"284",0,0,0,0,0
"285",24,22,8,3,10
"286",0,0,0,0,0
"287",24,16,0,0,0
"288",19,16,0,0,0
"289",16,25,0,0,0
"290",25,21,0,0,0
"291",0,0,0,0,0
"292",22,24,8,3,7
"293",20,20,6,1,8
"294",23,25,6,2,9
"295",18,30,10,2,10
"296",19,16,10,5,4
"297",17,23,10,2,7
"298",19,14,0,0,0
"299",18,15,11,2,9
"300",0,0,0,0,0
"301",18,23,9,2,7
"302",0,0,0,0,0
"303",0,0,0,0,0
"304",0,0,0,0,0
"305",17,16,0,0,0
"306",14,24,6,2,7
"307",21,18,0,0,0
"308",21,8,7,2,9
"309",21,19,4,2,11
"310",20,17,6,6,8
"311",20,16,9,4,9
"312",14,19,8,4,7
"313",13,20,0,0,0
"314",17,21,8,3,8
"315",0,0,0,0,0
"316",17,23,12,2,8
"317",17,27,0,0,0
"318",22,21,5,3,9
"319",17,19,11,2,9
"320",17,25,0,0,0
"321",20,25,7,2,8
"322",22,16,7,1,8
"323",24,26,0,0,0
"324",20,20,8,1,12
"325",17,33,6,5,10
"326",19,26,6,4,5
"327",18,15,9,5,9
"328",16,20,0,0,0
"329",0,0,0,0,0
"330",19,19,8,3,9
"331",28,27,0,0,1
"332",26,18,15,2,11
"333",20,22,9,2,8
"334",25,14,7,2,10
"335",1,0,0,0,0
"336",18,15,10,4,7
"337",22,14,8,3,7
"338",21,19,0,0,0
"339",12,24,7,1,4
"340",19,16,6,2,10
"341",17,17,8,3,8
"342",12,23,11,4,9
"343",21,19,0,0,0
"344",20,19,10,5,10
"345",17,22,0,0,0
"346",21,23,13,6,14
"347",14,18,10,3,8
"348",23,17,0,0,0
"349",17,16,14,2,8
"350",13,16,11,2,10
"351",17,24,0,0,0
"352",26,22,6,4,6
"353",24,19,8,4,12
"354",20,20,7,2,10
"355",21,22,9,3,8
"356",18,18,8,2,6
"357",0,1,0,0,0
"358",24,21,10,5,6
"359",15,20,8,3,7
"360",23,21,8,3,10
"361",17,15,0,0,0
"362",0,0,0,0,0
"363",16,19,5,3,7
"364",19,20,6,5,10
"365",0,0,0,0,0
"366",19,20,6,4,12
"367",20,25,0,0,0
"368",21,25,6,2,12
"369",0,0,0,0,0
"370",21,24,8,5,8
"371",16,23,1,0,1
"372",18,18,7,2,9
"373",20,25,9,3,8
"374",22,25,0,0,0
"375",19,21,9,3,9
"376",0,0,0,0,0
"377",17,19,7,2,8
"378",16,21,11,4,11
"379",16,21,0,0,0
"380",24,18,7,3,10
"381",20,19,0,0,0
"382",0,0,0,0,0
"383",0,0,0,0,0
"384",19,15,11,3,9
"385",15,21,8,2,8
"386",14,21,6,2,7
"387",21,20,0,0,0
"388",0,0,0,0,0
"389",12,16,8,2,6
"390",19,17,9,3,11
"391",20,27,0,0,0
"392",19,27,7,2,7
"393",21,21,5,4,10
"394",0,0,0,0,0
"395",19,21,10,2,8
"396",17,26,0,0,0
"397",26,20,0,0,1
"398",20,18,7,5,9
"399",25,17,11,6,10
"400",30,28,0,0,0
"401",16,22,0,0,0
"402",15,28,11,2,8
"403",18,24,7,3,12
"404",19,23,7,2,8
"405",22,15,7,3,6
"406",18,22,1,0,0
"407",15,30,10,2,9
"408",16,14,1,1,0
"409",20,18,0,0,0
"410",0,0,0,0,0
"411",16,24,0,1,0
"412",18,24,5,3,13
"413",25,22,5,2,8
"414",20,18,8,3,8
"415",19,21,10,4,6
"416",13,24,10,3,8
"417",23,17,6,3,7
"418",23,20,8,4,9
"419",19,25,7,2,7
"420",15,20,7,5,6
"421",0,0,0,0,0
"422",16,24,6,2,7
"423",27,27,5,2,8
"424",21,24,9,2,11
"425",17,20,8,2,7
"426",18,20,0,0,0
"427",15,17,0,0,0
"428",16,18,0,0,0
"429",20,22,10,3,13
"430",24,24,11,2,6
"431",14,14,6,5,10
"432",0,0,0,0,0
"433",19,24,7,4,8
"434",21,25,10,2,8
"435",22,21,9,4,5
"436",18,23,7,4,5
"437",17,17,7,5,10
"438",22,19,6,5,12
"439",14,22,8,3,4
"440",23,18,1,0,0
"441",25,16,9,3,13
"442",0,0,0,0,0
"443",19,27,0,0,0
"444",16,15,9,4,6
"445",19,23,6,3,8
"446",17,17,0,0,0
"447",14,23,8,3,8
"448",20,27,11,3,6
"449",21,22,7,3,6
"450",22,23,0,0,0
"451",0,0,0,0,0
"452",19,15,7,2,9
"453",18,17,0,0,0
"454",17,18,0,0,0
"455",20,21,9,3,7
"456",16,19,8,4,9
"457",0,0,0,0,0
"458",20,22,7,3,5
"459",20,20,7,3,12
"460",18,21,9,4,5
"461",20,19,7,2,9
"462",19,18,0,0,0
"463",19,17,0,0,0
"464",0,0,0,0,0
"465",15,18,11,3,7
"466",21,23,0,0,0
"467",20,16,9,4,11
"468",22,21,6,2,12
"469",21,15,0,0,0
"470",27,18,8,2,10
"471",14,19,11,4,8
"472",16,21,8,3,5
"473",16,24,6,3,7
"474",16,25,9,3,10
"475",26,18,8,3,10
"476",15,23,10,5,13
"477",20,21,10,2,12
"478",17,22,8,3,9
"479",14,24,5,3,7
"480",16,20,7,5,8
"481",19,22,0,0,0
"482",19,16,6,3,12
"483",23,16,5,1,6
"484",19,21,8,6,9
"485",0,0,0,0,0
"486",22,21,0,0,0
"487",19,17,6,2,6
"488",0,0,0,0,0
"489",15,14,0,0,0
"490",0,0,0,0,0
"491",0,0,0,0,0
"492",21,18,10,3,11
"493",19,23,8,1,9
"494",16,18,8,1,8
"495",17,24,11,4,12
"496",17,18,10,3,7
"497",18,22,7,3,9
"498",21,17,8,3,7
"499",20,21,10,2,7
"500",21,21,0,0,0
"501",19,17,7,2,7
"502",16,19,0,0,0
"503",26,19,8,2,5
"504",10,16,0,0,0
"505",19,23,10,4,9
"506",21,24,0,0,0
"507",17,23,10,2,14
"508",0,0,0,0,0
"509",17,24,0,0,0
"510",18,17,7,4,9
"511",16,28,7,4,6
"512",14,21,9,5,9
"513",0,0,0,0,0
"514",16,24,7,3,7
"515",17,23,9,2,6
"516",16,16,0,0,0
"517",20,21,8,2,9
"518",19,20,0,0,0
"519",23,20,10,3,6
"520",22,27,10,4,8
"521",19,16,0,0,0
"522",19,22,9,1,11
"523",21,23,6,3,8
"524",17,20,7,1,7
"525",18,20,6,4,8
"526",16,19,8,3,8
"527",24,16,9,4,10
"528",22,18,0,0,0
"529",21,20,0,0,0
"530",0,0,0,0,0
"531",14,22,1,0,0
"532",16,16,0,0,0
"533",17,18,7,3,7
"534",22,15,10,2,11
"535",18,23,10,3,8
"536",21,28,0,0,0
"537",17,19,0,0,0
"538",22,19,0,0,0
"539",15,15,8,5,10
"540",19,21,6,3,8
"541",0,0,0,0,0
"542",28,19,6,2,6
"543",29,24,7,2,8
"544",18,26,0,0,0
"545",13,17,8,2,8
"546",23,22,0,1,0
"547",14,22,8,5,6
"548",0,0,0,0,0
"549",15,14,0,0,0
"550",0,0,0,0,0
"551",16,24,8,2,4
"552",19,15,6,3,10
"553",17,19,8,3,7
"554",18,24,8,3,9
"555",23,21,7,2,10
"556",18,27,13,2,8
"557",24,17,0,0,0
"558",21,17,9,3,10
"559",20,17,6,4,8
"560",15,19,0,0,0
"561",23,18,8,2,14
"562",18,20,7,4,11
"563",18,18,8,1,6
"564",19,21,0,0,0
"565",17,13,9,2,6
"566",24,29,9,2,8
"567",17,25,0,0,0
"568",0,0,0,0,0
"569",23,17,0,0,0
"570",19,24,9,1,8
"571",19,27,0,0,0
"572",20,14,6,3,6
"573",22,29,10,3,5
"574",21,20,6,4,11
"575",19,19,6,3,9
"576",18,21,0,0,0
"577",20,27,0,0,0
"578",19,21,10,1,7
"579",0,0,0,0,0
"580",20,25,0,0,0
"581",0,0,0,0,0
"582",17,28,11,5,7
"583",25,25,4,4,8
"584",0,0,0,0,0
"585",21,22,9,4,9
"586",16,25,4,3,8
"587",21,23,10,5,8
"588",18,27,5,2,5
"589",12,22,11,4,12
"590",16,18,5,3,5
"591",11,12,0,0,0
"592",19,22,6,2,9
"593",0,0,0,0,0
"594",0,0,0,0,0
"595",15,19,0,0,0
"596",25,28,6,4,10
"597",20,17,6,5,6
"598",27,22,5,3,5
"599",19,20,5,3,7
"600",30,24,6,6,8
"601",10,23,8,3,7
"602",0,0,0,0,0
"603",19,21,7,3,4
"604",14,15,7,4,11
"605",24,20,12,4,9
"606",0,0,0,0,0
"607",16,26,8,3,7
"608",0,0,0,0,0
"609",14,22,9,4,7
"610",16,23,9,3,8
"611",17,17,0,0,0
"612",14,15,8,2,9
"613",15,27,11,1,10
"614",22,22,0,0,0
"615",15,20,6,4,11
"616",0,0,0,0,0
"617",19,22,7,3,6
"618",22,17,4,6,10
"619",16,20,9,2,9
"620",0,0,0,0,0
"621",0,0,0,0,0
"622",22,18,12,4,8
"623",18,15,5,5,6
"624",17,21,10,2,8
"625",18,19,6,4,8
"626",19,24,9,2,11
"627",15,27,6,3,6
"628",21,24,7,4,9
"629",0,0,0,0,0
"630",17,24,10,4,9
"631",19,17,1,0,0
"632",26,27,6,2,5
"633",15,15,11,2,7
"634",15,15,8,2,13
"635",24,15,0,0,0
"636",19,15,4,4,9
"637",19,29,8,5,7
"638",19,24,5,4,7
"639",0,0,0,0,0
"640",14,19,0,0,0
"641",19,20,8,2,10
"642",0,0,0,0,0
"643",17,21,10,3,11
"644",0,0,0,0,0
"645",0,0,0,0,0
"646",17,33,11,2,8
"647",19,21,16,5,8
"648",18,14,13,4,7
"649",20,23,5,1,7
"650",19,17,8,2,6
"651",15,22,0,0,0
"652",23,15,8,3,7
"653",0,0,0,0,0
"654",21,21,6,6,7
"655",16,20,0,0,0
"656",15,17,9,3,9
"657",23,23,8,5,5
"658",24,19,0,1,1
"659",18,23,10,3,13
"660",17,21,5,2,6
"661",19,21,0,0,0
"662",23,14,0,0,0
"663",27,21,9,3,10
"664",25,18,9,3,6
"665",29,19,0,0,0
"666",17,21,8,2,12
"667",0,0,0,0,0
"668",22,28,6,3,6
"669",28,24,9,3,7
"670",25,14,0,0,0
"671",20,28,7,5,6
"672",19,24,8,2,11
"673",17,30,8,2,7
"674",22,13,6,3,10
"675",24,21,7,5,8
"676",21,19,0,0,0
"677",16,22,0,0,0
"678",18,21,5,4,6
"679",21,22,0,0,0
"680",0,0,0,0,0
"681",19,22,4,3,9
"682",17,19,4,2,5
"683",22,19,6,2,7
"684",19,22,0,0,0
"685",32,20,9,3,6
"686",0,0,0,0,0
"687",19,25,6,2,10
"688",22,18,0,0,0
"689",23,30,7,6,7
"690",16,14,8,4,11
"691",0,0,0,0,0
"692",18,17,6,3,10
"693",17,14,8,4,7
"694",0,0,0,0,0
"695",22,23,11,4,7
"696",19,18,8,1,6
"697",17,27,7,1,9
"698",16,22,7,3,7
"699",0,0,0,0,0
"700",13,17,10,1,12
"701",24,23,6,4,7
"702",18,19,6,3,10
"703",13,21,6,3,8
"704",19,17,11,5,7
"705",13,23,7,4,10
"706",11,24,5,5,9
"707",18,13,5,3,10
"708",18,27,0,0,0
"709",18,24,10,4,9
"710",17,13,8,2,7
"711",29,14,0,0,0
"712",20,23,12,6,9
"713",17,17,0,0,0
"714",20,23,0,0,0
"715",23,14,6,3,6
"716",26,22,0,0,0
"717",20,18,6,2,10
"718",15,21,0,0,0
"719",0,0,0,0,0
"720",20,22,9,2,11
"721",12,18,7,3,7
"722",0,0,0,0,0
"723",27,21,8,2,8
"724",22,16,0,0,0
"725",22,18,7,3,8
"726",18,16,0,0,0
"727",16,19,8,3,8
"728",18,14,7,1,8
"729",27,22,7,4,4
"730",21,16,6,4,9
"731",17,21,5,3,10
"732",17,21,8,4,14
"733",0,0,0,0,0
"734",10,21,0,0,0
"735",24,21,10,2,8
"736",13,18,0,0,0
"737",0,0,0,0,0
"738",15,28,8,3,6
"739",18,18,7,3,12
"740",0,0,0,0,0
"741",0,0,0,0,0
"742",0,0,0,0,0
"743",16,26,9,6,8
"744",19,17,10,3,8
"745",20,20,0,0,0
"746",16,21,6,4,9
"747",0,0,0,0,0
"748",0,0,0,0,0
"749",18,16,10,4,9
"750",28,17,11,5,12
"751",0,0,0,0,0
"752",0,0,0,0,0
"753",18,22,1,1,0
"754",14,22,9,2,7
"755",19,23,5,4,6
"756",16,24,4,2,7
"757",21,17,7,3,9
"758",17,22,8,4,12
"759",17,19,6,4,7
"760",15,21,8,3,5
"761",16,15,7,2,8
"762",0,0,0,0,0
"763",0,0,0,0,0
"764",20,15,9,2,7
"765",19,22,0,0,0
"766",22,20,6,1,14
"767",15,19,10,1,11
"768",14,20,0,0,0
"769",20,26,9,5,12
"770",21,18,0,0,0
"771",23,19,0,0,0
"772",16,16,5,2,9
"773",0,0,0,0,0
"774",0,0,0,0,0
"775",18,21,9,1,12
"776",19,21,0,0,0
"777",18,22,7,3,9
"778",25,23,0,0,0
"779",20,20,0,0,0
"780",7,21,11,3,6
"781",15,21,5,3,5
"782",17,18,7,3,8
"783",18,15,8,3,4
"784",23,19,0,0,0
"785",17,19,0,0,0
"786",20,19,8,3,8
"787",19,19,0,0,0
"788",19,21,11,3,6
"789",17,20,6,2,11
"790",23,13,8,2,9
"791",23,24,0,0,0
"792",18,17,7,4,9
"793",0,0,0,0,0
"794",16,28,8,4,8
"795",17,21,0,1,0
"796",16,19,7,3,6
"797",18,23,0,0,0
"798",14,20,0,0,0
"799",0,0,0,0,0
"800",0,0,0,0,0
"801",12,16,6,1,10
"802",14,22,7,2,12
"803",15,29,9,2,11
"804",0,0,0,0,0
"805",15,17,0,0,0
"806",25,30,0,0,0
"807",23,23,7,4,10
"808",23,22,10,3,9
"809",14,16,6,4,6
"810",20,22,9,5,10
"811",22,19,6,2,8
"812",15,22,0,0,0
"813",21,23,8,3,10
"814",24,27,0,0,0
"815",22,23,0,0,0
"816",14,27,8,2,8
"817",15,22,0,0,0
"818",0,0,0,0,0
"819",20,17,6,2,7
"820",17,25,13,2,7
"821",18,17,8,4,8
"822",20,15,0,0,0
"823",21,23,7,2,7
"824",23,27,8,2,6
"825",24,14,12,3,10
"826",24,24,0,0,0
"827",17,20,11,3,8
