"","age1_orange.R","age2_no_comorbid_orange.R","age2_comorbid_green.R","age3_no_comorbid_green.R","age3_comorbid_green.R"
"96",0,1,0,0,0
"97",755,832,86,32,26
"98",724,816,0,0,0
"99",747,813,81,30,23
"100",737,838,81,25,30
"101",759,834,86,34,25
"102",738,801,0,0,0
"103",752,827,83,36,32
"104",756,831,90,26,27
"105",754,820,85,28,28
"106",754,824,84,27,27
"107",758,826,0,0,0
"108",747,831,0,0,0
"109",746,828,82,27,26
"110",749,819,71,25,18
"111",749,835,81,23,27
"112",751,828,86,31,27
"113",759,823,0,0,0
"114",758,820,88,25,26
"115",746,826,1,0,0
"116",0,1,0,0,0
"117",769,820,85,30,25
"118",747,826,92,34,26
"119",744,822,89,33,24
"120",731,811,83,28,24
"121",752,823,90,28,22
"122",752,822,91,26,20
"123",751,823,96,27,21
"124",745,821,80,32,22
"125",740,820,73,33,27
"126",0,1,0,0,0
"127",747,840,75,31,20
"128",738,820,78,26,29
"129",753,820,88,29,23
"130",745,811,82,26,24
"131",739,817,83,30,33
"132",751,818,96,28,21
"133",739,805,1,0,0
"134",0,1,0,0,0
"135",742,825,0,0,0
"136",759,809,93,29,26
"137",743,829,79,25,35
"138",0,0,0,0,0
"139",0,0,0,0,0
"140",752,812,84,30,18
"141",756,832,89,24,33
"142",742,799,83,34,27
"143",754,804,82,26,25
"144",753,824,84,25,24
"145",745,827,76,28,19
"146",738,826,0,0,0
"147",741,806,89,32,21
"148",747,825,0,0,0
"149",770,829,88,31,29
"150",749,815,0,0,0
"151",0,1,0,0,0
"152",759,824,81,28,31
"153",737,807,81,26,20
"154",1,1,0,0,0
"155",752,814,90,27,26
"156",757,812,79,23,23
"157",735,809,91,32,27
"158",0,2,0,0,0
"159",754,820,87,27,16
"160",756,816,1,0,0
"161",757,825,0,1,0
"162",741,821,87,25,19
"163",752,809,86,30,25
"164",751,816,80,26,30
"165",744,832,79,28,28
"166",0,1,0,0,0
"167",742,810,0,0,0
"168",727,815,0,0,0
"169",758,831,92,26,32
"170",754,801,83,33,16
"171",757,822,82,28,24
"172",750,803,0,0,0
"173",752,812,2,0,0
"174",753,824,82,26,34
"175",745,813,79,23,24
"176",757,826,80,31,25
"177",761,826,90,29,26
"178",743,828,79,28,28
"179",750,825,92,28,20
"180",748,841,0,0,0
"181",751,829,84,26,23
"182",763,820,81,26,25
"183",759,842,0,0,0
"184",761,813,88,29,22
"185",741,812,79,31,34
"186",746,816,88,29,29
"187",745,818,0,0,0
"188",756,798,0,0,0
"189",760,829,0,0,0
"190",748,808,0,0,0
"191",743,824,0,0,0
"192",760,800,89,24,28
"193",754,837,92,29,22
"194",752,831,0,0,0
"195",754,827,78,31,24
"196",0,1,0,0,0
"197",749,821,84,29,30
"198",748,812,86,31,21
"199",746,822,0,0,0
"200",0,1,0,0,0
"201",0,1,0,0,0
"202",753,806,87,26,25
"203",0,0,0,0,0
"204",768,820,84,33,22
"205",740,822,85,26,18
"206",0,1,0,0,0
"207",0,1,0,0,0
"208",757,817,92,31,28
"209",738,827,0,0,0
"210",753,839,90,24,34
"211",767,827,79,30,36
"212",737,816,0,0,0
"213",746,813,81,32,21
"214",758,829,0,0,0
"215",757,831,0,0,0
"216",762,819,90,26,25
"217",738,795,78,28,24
"218",0,1,0,0,0
"219",761,808,80,30,24
"220",755,825,0,0,0
"221",753,818,93,26,22
"222",751,821,0,0,0
"223",0,2,0,0,0
"224",724,827,0,0,0
"225",762,828,86,30,24
"226",741,807,87,30,15
"227",0,1,0,0,0
"228",756,824,92,31,20
"229",736,807,87,34,29
"230",749,836,83,30,26
"231",748,806,2,0,1
"232",0,1,0,0,0
"233",750,820,0,0,0
"234",742,809,1,1,1
"235",747,815,81,32,20
"236",747,820,82,26,22
"237",0,1,0,0,0
"238",731,826,82,28,26
"239",745,805,79,29,24
"240",746,844,84,25,30
"241",754,843,0,0,0
"242",753,814,87,26,27
"243",754,827,85,32,26
"244",760,818,87,25,30
"245",750,823,84,26,19
"246",736,809,0,0,1
"247",743,800,0,0,0
"248",749,801,92,26,28
"249",753,822,0,0,0
"250",751,792,81,31,29
"251",740,818,72,28,24
"252",764,812,1,0,0
"253",0,1,0,0,0
"254",758,824,90,30,25
"255",743,817,89,28,25
"256",755,828,0,0,0
"257",748,815,88,28,26
"258",748,825,0,0,0
"259",748,802,1,0,1
"260",770,806,5,0,0
"261",748,814,90,26,33
"262",756,819,84,30,23
"263",758,816,86,32,30
"264",752,825,87,31,26
"265",764,831,0,0,0
"266",750,814,0,0,0
"267",741,812,0,0,0
"268",765,817,79,25,20
"269",746,818,86,30,28
"270",752,825,92,21,21
"271",750,832,84,32,29
"272",755,814,3,0,0
"273",754,819,73,30,31
"274",736,794,0,0,0
"275",737,829,91,29,21
"276",729,789,80,31,28
"277",763,839,85,28,25
"278",743,824,0,0,0
"279",745,816,0,0,0
"280",742,822,85,25,31
"281",753,812,78,28,22
"282",757,818,85,32,16
"283",0,1,0,0,0
"284",0,1,0,0,0
"285",739,830,79,28,29
"286",0,1,0,0,0
"287",739,821,0,0,0
"288",745,821,1,0,0
"289",755,818,0,0,0
"290",743,814,0,0,0
"291",0,1,0,0,0
"292",747,821,83,25,27
"293",747,804,92,35,29
"294",757,821,91,28,25
"295",748,801,89,29,19
"296",755,809,79,24,28
"297",742,827,84,29,16
"298",754,827,1,1,0
"299",753,831,81,24,29
"300",0,1,0,0,0
"301",746,818,82,31,25
