"","age1_orange.P","age2_no_comorbid_orange.P","age2_comorbid_green.P","age3_no_comorbid_green.P","age3_comorbid_green.P"
"1",42,26,0,0,0
"2",0,1,0,0,0
"3",0,1,0,0,0
"4",0,1,0,0,0
"5",0,1,0,0,0
"6",2,1,0,0,0
"7",44,35,0,0,0
"8",1,2,0,0,0
"9",0,1,0,0,0
"10",34,29,1,0,0
"11",1,1,0,0,0
"12",36,31,0,0,0
"13",1,1,0,0,0
"14",31,25,0,0,0
"15",0,1,0,0,0
"16",0,1,0,0,0
"17",29,32,0,0,0
"18",27,32,0,0,0
"19",0,1,0,0,0
"20",30,20,2,0,0
"21",1,1,0,0,0
"22",3,3,0,0,0
"23",36,34,0,0,0
"24",31,32,0,1,0
"25",39,33,0,1,0
"26",30,31,1,0,0
"27",1,1,0,0,0
"28",38,49,0,0,0
"29",37,33,0,1,0
"30",25,25,0,0,0
"31",37,33,0,0,0
"32",1,1,0,0,0
"33",34,31,0,0,0
"34",0,1,0,0,0
"35",0,1,0,0,0
"36",32,27,0,0,0
"37",1,3,0,0,0
"38",31,30,0,0,0
"39",0,1,0,0,0
"40",25,25,0,0,0
"41",25,24,0,0,0
"42",38,29,0,0,0
"43",37,34,1,0,0
"44",1,1,0,0,0
"45",34,30,1,0,0
"46",0,1,0,0,0
"47",0,1,0,0,0
"48",0,1,0,0,0
"49",0,1,0,0,0
"50",36,34,0,0,0
"51",40,29,0,0,0
"52",0,1,0,0,0
"53",0,1,0,0,0
"54",29,27,0,1,0
"55",38,28,1,0,0
"56",1,1,0,0,0
"57",0,1,0,0,0
"58",34,31,0,0,0
"59",35,31,0,0,0
"60",38,33,0,0,0
"61",35,33,2,0,1
"62",0,1,0,0,0
"63",35,35,0,0,0
"64",1,1,0,0,0
"65",0,1,0,0,0
"66",39,34,0,0,1
"67",27,31,0,0,1
"68",34,33,0,0,0
"69",38,37,0,0,0
"70",29,25,1,0,0
"71",0,1,0,0,0
"72",0,1,0,0,0
"73",0,1,0,0,0
"74",2,1,0,0,0
"75",1,1,0,0,0
"76",29,28,0,0,0
"77",0,1,0,0,0
"78",41,32,1,0,0
"79",1,1,0,0,0
"80",1,1,0,0,0
"81",34,28,0,0,0
"82",0,1,0,0,0
"83",27,24,0,0,0
"84",0,1,0,0,0
"85",27,23,0,0,0
"86",24,25,0,0,0
"87",0,1,0,0,0
"88",37,33,0,0,0
"89",1,1,0,0,0
"90",0,1,0,0,0
"91",44,30,1,0,0
"92",2,1,0,0,0
"93",37,33,0,0,0
"94",31,26,1,0,0
"95",30,28,0,0,0
"96",0,1,0,0,0
"97",27,28,0,0,0
"98",0,1,0,0,0
"99",27,34,0,0,0
"100",33,24,0,0,0
"101",37,31,0,1,0
"102",0,1,0,0,0
"103",42,31,0,0,0
"104",32,34,0,0,0
"105",0,1,0,0,0
"106",27,25,1,0,0
"107",35,27,0,0,0
"108",0,1,0,0,0
"109",0,1,0,0,0
"110",38,34,0,0,0
"111",42,35,0,0,0
"112",38,36,0,0,0
"113",29,27,0,0,0
"114",34,31,0,0,0
"115",1,1,0,0,0
"116",42,30,0,0,0
"117",1,1,0,0,0
"118",2,1,0,0,0
"119",32,31,0,0,0
"120",0,1,0,0,0
"121",30,25,0,0,0
"122",33,29,0,0,0
"123",27,24,0,0,0
"124",0,1,0,0,0
"125",37,31,0,0,0
"126",1,1,0,0,0
"127",0,1,0,0,0
"128",1,1,0,0,0
"129",0,1,0,0,0
"130",1,1,0,0,0
"131",1,1,0,0,0
"132",32,29,0,0,0
"133",1,1,0,0,0
"134",0,1,0,0,0
"135",0,1,0,0,0
"136",35,34,0,0,0
"137",0,1,0,0,0
"138",0,1,0,0,0
"139",47,29,0,0,2
"140",0,1,0,0,0
"141",0,1,0,0,0
"142",34,26,0,0,0
"143",34,26,0,0,0
"144",39,29,0,0,0
"145",0,1,0,0,0
"146",30,23,0,0,0
"147",39,36,0,1,0
"148",0,1,0,0,0
"149",25,22,0,0,0
"150",0,1,0,0,0
"151",27,21,1,0,0
"152",38,29,0,0,0
"153",33,28,0,1,1
"154",0,1,0,0,0
"155",35,31,0,0,1
"156",38,37,0,0,0
"157",40,36,0,0,0
"158",31,23,0,0,0
"159",36,26,0,0,0
"160",32,37,0,1,0
"161",27,27,0,0,0
"162",36,31,1,0,0
"163",1,2,0,0,0
"164",36,30,0,0,0
"165",31,26,1,0,1
"166",30,29,0,0,0
"167",3,2,0,0,0
"168",29,28,0,0,0
"169",35,29,0,0,0
"170",30,30,0,0,0
"171",34,26,0,1,0
"172",0,1,0,0,0
"173",31,25,0,0,0
"174",39,27,1,1,1
"175",0,1,0,0,0
"176",0,1,0,0,0
"177",2,1,0,0,0
"178",0,1,0,0,0
"179",0,1,0,0,0
"180",2,1,0,0,0
"181",1,1,0,0,0
"182",40,36,0,0,0
"183",39,31,0,0,0
"184",38,25,0,1,0
"185",0,1,0,0,0
"186",34,35,1,0,0
"187",37,28,1,0,1
"188",1,1,0,0,0
"189",35,39,0,0,0
"190",32,29,0,0,0
"191",0,1,0,0,0
"192",1,1,0,0,0
"193",0,1,0,0,0
"194",1,1,0,0,0
"195",38,36,1,0,0
"196",30,25,0,0,0
