"","age1_orange.E","age2_no_comorbid_orange.E","age2_comorbid_green.E","age3_no_comorbid_green.E","age3_comorbid_green.E"
"1",32.6704674944492,35.3217845960756,64.4219090373671,66.5821828769782,63.7379340294019
"2",20.1727125209364,22.0570317334472,0,0,0
"3",27.1159159950642,27.3988153775193,0,0,21.6349039358635
"4",0,0,0,0,0
"5",35.1040058182409,37.6257919828456,61.9370566885691,61.3432589975713,62.7220877505093
"6",26.0533308899402,26.2683516731196,0,0,0
"7",30.6643094758526,30.5750720137003,64.7006807833429,67.515538628606,76.6637196276615
"8",52.0969220147596,52.5277852143182,99.1809007660618,101.629869448675,111.705008041422
"9",28.2740720284651,30.5845319376007,75.9300807663314,71.9635538264738,78.2446745593581
"10",40.174823703415,44.6944674705597,0,0,0
"11",34.7765577320873,36.3147137365068,69.9401924724343,72.2159615588189,79.8361544384484
"12",31.0140556360048,34.7682309682766,94.6692660438369,88.3985551778247,110.275064967624
"13",35.24801784391,39.5298883051657,64.6544340203722,74.0949655125752,59.8065205759576
"14",45.4535122636451,47.8517839742169,93.9937802401119,91.194335830749,83.0022194608758
"15",32.3239246144524,31.3049759089748,66.862275094262,64.70961431137,68.5331135615912
"16",33.4047694597415,37.5050375858733,80.6057891904362,80.7715873123663,83.4832831296333
"17",22.4155705149007,25.270717341218,68.8268131109298,74.9787060357714,75.1899662240522
"18",26.6804274615127,27.9645071811803,0,0,0
"19",23.5171861670732,26.1639358130911,64.2428110388183,67.5259970871323,63.3394721799998
"20",0,0,0,0,0
"21",41.3457807473292,41.140540754018,76.248221883753,73.2034265328816,72.1085822327191
"22",35.8788760850176,39.1306913881373,72.7139907646105,75.8790042029841,81.1897149323415
"23",46.7249256421311,47.1318725581508,40.7691779795649,42.6875946934217,0
"24",28.1143492105865,30.4984277258149,63.8694034166353,70.3988981007749,65.3570725556121
"25",0,0,0,0,0
"26",31.6075394336294,32.6627247907243,0,0,0
"27",0,0,0,0,0
"28",29.720436299648,29.355463764788,58.9181267972817,59.5354546516648,69.3071708598156
"29",25.1160251568715,26.403044137993,62.5905537210821,55.236947612646,65.1771500647121
"30",28.9114074913635,26.9400845508254,65.6798877353253,61.7120779074648,69.6021573483155
"31",21.2833385692397,21.8327847606641,69.2717212652301,68.5897877954129,75.4286294991978
"32",24.3370124506812,24.9665871845762,50.4292520095985,42.9144649291726,55.0291135809991
"33",26.7604244658478,26.7604244658478,41.3335173733373,46.6888274482883,45.2230639959384
"34",0,0,0,0,0
"35",28.0522935825195,28.2937783523894,0,0,0
"36",27.6062195153704,31.6845688257584,62.0639380033452,59.2958065452156,52.0376689793517
"37",29.7055420513065,34.6277161780178,80.3167842023844,84.2697380112735,78.6465530746868
"38",30.3746583853644,31.0433059243824,67.3289528393819,67.4566071939343,64.0095115384984
"39",0,0,0,0,0
"40",32.1806524981078,38.0489346019735,54.087994693083,52.1370466774598,60.1232507246307
"41",0,0,0,0,0
"42",27.3227757439582,27.6174458744148,83.6336015920287,75.8661156045782,87.9990509859509
"43",29.3224355570599,29.2829052437158,0,0,0
"44",28.8773411971517,29.5297346244883,0,0,0
"45",26.0717974973006,28.0707159225633,56.6897649972421,60.7682680177188,63.8054959992005
"46",0,0,0,0,0
"47",0,0,0,0,0
"48",29.7030581693261,30.1491819860631,53.9058417912612,52.1128448638421,52.6526138249522
"49",27.2157964043719,28.7078096328071,46.7971765556563,43.9408744559567,45.8619808506886
"50",27.5144630298769,32.1421184397978,68.1531484060207,62.8639352741138,66.5962135457189
"51",34.1205429812563,34.4412702913712,56.6359137853227,57.2229479820387,59.2781699372767
"52",32.6105043899282,31.5506050883512,0,0,0
"53",0,0,0,0,0
"54",26.034894065903,30.6560222481835,64.2712277856996,62.084146815847,60.7494855888989
"55",25.6945262928713,27.0217428065796,77.9857013173215,83.579361295631,86.1953149245729
"56",26.724410293311,28.1112468374854,70.01196143466,61.1516676120534,64.6157822844309
"57",27.2793647790053,29.6462643360016,46.6100741448016,44.715432529998,49.1512651225191
"58",23.8965178320218,25.310194284883,55.1695048642321,54.6544909195936,53.4197690729868
"59",35.5772019012088,36.9611371059652,0,0,0
"60",26.0238732190284,26.7578619347651,52.1529126533078,50.9136383901711,49.4825331511796
"61",0,0,0,0,0
"62",35.3898980857785,38.9266354130156,70.0296341869871,72.0208803254481,69.2972375861588
"63",22.7782064348045,25.8607498124822,63.033979835885,58.5299877314168,69.5052361808976
"64",21.3563376716625,24.0591627990325,65.566982640315,71.5417726024428,72.5562848486952
"65",27.993626235268,27.5834750126848,70.6734724392122,69.9321504669335,72.7019429050657
"66",5.47884916540227,0,0,0,0
"67",39.9579875373562,38.2158042805186,76.3662461601023,74.2268912577464,72.094203206697
"68",26.128788457669,29.3803515612872,62.5231368422747,57.6240909970124,59.3987684726759
"69",34.6240734123959,41.528841291042,64.8277209923077,54.5439993286332,62.173284963554
