"","age1_orange.I","age2_no_comorbid_orange.I","age2_comorbid_green.I","age3_no_comorbid_green.I","age3_comorbid_green.I"
"1",86,68,0,0,0
"2",0,1,0,0,0
"3",0,1,0,0,0
"4",0,1,0,0,0
"5",0,1,0,0,0
"6",2,2,0,0,0
"7",99,74,0,0,0
"8",1,1,0,0,0
"9",0,0,0,0,0
"10",85,65,0,0,0
"11",1,1,0,0,0
"12",81,81,0,0,0
"13",1,1,0,0,0
"14",69,70,0,0,0
"15",0,1,0,0,0
"16",0,0,0,0,0
"17",71,66,0,0,0
"18",69,75,0,0,0
"19",0,1,0,0,0
"20",59,43,2,0,0
"21",2,1,0,0,0
"22",3,4,0,0,0
"23",94,74,0,0,0
"24",83,70,0,1,0
"25",90,75,0,1,0
"26",63,64,0,0,0
"27",1,1,0,0,0
"28",96,103,0,0,0
"29",85,72,0,1,0
"30",60,58,0,0,0
"31",75,81,0,0,0
"32",0,1,0,0,0
"33",78,70,0,0,0
"34",0,1,0,0,0
"35",0,1,0,0,0
"36",66,64,0,0,0
"37",1,3,0,0,0
"38",85,66,0,0,0
"39",0,1,0,0,0
"40",55,50,0,0,0
"41",57,55,0,0,0
"42",71,66,0,0,0
"43",83,74,1,0,0
"44",2,2,0,0,0
"45",86,74,1,0,0
"46",0,1,0,0,0
"47",0,1,0,0,0
"48",0,0,0,0,0
"49",0,1,0,0,0
"50",78,80,0,0,0
"51",78,70,0,0,0
"52",0,1,0,0,0
"53",0,1,0,0,0
"54",72,66,0,1,0
"55",87,63,1,0,0
"56",0,1,0,0,0
"57",0,1,0,0,0
"58",83,66,0,0,0
"59",77,65,0,0,0
"60",87,86,0,0,0
"61",72,73,2,0,1
"62",0,1,0,0,0
"63",78,83,0,0,0
"64",1,1,0,0,0
"65",0,1,0,0,0
"66",85,82,0,0,1
"67",75,69,0,0,1
"68",71,66,0,0,0
"69",97,81,0,0,0
"70",64,58,1,0,0
"71",0,1,0,0,0
"72",0,1,0,0,0
"73",0,0,0,0,0
"74",1,1,0,0,0
"75",2,1,0,0,0
"76",71,73,0,0,0
"77",0,1,0,0,0
