"","age1_orange.A","age2_no_comorbid_orange.A","age2_comorbid_green.A","age3_no_comorbid_green.A","age3_comorbid_green.A"
"242",47,43,6,4,7
"243",44,58,6,4,4
"244",60,35,7,2,6
"245",51,42,6,4,3
"246",37,49,0,0,0
"247",46,49,0,0,0
"248",46,41,6,2,3
"249",53,48,0,0,0
"250",50,37,7,3,6
"251",52,40,5,2,5
"252",52,46,1,0,0
"253",0,0,0,0,0
"254",44,49,6,5,5
"255",46,47,10,1,5
"256",52,43,0,0,0
"257",45,45,6,2,2
"258",45,51,0,0,0
"259",37,38,0,0,0
"260",43,41,0,0,0
"261",43,50,6,2,5
"262",46,43,10,3,4
"263",50,37,11,2,5
"264",50,40,5,3,7
"265",48,53,0,0,0
"266",46,49,0,0,0
"267",40,46,0,0,0
"268",42,48,6,2,1
"269",42,59,6,2,5
"270",61,47,8,1,2
"271",46,60,8,2,6
"272",49,42,0,0,0
"273",40,47,5,3,5
"274",45,56,0,0,0
"275",55,51,4,2,4
"276",54,50,7,2,4
"277",46,43,8,5,5
"278",50,47,0,0,0
"279",51,50,0,0,0
"280",43,50,8,2,4
"281",51,43,6,2,3
"282",56,47,6,3,2
"283",0,1,0,0,0
"284",0,0,0,0,0
"285",46,53,7,4,4
"286",0,1,0,0,0
"287",53,47,0,0,0
"288",41,48,1,0,0
"289",51,57,0,0,0
"290",41,40,0,0,0
"291",0,0,0,0,0
"292",48,44,6,2,3
"293",51,52,10,5,3
"294",56,48,6,1,3
"295",49,51,8,3,4
"296",53,40,9,2,7
"297",48,47,7,3,2
"298",44,48,0,0,0
"299",47,39,6,5,5
"300",0,0,0,0,0
"301",49,48,5,3,5
"302",0,0,0,0,0
"303",0,0,0,0,0
"304",0,0,0,0,0
"305",56,51,0,0,0
"306",45,52,9,2,4
"307",50,60,0,0,1
"308",49,45,2,1,3
"309",43,47,8,2,4
"310",52,49,5,2,3
"311",42,47,7,2,7
"312",44,49,9,2,2
"313",56,64,0,0,0
"314",49,50,4,3,7
"315",0,0,0,0,0
"316",50,44,4,1,4
"317",51,51,0,0,0
"318",52,54,6,4,4
"319",50,56,8,2,3
"320",55,43,0,0,0
"321",47,42,5,1,3
"322",39,47,6,3,3
"323",48,47,0,0,0
"324",45,51,7,4,2
"325",51,48,5,2,2
"326",50,48,9,1,5
"327",47,60,5,1,3
"328",55,58,0,0,0
"329",0,0,0,0,0
"330",46,60,5,3,3
"331",53,44,0,0,1
"332",51,48,6,2,6
"333",40,45,10,4,1
"334",55,47,8,2,5
"335",0,0,0,0,0
"336",59,60,8,2,4
"337",42,51,7,2,4
"338",51,54,0,0,0
"339",45,53,9,1,3
"340",48,47,9,2,3
"341",52,48,4,3,4
"342",39,56,4,2,3
"343",40,52,0,0,0
"344",46,50,7,3,3
"345",55,54,0,0,0
"346",45,51,6,3,3
"347",51,45,8,3,4
"348",42,43,0,0,0
"349",42,55,8,4,3
"350",41,50,6,2,3
"351",40,43,0,0,0
"352",47,44,6,1,3
"353",40,49,6,2,3
"354",35,51,7,4,4
"355",45,51,4,1,0
"356",44,46,8,3,4
"357",0,0,0,0,0
"358",42,53,5,3,5
"359",47,45,3,3,4
"360",43,53,8,3,3
"361",45,38,0,0,1
"362",0,1,0,0,0
"363",42,49,8,4,7
"364",50,47,5,2,4
"365",0,1,0,0,0
"366",43,54,7,3,6
"367",49,52,0,0,0
"368",49,49,7,2,4
"369",0,0,0,0,0
"370",43,41,5,3,2
"371",46,53,0,0,0
"372",41,45,11,3,3
"373",48,49,9,3,4
"374",47,47,0,0,1
"375",50,49,9,3,10
"376",0,0,0,0,0
"377",53,34,9,2,3
"378",52,50,8,4,3
"379",56,51,0,0,0
"380",42,46,4,3,5
"381",47,46,0,0,0
"382",0,0,0,0,0
"383",0,1,0,0,0
"384",47,43,5,2,4
"385",41,49,6,2,2
"386",42,60,9,1,5
"387",45,56,0,0,0
"388",1,0,0,0,0
"389",42,54,6,1,2
"390",48,48,6,5,3
"391",46,52,0,0,0
"392",39,45,6,4,3
"393",33,42,9,2,5
"394",0,0,0,0,0
"395",63,50,5,1,4
"396",54,50,0,0,0
"397",51,48,0,0,0
"398",58,42,7,4,3
"399",40,50,8,4,4
"400",47,49,0,0,0
"401",48,62,0,0,0
"402",43,47,6,2,5
"403",54,33,6,3,3
"404",47,44,5,3,3
"405",43,45,10,3,7
"406",43,31,0,0,0
"407",51,47,9,6,3
"408",55,40,0,0,0
"409",56,53,0,0,0
"410",0,0,0,0,0
"411",55,51,2,0,0
"412",55,47,8,2,2
"413",46,51,8,3,6
"414",62,46,9,2,3
"415",44,44,5,2,3
"416",44,57,7,2,6
"417",48,53,5,3,4
"418",46,46,4,4,2
"419",59,53,8,3,4
"420",50,47,6,3,2
"421",0,0,0,0,0
"422",39,53,6,2,3
"423",49,56,5,5,3
"424",53,47,10,6,4
"425",40,44,11,5,4
"426",53,57,0,0,0
"427",51,56,0,0,0
"428",45,49,0,0,0
"429",52,46,11,1,3
"430",43,49,4,1,4
"431",47,46,8,3,2
"432",0,0,0,0,0
"433",42,58,6,2,3
"434",38,57,5,4,4
"435",54,50,6,4,1
"436",68,42,6,4,3
"437",53,39,9,2,5
"438",54,50,7,2,3
"439",38,53,3,2,3
"440",41,40,0,0,1
"441",43,43,6,4,4
"442",0,1,0,0,0
"443",55,44,1,0,0
"444",52,60,10,3,3
"445",54,52,8,3,4
"446",51,49,0,0,0
"447",46,44,7,4,4
"448",46,51,7,3,7
"449",51,45,5,3,4
"450",48,53,0,0,0
"451",0,0,0,0,0
"452",44,46,6,2,4
"453",51,56,0,0,0
"454",47,48,0,0,0
"455",52,55,6,2,6
"456",39,39,4,2,4
"457",0,0,0,0,0
"458",39,58,9,2,2
"459",47,43,6,3,3
"460",53,39,8,3,6
"461",49,50,6,1,6
"462",48,46,0,0,0
"463",51,56,0,0,0
"464",0,0,0,0,0
"465",47,51,6,2,4
"466",45,43,0,0,0
"467",46,45,6,2,6
"468",42,54,7,4,3
"469",45,45,0,0,0
"470",42,46,6,1,3
"471",44,48,7,1,6
"472",46,51,9,2,4
"473",53,53,8,3,4
"474",47,43,6,2,3
"475",56,50,6,5,3
"476",42,44,10,2,3
"477",44,48,7,2,3
"478",53,49,6,1,3
"479",49,64,5,3,3
"480",48,44,9,3,3
"481",45,40,0,0,0
"482",45,47,7,3,4
