"","age1_orange.R","age2_no_comorbid_orange.R","age2_comorbid_green.R","age3_no_comorbid_green.R","age3_comorbid_green.R"
"1",91.2776412776413,83.651804670913,70.2875399361022,72.7272727272727,41.5549597855228
"2",0,0.106157112526539,0,0,0
"3",91.6461916461916,85.1380042462845,67.8913738019169,72.7272727272727,34.8525469168901
"4",91.5233415233415,86.8365180467091,64.6964856230032,70.4545454545455,25.4691689008043
"5",91.1547911547912,85.3503184713376,63.0990415335463,52.2727272727273,28.1501340482574
"6",90.5405405405405,86.0934182590234,0,0,0
"7",90.6633906633907,83.3333333333333,68.6900958466454,68.1818181818182,18.7667560321716
"8",0,0.106157112526539,0,0,0
"9",92.3832923832924,84.9256900212314,0.798722044728434,0,0
"10",92.7518427518427,83.7579617834395,72.6837060702875,61.3636363636364,33.5120643431635
"11",89.9262899262899,82.8025477707006,64.6964856230032,70.4545454545455,37.5335120643432
"12",94.2260442260442,84.0764331210191,64.6964856230032,63.6363636363636,29.4906166219839
"13",92.1375921375921,84.5010615711253,0,0,0
"14",92.014742014742,85.9872611464968,0,0,0
"15",90.04914004914,86.5180467091295,0,0,0
"16",92.014742014742,85.3503184713376,70.2875399361022,68.1818181818182,28.1501340482574
"17",91.5233415233415,85.4564755838641,0,0,0
"18",92.7518427518427,83.651804670913,0,0,0
"19",92.6289926289926,84.5010615711253,64.6964856230032,50,25.4691689008043
"20",91.8918918918919,85.4564755838641,0,0,0
"21",90.7862407862408,84.6072186836518,0,0,0
"22",91.8918918918919,85.1380042462845,0.798722044728434,0,0
"23",0,0.106157112526539,0,0,0
"24",91.1547911547912,83.2271762208068,0,0,0
"25",91.5233415233415,84.6072186836518,71.0862619808307,68.1818181818182,30.8310991957105
"26",91.2776412776413,84.8195329087049,0,0,1.34048257372654
"27",90.7862407862408,82.5902335456476,73.482428115016,63.6363636363636,36.1930294906166
"28",92.1375921375921,84.0764331210191,0,2.27272727272727,1.34048257372654
"29",0,0.106157112526539,0,0,0
"30",91.7690417690418,85.1380042462845,0,0,0
"31",92.014742014742,84.3949044585987,0,0,0
"32",90.7862407862408,86.0934182590234,0,2.27272727272727,0
"33",93.2432432432432,83.3333333333333,0,0,0
"34",0,0.106157112526539,0,0,0
