"","age1_orange.D","age2_no_comorbid_orange.D","age2_comorbid_green.D","age3_no_comorbid_green.D","age3_comorbid_green.D"
"242",53,69,41,5,34
"243",69,67,27,11,42
"244",52,58,29,7,39
"245",63,82,27,10,41
"246",57,67,36,4,43
"247",0,0,0,0,0
"248",59,67,31,7,32
"249",0,0,0,0,0
"250",66,75,24,7,34
"251",56,74,0,0,0
"252",52,86,0,0,0
"253",67,74,33,11,37
"254",61,83,0,0,0
"255",60,71,0,0,0
"256",55,77,26,9,31
"257",0,0,0,0,0
"258",63,80,0,0,0
"259",0,0,0,0,0
"260",61,81,0,0,0
"261",59,86,20,4,31
"262",52,81,0,0,1
"263",72,68,0,0,0
"264",44,60,0,0,0
"265",65,65,0,0,0
"266",63,67,25,12,34
"267",61,72,39,13,40
"268",57,70,31,11,38
"269",60,87,0,0,0
"270",57,76,35,12,34
"271",60,77,0,0,0
"272",51,68,0,0,0
"273",47,80,0,0,0
"274",63,66,26,10,32
"275",57,53,25,9,35
"276",53,62,0,0,1
"277",51,77,37,14,40
"278",51,67,0,0,0
"279",63,81,0,0,0
"280",62,89,36,8,43
"281",67,68,0,0,0
"282",72,83,0,0,0
"283",64,75,31,9,39
"284",0,0,0,0,0
"285",55,69,0,0,0
"286",46,75,0,0,0
"287",57,72,0,0,0
"288",56,80,0,0,0
"289",0,0,0,0,0
"290",57,71,37,7,33
"291",65,89,28,6,33
"292",0,0,0,0,0
"293",71,86,0,0,0
"294",66,79,30,9,44
"295",67,80,0,0,0
"296",62,70,28,13,39
"297",63,61,34,9,33
"298",67,92,0,0,0
"299",61,70,0,0,0
"300",55,74,0,0,0
"301",63,67,39,5,44
"302",52,63,28,12,41
"303",62,69,0,0,0
"304",53,62,0,0,0
"305",73,78,0,0,0
"306",0,0,0,0,0
"307",58,68,0,0,0
"308",53,59,0,0,0
"309",1,0,0,0,0
"310",55,78,1,0,0
"311",56,82,28,11,37
"312",66,73,0,0,0
"313",51,61,24,8,46
"314",0,0,0,0,0
"315",49,74,0,0,0
"316",58,65,0,0,0
"317",59,74,0,0,0
"318",51,71,0,0,0
"319",53,75,0,0,0
"320",68,69,34,4,41
"321",55,76,0,0,0
"322",46,67,35,8,30
"323",52,85,0,0,0
"324",54,94,0,0,0
"325",68,65,0,0,0
"326",0,0,0,0,0
"327",53,74,0,0,0
"328",51,73,0,0,0
"329",65,85,33,9,29
"330",54,87,25,10,34
"331",52,82,0,0,2
"332",43,69,0,0,0
"333",0,0,0,0,0
"334",49,69,33,8,40
"335",54,60,30,7,31
"336",60,78,0,0,0
"337",59,73,27,10,36
"338",0,0,0,0,0
"339",67,82,25,6,36
"340",52,83,30,7,37
"341",63,77,30,7,26
"342",66,68,33,8,33
"343",0,0,0,0,0
"344",55,68,0,0,0
"345",0,2,0,0,0
"346",52,72,33,9,33
"347",45,66,0,0,0
"348",45,74,0,0,0
"349",49,66,25,8,35
"350",57,73,28,13,29
"351",59,67,33,6,41
"352",0,0,0,0,0
"353",70,71,0,0,0
"354",70,84,0,0,0
"355",62,75,0,0,1
"356",59,80,31,8,38
"357",57,73,1,0,0
"358",0,0,0,0,0
"359",67,65,34,10,40
"360",57,68,0,0,0
"361",49,69,0,0,0
"362",0,0,0,0,0
"363",57,66,0,0,0
"364",61,78,0,0,0
"365",62,71,30,8,34
"366",60,75,0,0,0
"367",60,72,0,0,0
"368",0,0,0,0,0
"369",61,81,0,0,0
"370",59,59,23,10,27
"371",52,78,0,0,0
"372",0,0,0,0,0
"373",52,84,0,0,0
"374",53,84,0,0,0
"375",61,93,0,0,0
"376",65,83,0,0,0
"377",42,66,26,11,45
"378",71,87,24,8,23
"379",58,77,0,0,0
"380",49,75,0,0,0
