"","age1_orange.P","age2_no_comorbid_orange.P","age2_comorbid_green.P","age3_no_comorbid_green.P","age3_comorbid_green.P"
"1",35.7526624290518,36.1554205188107,0,0,0
"2",51.5848591008352,53.9368948151782,72.9239999599874,72.1478278256948,76.243431425037
"3",39.9377213398602,41.1222595511406,60.0966991791777,66.0619487669045,65.6358483136681
"4",31.7115532236225,32.9361033194652,56.0181803181162,66.0125397103082,66.2627193687029
"5",34.5501570864442,36.7311830485903,71.3694368786412,70.694844287884,74.6964472952656
"6",28.9161167044585,30.0155904591805,78.8944088425469,73.1961709902636,75.5935307031156
"7",0,0.318052770369893,0,0,0
"8",36.1459022399343,36.7781780265336,61.5386439551686,64.1798538449521,60.5439872060865
"9",33.9913628879318,33.9913628879318,89.4401696649945,96.9437766817197,91.1876676473088
"10",28.8588551243208,30.6319154402007,0,0,0
"11",0,1.23021424855732,0,0,0
"12",34.782791150711,34.782791150711,0,0,0
"13",27.1483165007209,26.8510387260494,49.9821815550698,35.3731044820993,62.738874250852
"14",28.9494608959397,28.9494608959397,51.4868567839745,47.1817140111573,46.4022832666696
"15",32.5237533532846,30.8199605088249,50.621927871252,71.0240903189895,48.8468985819331
"16",24.9071750851664,32.8610856663939,69.0000848821544,79.8809262187307,73.7750521708487
"17",0,1.81624493488809,0,0,0
"18",28.3354159732594,28.4935350941316,0,0,0
"19",0,1.64711368060634,0,0,0
"20",31.3326893546749,33.1088700033302,0,0,41.8505122309515
"21",27.9929132174389,28.7640765586965,60.8570304451727,51.1690346085434,55.1441148123711
"22",37.6871679635435,37.5433297099601,0,0,0
"23",35.484756995272,37.4929838507769,69.0982966152144,57.6560483576144,73.3672797248071
"24",31.9189697408203,34.8171232624558,102.079005124441,104.098636680338,97.5794055992229
"25",30.9302416739307,30.8064346389108,55.2346844122272,58.8658677617702,55.8682378293487
"26",27.5975136657202,29.730546923039,0,0,0
"27",23.2206714216865,24.9169708940609,60.2617854348197,60.5617273638223,63.34262595771
"28",27.4010064311613,29.2232569438514,47.3686738887791,54.392038112326,53.0119039023379
"29",30.9919237325806,33.1141397809428,94.8408520773843,94.3809970687097,96.8141807518335
"30",0,0.335211415730723,0,0,0
"31",24.8633904188418,29.9540013295226,65.6584633834192,66.0929692444151,74.5064217566141
"32",29.8734084597659,31.4719578350802,58.6976933103141,57.3824591181976,63.6500813680644
"33",39.7176221431583,43.797858088276,0,40.8156182552239,40.4232546266149
"34",0,0.788721118321702,0,0,0
"35",27.4388841638291,27.7062737449699,0,0,0
"36",0,0.188588518430372,0,0,0
"37",45.8665983747543,46.2767350922318,0,0,0
"38",39.5662372041375,41.1397643894672,56.6988018434023,56.7312897888885,55.5052044224161
"39",32.2568510580297,32.6643258991181,46.7806265044495,50.368646407397,53.5888505675907
"40",41.3135066810472,43.6250033854025,74.4247384895592,75.4726687140046,79.4170680057756
"41",28.8086774483006,32.1272301137422,69.2893651718502,70.6192043341785,67.80217013765
"42",32.4928064135927,36.8786307077448,0,0,0
"43",42.0935377655022,45.0142451527947,53.7514668999599,50.5656812864198,0
"44",32.7019776980737,32.1768355019553,83.5691483081305,74.3946166654508,72.9430289328305
"45",32.4102898629221,34.0719216793502,0,0,0
"46",31.3767656750685,34.227553013957,64.7050891642473,63.6321740147849,65.4333489225643
"47",0,3.36195981653596,0,0,0
"48",29.4352639132203,34.1368855915976,71.3501390772868,68.838689011112,59.8648589605335
"49",33.1755183822525,33.4351157492992,72.5986156565588,72.5361006640968,71.0652438252301
"50",28.2856172187052,28.2856172187052,0,0,0
"51",0,7.30532701925275,0,0,0
"52",4.47703085374016,0.877807423327064,0,0,0
"53",31.3012963219739,31.3012963219739,77.9636658596416,91.8649675791315,84.8287068322747
"54",30.7387525993745,30.5926958831497,0,0,0
"55",43.3680852964528,43.8923112475778,68.1490160187602,66.7666698707577,69.8639952212641
"56",35.2276003889258,42.9850166430483,0,0,0
"57",40.3079133142969,40.5037797795383,77.2755510102091,73.9176486984716,71.2647394574805
"58",26.6295840713114,32.5453932835364,51.1530917107756,55.4701308894003,48.7317515701211
"59",27.3806349478193,27.8424950310233,0,0,0
"60",35.1504645745226,37.1831829077284,0,0,41.6088231265931
"61",35.5188028836135,35.5188028836135,0,0,50.2077481439071
"62",22.9053137896646,27.2823367200265,0,0,0
"63",28.2116308077228,28.1055601358219,48.9930727885963,51.1503314235492,44.3623054457326
"64",0,0.668074588365366,0,0,0
"65",31.1237901656919,37.8466010078658,83.5526117258392,57.8976838521401,70.896616680097
"66",31.807659321689,32.5733127370104,83.7069653356363,79.7796234205928,80.3179560321477
"67",49.0513719954532,50.7370876315789,67.1366970671455,69.9075995956889,69.9412744989224
"68",23.1444343774002,23.7304070778902,56.0631451859243,65.7750163286189,52.9596392975501
"69",28.2800882461864,28.2800882461864,0,0,0
"70",46.5404070600005,49.8268103171172,67.6428003326516,63.7726534464681,68.5329597904485
"71",29.8235403260729,36.5537144229667,0,0,0
"72",0,0.849142123848771,0,0,0
"73",24.1549624106261,27.1380324128297,34.5476838520451,0,0
"74",0,0.742463676420011,0,0,0
"75",29.1628543500029,32.9562162648457,53.3141836946554,54.6590673271864,46.4359697185573
"76",25.2984010052103,25.2984010052103,73.460243444302,60.3414666817334,87.6166902511169
"77",30.5210240745509,32.120851742473,65.042496918536,70.5562588607051,69.1737216933405
"78",28.8569748091296,37.6310051059845,77.5127894844815,92.5910313529435,75.633819786136
"79",25.3338547328721,26.7578475011412,53.5840421724864,56.2840019473086,46.8769969349588
"80",24.017382318868,24.017382318868,49.9056266518442,51.0537740880403,55.8573301565273
"81",32.6759596681073,32.9606410676068,53.6975920335943,62.9150540943863,52.3852990001922
"82",25.3556007768709,25.1614389184456,68.7114630651106,71.4642968128277,62.8002156488903
"83",38.8018291688522,41.2733461905577,0,0,0
"84",32.4470440985856,37.8131083212516,0,0,0
"85",27.5007589939665,26.0815008477396,51.5935983425663,54.5526506463141,46.5915347978521
"86",33.7266950220025,34.6039450660479,0,0,38.2887783356319
"87",29.9413884665588,29.9413884665588,0,0,0
"88",33.8260672761744,33.8260672761744,66.1284000573171,58.0339992359847,66.2793063132869
"89",35.1973061916399,39.9180311750291,0,0,0
"90",31.2911557142958,35.0758169000814,0,0,0
"91",42.9015031361272,46.4739643775404,0,0,0
"92",38.0436728452393,38.2864600865088,0,0,0
"93",27.2290718320351,31.7757806631376,65.003356362072,70.391863099525,64.3007378159314
"94",32.2737743142146,34.8612540077932,72.5397861258717,77.2434935722142,84.5343101566265
"95",25.630623624609,29.9529590374054,56.738987854369,66.6182564808452,56.733553505699
"96",43.5993297718702,43.407412148374,57.544245091705,63.9568511758319,61.558085881777
"97",42.4161872807027,41.9140115410976,85.9436021747546,87.7145309702218,90.5259298432525
"98",30.4978603869666,27.6291723864384,64.5219406725286,71.7495041099358,61.2684442104974
"99",0,3.52873455897002,0,0,0
"100",37.3667537608527,39.4139123992295,56.4447243162372,56.4968561929531,60.9382756984137
"101",37.7151242111387,39.6602600098898,0,0,0
"102",31.2844472950773,31.6575107817605,72.1471886108828,78.3357774569278,78.041842185982
"103",24.6884137332746,24.9831343741109,46.3625737659012,53.8673009902881,49.6400285309428
"104",5.25047180655256,0.668350520033672,0,0,0
"105",27.1086889125628,34.3498541360562,60.4828369261794,57.9840280050675,58.0792632443853
"106",28.2868206859988,31.7567554158284,95.51373352249,105.220215841139,100.425244087138
"107",27.5970885552628,30.1368909059369,0,0,0
"108",26.400654778179,32.132022073385,50.33298625256,62.1697806539631,64.0295904607086
