"","age1.P","age2_no_comorbid.P","age2_comorbid.P","age3_no_comorbid.P","age3_comorbid.P"
"1",94,97,97,99,99
"2",39,3,40,41,41
"3",172,176,176,178,178
"4",195,199,199,202,202
"5",69,72,72,73,73
"6",212,216,216,217,217
"7",157,160,160,162,162
"8",200,204,204,205,205
"9",18,4,18,18,18
"10",86,89,89,90,90
"11",252,257,257,259,259
"12",83,86,86,88,88
"13",325,4,329,331,331
"14",8,3,8,8,8
"15",197,200,200,202,202
"16",148,152,152,154,154
"17",270,275,275,277,277
"18",205,209,209,211,211
"19",100,102,102,104,104
"20",87,90,90,92,92
"21",185,188,188,190,190
"22",349,3,353,356,356
"23",252,255,255,257,257
"24",21,4,21,21,21
"25",26,3,26,26,26
"26",13,4,13,13,13
"27",71,74,74,75,75
"28",366,4,366,366,366
"29",217,222,222,224,224
"30",239,4,243,245,245
"31",100,103,103,105,105
"32",18,3,18,18,18
"33",52,54,54,55,55
"34",140,143,143,145,145
"35",19,3,19,19,19
"36",19,4,19,19,19
"37",11,3,11,11,11
"38",240,243,243,245,245
"39",14,2,14,14,14
"40",95,98,98,100,100
"41",156,160,160,163,163
"42",12,3,12,12,12
"43",143,146,146,147,147
"44",290,4,294,296,296
"45",92,94,94,96,96
"46",67,70,70,72,72
"47",232,236,236,238,238
"48",267,4,271,274,274
"49",321,5,325,328,328
"50",19,2,19,19,19
"51",188,191,191,193,193
"52",151,155,155,158,158
"53",100,104,104,106,106
"54",16,4,16,16,16
"55",179,183,183,184,184
"56",309,313,313,315,315
"57",236,240,240,242,242
"58",64,66,66,67,67
"59",211,216,216,218,218
"60",12,3,12,12,12
"61",18,4,18,18,18
"62",121,124,124,126,126
"63",234,238,238,240,240
"64",163,167,167,169,169
"65",18,4,18,18,18
"66",231,234,234,236,236
"67",85,88,88,90,90
"68",90,93,93,95,95
"69",94,97,97,99,99
"70",273,277,277,279,279
"71",208,212,212,213,213
"72",160,4,165,167,167
"73",317,321,321,323,323
"74",131,133,133,135,135
"75",16,3,16,16,16
"76",184,188,188,191,191
"77",84,86,86,88,88
"78",169,173,173,175,175
"79",13,3,13,13,13
"80",90,93,93,95,95
"81",92,95,95,97,97
"82",74,77,77,78,78
"83",225,229,229,231,231
"84",97,100,100,102,102
