"","age1.IR","age2_no_comorbid.IR","age2_comorbid.IR","age3_no_comorbid.IR","age3_comorbid.IR"
"1",179,187,25,13,9
"2",192,194,21,8,6
"3",0,1,0,0,0
"4",2,2,0,0,0
"5",0,1,0,0,0
"6",199,180,22,7,7
"7",0,1,0,0,0
"8",204,177,18,9,7
"9",203,213,24,8,8
"10",0,0,0,0,0
"11",0,0,0,0,0
"12",0,1,0,0,0
"13",216,197,21,11,8
"14",1,2,0,0,0
"15",0,1,0,0,0
"16",183,204,24,14,6
"17",0,1,0,0,0
"18",182,186,18,10,4
"19",0,1,0,0,0
"20",191,195,18,7,5
"21",202,197,17,8,6
"22",202,194,23,7,8
"23",214,198,26,8,8
"24",0,1,0,0,0
"25",0,1,0,0,0
"26",166,204,23,11,4
"27",0,1,0,0,0
"28",185,196,26,6,8
"29",204,210,26,7,6
"30",185,195,19,10,7
"31",239,191,25,10,6
"32",194,208,24,10,5
"33",207,194,19,11,6
"34",0,1,0,0,0
"35",0,1,1,0,0
"36",0,1,0,0,0
"37",0,1,0,0,0
"38",221,222,18,10,9
"39",0,1,0,0,0
"40",0,1,0,0,0
"41",205,196,36,8,7
"42",0,1,0,0,0
"43",210,188,18,7,5
"44",185,176,21,7,4
"45",0,1,0,0,0
"46",0,1,0,0,0
"47",0,1,0,0,0
"48",181,186,19,8,7
"49",0,1,0,0,0
"50",197,194,25,8,11
