"","age1.IH","age2_no_comorbid.IH","age2_comorbid.IH","age3_no_comorbid.IH","age3_comorbid.IH"
"1",1.71990171990172,1.27388535031847,6.38977635782748,6.81818181818182,12.0643431635389
"2",1.71990171990172,1.80467091295117,4.79233226837061,6.81818181818182,9.38337801608579
"3",0,0,0,0,0
"4",0,0,0,0,0
"5",0,0,0,0,0
"6",1.47420147420147,1.69851380042463,4.79233226837061,6.81818181818182,12.0643431635389
"7",0,0,0,0,0
"8",1.84275184275184,2.33545647558386,7.18849840255591,6.81818181818182,9.38337801608579
"9",2.08845208845209,1.59235668789809,7.18849840255591,9.09090909090909,10.7238605898123
"10",0,0,0,0,0
"11",0,0,0,0,0
"12",0,0,0,0,0
"13",2.33415233415233,1.59235668789809,3.19488817891374,4.54545454545455,16.0857908847185
"14",0,0,0,0,0
"15",0,0,0,0,0
"16",1.96560196560197,2.01698513800425,7.18849840255591,4.54545454545455,10.7238605898123
"17",0,0,0,0,0
"18",1.71990171990172,1.91082802547771,8.78594249201278,2.27272727272727,9.38337801608579
"19",0,0,0,0,0
"20",2.7027027027027,2.76008492569002,5.59105431309904,2.27272727272727,12.0643431635389
"21",1.5970515970516,2.33545647558386,3.99361022364217,6.81818181818182,9.38337801608579
"22",1.5970515970516,2.12314225053079,3.99361022364217,11.3636363636364,8.04289544235925
"23",2.08845208845209,1.69851380042463,6.38977635782748,2.27272727272727,9.38337801608579
"24",0,0,0,0,0
"25",0,0,0,0,0
"26",2.21130221130221,1.69851380042463,4.79233226837061,9.09090909090909,8.04289544235925
"27",0,0,0,0,0
"28",2.08845208845209,1.69851380042463,5.59105431309904,9.09090909090909,9.38337801608579
"29",2.94840294840295,1.59235668789809,4.79233226837061,4.54545454545455,12.0643431635389
"30",1.5970515970516,1.59235668789809,3.19488817891374,9.09090909090909,17.426273458445
"31",1.5970515970516,1.69851380042463,3.99361022364217,4.54545454545455,8.04289544235925
"32",1.71990171990172,1.69851380042463,6.38977635782748,6.81818181818182,16.0857908847185
"33",1.47420147420147,1.16772823779193,5.59105431309904,9.09090909090909,16.0857908847185
"34",0,0,0,0,0
"35",0,0,0,0,0
"36",0,0,0,0,0
"37",0,0,0,0,0
"38",1.71990171990172,2.01698513800425,10.3833865814696,6.81818181818182,12.0643431635389
"39",0,0,0,0,0
"40",0,0,0,0,0
"41",1.5970515970516,1.38004246284501,3.99361022364217,2.27272727272727,9.38337801608579
"42",0,0,0,0,0
"43",1.96560196560197,1.59235668789809,6.38977635782748,9.09090909090909,9.38337801608579
"44",1.10565110565111,1.38004246284501,4.79233226837061,6.81818181818182,10.7238605898123
"45",0,0,0,0,0
"46",0,0,0,0,0
"47",0,0,0,0,0
"48",1.22850122850123,1.38004246284501,4.79233226837061,9.09090909090909,9.38337801608579
"49",0,0,0,0,0
"50",1.22850122850123,1.91082802547771,3.99361022364217,6.81818181818182,14.745308310992
