"","age1.IH","age2_no_comorbid.IH","age2_comorbid.IH","age3_no_comorbid.IH","age3_comorbid.IH"
"1",14,12,8,3,9
"2",14,17,6,3,7
"3",0,0,0,0,0
"4",0,0,0,0,0
"5",0,0,0,0,0
"6",12,16,6,3,9
"7",0,0,0,0,0
"8",15,22,9,3,7
"9",17,15,9,4,8
"10",0,0,0,0,0
"11",0,0,0,0,0
"12",0,0,0,0,0
"13",19,15,4,2,12
"14",0,0,0,0,0
"15",0,0,0,0,0
"16",16,19,9,2,8
"17",0,0,0,0,0
"18",14,18,11,1,7
"19",0,0,0,0,0
"20",22,26,7,1,9
"21",13,22,5,3,7
"22",13,20,5,5,6
"23",17,16,8,1,7
"24",0,0,0,0,0
"25",0,0,0,0,0
"26",18,16,6,4,6
"27",0,0,0,0,0
"28",17,16,7,4,7
"29",24,15,6,2,9
"30",13,15,4,4,13
"31",13,16,5,2,6
"32",14,16,8,3,12
"33",12,11,7,4,12
"34",0,0,0,0,0
"35",0,0,0,0,0
"36",0,0,0,0,0
"37",0,0,0,0,0
"38",14,19,13,3,9
"39",0,0,0,0,0
"40",0,0,0,0,0
"41",13,13,5,1,7
"42",0,0,0,0,0
"43",16,15,8,4,7
"44",9,13,6,3,8
"45",0,0,0,0,0
"46",0,0,0,0,0
"47",0,0,0,0,0
"48",10,13,6,4,7
"49",0,0,0,0,0
"50",10,18,5,3,11
