"","age1.IR","age2_no_comorbid.IR","age2_comorbid.IR","age3_no_comorbid.IR","age3_comorbid.IR"
"1",50.4298447950676,57.8319817175487,52.1617895980315,56.5858087344825,54.6632905975367
"2",43.9458019299236,47.6563284083259,49.0254579589786,44.4672993085542,43.7154873766341
"3",0,2.88267358638979,0,0,0
"4",9.3547092156552,8.24623463394052,0,0,0
"5",0,3.0820495584559,0,0,0
"6",36.6824294191926,38.6300595381311,40.3967633128304,41.6422431213738,34.5068622210968
"7",0,2.34925498909438,0,0,0
"8",46.0557215492359,52.4504950756964,55.324587965615,50.9749671887597,54.0753161758485
"9",34.5309759403577,40.2111927119289,37.6493354231647,37.7486530857054,42.9276296732839
"10",0,0,0,0,0
"11",0,0,0,0,0
"12",0,1.15951775485878,0,0,0
"13",43.5837581661655,46.5857347831229,48.5336006734142,47.6108368102075,45.3062957266561
"14",5.22339890059752,2.16262855881197,0,0,0
"15",0,0.837535146125407,0,0,0
"16",63.3773802554877,63.5149298402753,66.803032200906,65.4339426439768,59.0703579497752
"17",0,3.55027608063125,0,0,0
"18",60.3681500303293,64.6221775011797,52.9497818388735,63.3745921186898,59.918070578216
"19",0,1.43295376071523,0,0,0
"20",46.7765106936584,48.5841738956652,49.0863615961744,45.5412461543278,56.1709313916246
"21",33.8869333990579,36.6184779280455,37.5860364775709,39.8774706287913,48.3681108851952
"22",43.5413167657471,43.7397587019462,46.3534844106452,34.7556819701393,43.3011331205398
"23",43.4808368738602,44.092972908305,46.326393409449,52.4232975952746,48.1033818174859
"24",0,0.76897831437581,0,0,0
"25",0,3.03356321313323,0,0,0
"26",62.7635722254504,65.927546346865,66.8940682387126,68.8894255978197,58.8007709775899
"27",0,0.658079493347126,0,0,0
"28",36.837826646693,39.5101555443605,37.4824405309777,41.1825043906849,39.6376262784901
"29",37.1990174081343,41.9860108547542,41.5039524621953,39.9478077548029,38.438732199872
"30",52.3542109633216,52.8519169373902,48.4699516358308,48.2202550111578,56.9548672348186
"31",46.4385688322016,49.0055885688266,47.2642283713561,45.1924531616063,52.9753270029582
"32",45.2121790330624,46.6466951997406,50.7251730246705,43.8080781287221,40.0140342422702
"33",52.4145436862147,58.3162276366605,54.4946541281735,61.6631081005643,53.2332062654523
"34",0,1.8549601985334,0,0,0
"35",0,4.75183677505842,10.0540362920381,0,0
"36",0,1.13165952096107,0,0,0
"37",0,0.418812171244733,0,0,0
"38",39.220443216107,41.7310654264223,35.9827208775613,38.102774354106,35.9827208775613
"39",0,3.78611076012224,0,0,0
"40",0,1.39799531601215,0,0,0
"41",52.3289737169763,52.6373404095058,58.7369693512746,55.7703146931015,55.8005080613409
"42",0,0.215502516407871,0,0,0
"43",65.8619209155573,68.5135299976953,67.531419852182,71.8591512235098,64.6604226523839
"44",45.8876991720184,46.7766153648776,49.9923859280496,47.023297539876,45.1271813807997
"45",0,3.55580133201206,0,0,0
"46",0,3.84570615439812,0,0,0
"47",0,0.622473089166706,0,0,0
"48",43.3441078283636,49.3055081932676,40.4488238561145,41.5296806498193,43.4409663985037
"49",0,1.68533901981787,0,0,0
"50",44.0701431438741,47.6300388357127,45.5098035561228,44.8283704509707,45.4420140846573
