"","age1.A","age2_no_comorbid.A","age2_comorbid.A","age3_no_comorbid.A","age3_comorbid.A"
"1",48,58,5,4,6
"2",45,45,6,3,3
"3",0,0,0,0,0
"4",0,1,0,0,0
"5",0,0,0,0,0
"6",47,42,5,6,4
"7",0,0,0,0,0
"8",38,41,8,2,4
"9",47,48,6,2,4
"10",0,1,0,0,0
"11",0,0,0,0,0
"12",0,0,0,0,0
"13",36,40,9,4,4
"14",0,1,0,0,0
"15",0,0,0,0,0
"16",45,34,5,5,6
"17",0,0,0,0,0
"18",51,36,4,3,3
"19",0,0,0,0,0
"20",43,41,5,5,5
"21",39,41,7,3,8
"22",61,39,9,3,7
"23",41,44,10,4,5
"24",0,0,0,0,0
"25",0,0,0,0,0
"26",46,33,11,2,9
"27",0,0,0,0,0
"28",56,38,6,4,3
"29",45,45,9,4,3
"30",51,41,8,1,4
"31",49,40,7,4,6
"32",54,43,7,4,3
"33",32,44,8,4,6
"34",0,0,0,0,0
"35",0,0,0,0,0
"36",0,0,0,0,0
"37",0,0,0,0,0
"38",37,51,6,4,4
"39",0,0,0,0,0
"40",0,0,0,0,0
"41",42,46,7,2,7
"42",0,0,0,0,0
"43",41,50,7,4,8
"44",45,48,9,5,4
"45",0,0,0,0,0
"46",0,0,0,0,0
"47",0,0,0,0,0
"48",39,49,10,2,3
"49",0,0,0,0,0
"50",36,41,7,4,3
