"","age1.ID","age2_no_comorbid.ID","age2_comorbid.ID","age3_no_comorbid.ID","age3_comorbid.ID"
"1",50.4136777645625,47.3047148470753,55.972439190016,55.979195416645,59.524705571337
"2",41.364127649644,48.3761044110218,31.548855381393,48.9002295428413,48.2710286044376
"3",0,0,0,0,0
"4",0,0,0,0,0
"5",0,0,0,0,0
"6",32.8534866652229,39.703078673395,40.0296230919767,34.6131504947948,41.3592424941595
"7",0,0,0,0,0
"8",46.9579124921534,32.9556056860995,44.7805032725015,40.4784365714615,43.6732616659725
"9",16.3279185584912,41.0446739108049,26.0943478135188,34.1904889500827,36.2675183658022
"10",0,0,0,0,0
"11",0,3.13659323218249,0,0,0
"12",0,0,0,0,0
"13",36.1675988647768,45.3050170995186,31.1792754662534,0,50.160236202223
"14",0,0,0,0,0
"15",0,0,0,0,0
"16",23.3191781433575,59.5024432348411,68.663457768281,56.8787730983321,67.1101944744233
"17",0,0,0,0,0
"18",53.9054098690666,54.4590598159337,57.9693450255696,43.7275014880458,63.3328451868438
"19",0,0,0,0,0
"20",39.2489226142951,42.9853657145782,49.3014511397965,39.247357744509,50.4168399209749
"21",30.7309975446901,35.3538750894825,36.7306769596578,46.6486607013178,40.122270571118
"22",45.246840526103,47.5989611709411,48.0614450601977,35.5314660547975,45.3868784622708
"23",41.5914225479089,51.239114715688,40.7628303603578,37.3288281717853,45.4772788497162
"24",0,0,0,0,0
"25",0,0,0,0,0
"26",57.6090295103938,60.8356201640609,47.3392890503427,43.7760480974655,57.0303625373441
"27",0,0,0,0,0
"28",33.9384634174826,34.9858711520702,36.5601392309854,44.9570341854304,36.8713112374401
"29",32.0069074327692,41.3403201575704,34.6062683429466,0,42.8623759240859
"30",50.6785163317031,52.2904723167014,57.7621831710875,51.5159398155256,54.9656324129805
"31",41.2845641928324,45.8069017365026,46.0225377075532,50.1119977279408,46.3079503393787
"32",40.8906638583593,48.3818411041475,37.412793480991,0,47.5315275852904
"33",48.3168645591574,52.3825070331142,44.1853551108224,43.2106917761862,55.9633372745552
"34",0,0,0,0,0
"35",0,0,0,0,0
"36",0,0,0,0,0
"37",0,0,0,0,0
"38",33.3915728870659,40.0770379494479,40.2901858617271,25.1722774613377,39.9804846568381
"39",0,0,0,0,0
"40",0,0,0,0,0
"41",54.3880572526048,48.6714255544847,55.4046586866389,63.2645966094916,55.2066804942215
"42",0,0,0,0,0
"43",71.5209426350527,65.1481437028273,67.531419852182,69.7252277227069,77.1943868097984
"44",35.7836704764479,45.2934460550134,47.6917347902103,50.7006602866255,44.0258577313653
"45",0,0,0,0,0
"46",0,0,0,0,0
"47",0,0,0,0,0
"48",39.317098426581,45.929907951986,30.6871932224164,39.9044506039701,51.2239997508696
"49",0,0,0,0,0
"50",44.741692601491,49.31435360062,46.409645738392,0,49.075226610894
