"","age1.ID","age2_no_comorbid.ID","age2_comorbid.ID","age3_no_comorbid.ID","age3_comorbid.ID"
"1",0.245700245700246,0.530785562632696,3.19488817891374,4.54545454545455,6.70241286863271
"2",0.245700245700246,0.743099787685775,2.3961661341853,2.27272727272727,6.70241286863271
"3",0,0,0,0,0
"4",0,0,0,0,0
"5",0,0,0,0,0
"6",0.245700245700246,0.849256900212314,5.59105431309904,2.27272727272727,5.36193029490617
"7",0,0,0,0,0
"8",0.245700245700246,0.424628450106157,1.59744408945687,2.27272727272727,5.36193029490617
"9",0.122850122850123,0.743099787685775,1.59744408945687,4.54545454545455,5.36193029490617
"10",0,0,0,0,0
"11",0,0.106157112526539,0,0,0
"12",0,0,0,0,0
"13",0.122850122850123,0.530785562632696,2.3961661341853,0,5.36193029490617
"14",0,0,0,0,0
"15",0,0,0,0,0
"16",0.122850122850123,0.636942675159236,2.3961661341853,2.27272727272727,4.02144772117963
"17",0,0,0,0,0
"18",0.491400491400491,1.06157112526539,3.99361022364217,2.27272727272727,5.36193029490617
"19",0,0,0,0,0
"20",0.491400491400491,0.849256900212314,3.19488817891374,2.27272727272727,9.38337801608579
"21",0.368550368550369,0.849256900212314,3.99361022364217,4.54545454545455,8.04289544235925
"22",0.737100737100737,0.849256900212314,3.99361022364217,2.27272727272727,8.04289544235925
"23",0.491400491400491,0.743099787685775,3.99361022364217,2.27272727272727,9.38337801608579
"24",0,0,0,0,0
"25",0,0,0,0,0
"26",0.368550368550369,0.530785562632696,1.59744408945687,2.27272727272727,5.36193029490617
"27",0,0,0,0,0
"28",0.245700245700246,0.636942675159236,3.99361022364217,2.27272727272727,9.38337801608579
"29",0.122850122850123,0.743099787685775,2.3961661341853,0,9.38337801608579
"30",0.614250614250614,0.636942675159236,3.99361022364217,2.27272727272727,10.7238605898123
"31",0.245700245700246,1.06157112526539,4.79233226837061,6.81818181818182,8.04289544235925
"32",0.245700245700246,0.743099787685775,1.59744408945687,0,9.38337801608579
"33",0.491400491400491,0.743099787685775,2.3961661341853,2.27272727272727,6.70241286863271
"34",0,0,0,0,0
"35",0,0,0,0,0
"36",0,0,0,0,0
"37",0,0,0,0,0
"38",0.491400491400491,1.06157112526539,6.38977635782748,2.27272727272727,6.70241286863271
"39",0,0,0,0,0
"40",0,0,0,0,0
"41",0.368550368550369,0.424628450106157,3.99361022364217,6.81818181818182,4.02144772117963
"42",0,0,0,0,0
"43",0.368550368550369,0.849256900212314,2.3961661341853,9.09090909090909,9.38337801608579
"44",0.122850122850123,0.424628450106157,4.79233226837061,6.81818181818182,6.70241286863271
"45",0,0,0,0,0
"46",0,0,0,0,0
"47",0,0,0,0,0
"48",0.368550368550369,0.849256900212314,3.99361022364217,2.27272727272727,6.70241286863271
"49",0,0,0,0,0
"50",0.245700245700246,0.743099787685775,3.19488817891374,0,4.02144772117963
