"","age1_orange.P","age1_green.P","age2_no_comorbid_orange.P","age2_no_comorbid_green.P","age2_comorbid_green.P","age3_no_comorbid_green.P","age3_comorbid_green.P"
"899",40,0,33,0,0,0,0
"900",38,2,35,3,5,1,2
"901",1,0,1,0,0,0,0
"902",39,0,28,0,0,0,0
"903",0,0,1,0,0,0,0
"904",0,0,1,0,0,0,0
"905",0,0,1,0,0,0,0
"906",0,0,1,0,0,0,0
"907",39,1,28,0,0,1,0
"908",0,0,1,0,0,0,0
"909",2,0,1,0,0,0,0
"910",0,0,1,0,0,0,0
"911",0,0,1,0,0,0,0
"912",0,0,1,0,0,0,0
"913",0,0,1,0,0,0,0
"914",39,0,39,0,1,0,0
"915",36,0,37,0,0,0,0
"916",0,0,1,0,0,0,0
"917",36,0,31,0,0,0,0
"918",1,0,1,0,0,0,0
"919",43,0,31,0,0,0,0
"920",34,3,26,4,3,1,4
"921",1,0,1,0,0,0,0
"922",27,3,27,3,4,2,3
"923",38,0,27,0,0,0,0
"924",28,0,30,0,0,0,0
"925",35,0,36,0,0,0,0
"926",1,0,1,0,0,0,0
"927",38,2,35,4,3,1,2
"928",0,0,1,0,0,0,0
"929",33,0,29,0,0,0,0
"930",0,0,1,0,0,0,0
"931",39,0,35,0,0,0,0
"932",0,0,1,0,0,0,0
"933",0,0,1,0,0,0,0
"934",0,0,1,0,0,0,0
"935",1,0,1,0,0,0,0
"936",29,0,26,0,0,0,0
"937",28,1,23,1,1,1,1
"938",0,0,1,0,0,0,0
"939",30,2,30,2,2,1,2
"940",0,0,1,0,0,0,0
"941",1,0,1,0,0,0,0
"942",0,0,1,0,0,0,0
"943",0,0,1,0,0,0,0
"944",45,0,30,0,1,0,0
"945",40,0,28,0,0,0,0
"946",0,0,1,0,0,0,0
"947",1,0,1,0,0,0,0
"948",41,0,30,0,0,0,1
"949",0,0,1,0,0,0,0
"950",35,0,32,0,0,0,1
"951",1,0,1,0,0,0,0
"952",42,0,34,0,0,0,0
"953",35,2,35,3,3,2,2
"954",40,0,33,0,0,0,0
"955",0,0,1,0,0,0,0
"956",0,0,1,0,0,0,0
"957",0,0,1,0,0,0,0
"958",0,0,1,0,0,0,0
"959",36,0,36,0,0,0,0
"960",0,0,1,0,0,0,0
"961",41,0,29,0,0,0,0
"962",1,0,3,0,0,0,0
"963",3,0,1,0,0,0,0
"964",0,0,1,0,0,0,0
"965",0,0,1,0,0,0,0
"966",30,0,25,0,1,0,1
"967",3,0,2,0,0,0,0
"968",40,4,36,5,4,2,3
"969",1,0,1,0,0,0,0
"970",0,0,1,0,0,0,0
"971",40,1,37,0,0,0,0
"972",32,3,23,5,5,2,4
"973",27,0,26,0,0,0,0
"974",0,0,1,0,0,0,0
"975",1,0,1,0,0,0,0
"976",0,0,1,0,0,0,0
"977",0,0,1,0,0,0,0
"978",0,0,1,0,0,0,0
"979",0,0,1,0,0,0,0
"980",0,0,1,0,0,0,0
"981",0,0,1,0,0,0,0
"982",1,0,1,0,0,0,0
"983",1,0,1,0,0,0,0
"984",0,0,1,0,0,0,0
"985",43,0,30,0,0,0,0
"986",1,0,1,0,0,0,0
"987",35,1,29,1,0,0,0
"988",39,0,32,1,0,0,0
"989",42,4,27,6,5,3,1
"990",29,0,33,0,0,0,0
"991",31,0,23,1,1,0,0
"992",0,0,1,0,0,0,0
"993",1,0,1,0,0,0,0
"994",39,0,31,0,0,0,0
"995",27,3,24,3,3,2,2
"996",0,0,1,0,0,0,0
"997",0,0,1,0,0,0,0
"998",0,0,1,0,0,0,0
"999",0,0,1,0,0,0,0
