"","age1_orange.O","age1_green.O","age2_no_comorbid_orange.O","age2_no_comorbid_green.O","age2_comorbid_green.O","age3_no_comorbid_green.O","age3_comorbid_green.O"
"184",84,0,59,0,0,0,0
"185",2,0,1,0,0,0,0
"186",78,4,56,2,2,1,2
"187",71,6,65,4,4,3,3
"188",62,5,64,5,5,3,1
"189",0,0,0,0,0,0,0
"190",1,0,1,0,0,0,0
"191",60,1,46,0,0,0,0
"192",60,6,63,5,4,4,2
"193",58,0,59,0,0,0,0
"194",0,0,1,0,0,0,0
"195",52,0,64,0,0,0,1
"196",3,0,2,0,0,0,0
"197",60,1,51,0,0,0,0
"198",50,0,40,2,1,0,0
"199",66,0,53,0,0,0,0
"200",51,1,46,0,1,0,0
"201",1,0,2,0,0,0,0
"202",1,0,1,0,0,0,0
"203",0,0,1,0,0,0,0
"204",3,0,1,0,0,0,0
"205",0,0,0,0,0,0,0
"206",55,0,46,0,0,0,0
"207",0,0,0,0,0,0,0
"208",56,0,49,1,1,0,1
"209",51,1,58,0,0,0,0
"210",0,0,1,0,0,0,0
"211",54,0,52,0,0,0,0
"212",49,0,48,0,0,0,0
"213",0,0,0,0,0,0,0
"214",1,0,1,0,0,0,0
"215",81,0,61,0,0,0,0
"216",1,0,1,0,0,0,0
"217",0,0,1,0,0,0,0
"218",3,0,2,0,0,0,0
"219",67,0,50,0,0,0,0
"220",0,0,1,0,0,0,0
"221",55,0,57,0,0,0,0
"222",56,2,52,1,1,1,2
"223",41,0,44,0,0,0,1
"224",0,0,2,0,0,0,0
"225",0,0,0,0,0,0,0
"226",62,0,58,0,0,0,0
"227",74,0,56,0,0,0,0
"228",0,0,1,0,0,0,0
"229",67,4,58,3,5,2,3
"230",0,0,1,0,0,0,0
"231",54,0,48,0,0,0,0
"232",56,0,46,1,2,0,0
"233",60,0,49,0,0,0,0
"234",0,0,1,0,0,0,0
"235",0,0,1,0,0,0,0
"236",60,0,48,0,0,0,0
"237",0,0,1,0,0,0,0
"238",54,0,47,0,0,0,0
"239",57,0,56,0,0,0,0
"240",1,0,1,0,0,0,0
"241",71,2,66,3,3,1,1
"242",76,0,57,0,1,0,0
"243",63,0,53,0,0,0,0
"244",58,0,49,0,0,0,0
"245",70,0,60,0,1,0,0
"246",72,7,60,5,5,3,4
"247",0,0,2,0,0,0,0
"248",64,4,66,4,4,2,2
"249",0,0,1,0,0,0,0
"250",0,0,1,0,0,0,0
"251",2,0,1,0,0,0,0
"252",70,6,62,7,7,3,3
"253",0,0,1,0,0,0,0
"254",53,0,44,0,0,0,0
"255",0,0,1,0,0,0,0
"256",74,0,46,0,0,0,0
"257",66,0,53,0,0,0,0
"258",80,7,47,5,8,2,3
"259",0,0,1,0,0,0,0
"260",70,0,60,0,0,0,0
"261",64,1,55,2,0,0,1
"262",0,0,0,0,0,0,0
"263",0,0,1,0,0,0,0
"264",70,0,56,0,0,0,0
"265",54,1,51,0,1,1,0
"266",64,0,57,1,0,0,0
"267",68,0,52,0,0,0,0
"268",0,0,1,0,0,0,0
"269",72,0,49,0,1,0,0
"270",68,4,49,1,2,0,0
"271",62,1,53,0,0,0,0
"272",1,0,2,0,0,0,0
"273",0,0,0,0,0,0,0
"274",1,0,1,0,0,0,0
"275",54,1,43,4,2,1,2
"276",68,0,59,0,0,0,1
"277",0,0,0,0,0,0,0
"278",59,0,47,0,1,0,0
"279",72,0,54,1,0,0,1
"280",45,0,43,0,0,0,0
"281",1,0,2,0,0,0,0
"282",1,0,0,0,0,0,0
"283",2,0,2,0,0,0,0
"284",45,0,36,0,0,0,0
"285",54,2,46,2,1,1,1
"286",52,1,49,1,1,0,1
"287",57,6,44,6,6,2,2
"288",0,0,1,0,0,0,0
"289",55,5,51,6,6,3,3
"290",2,0,2,0,0,0,0
"291",57,5,49,5,7,2,3
"292",0,0,1,0,0,0,0
"293",0,0,1,0,0,0,0
"294",55,0,39,0,0,0,0
"295",1,0,1,0,0,0,0
"296",57,0,55,0,0,0,0
"297",68,0,49,0,1,0,0
"298",68,0,48,0,0,0,0
"299",0,0,1,0,0,0,0
"300",57,0,49,0,0,0,0
"301",0,0,0,0,0,0,0
"302",67,0,52,0,0,0,0
"303",1,0,2,0,0,0,0
"304",0,0,1,0,0,0,0
"305",1,0,0,0,0,0,0
"306",2,0,1,0,0,0,0
"307",0,0,1,0,0,0,0
"308",0,0,1,0,0,0,0
"309",0,0,1,0,0,0,0
"310",0,0,1,0,0,0,0
"311",2,0,3,0,0,0,0
"312",0,0,0,0,0,0,0
"313",0,0,1,0,0,0,0
"314",47,0,42,0,0,0,0
"315",60,0,53,0,1,1,0
"316",1,0,1,0,0,0,0
"317",54,0,41,0,2,0,0
"318",0,0,1,0,0,0,0
"319",0,0,1,0,0,0,0
"320",49,0,47,1,1,0,0
"321",47,0,34,0,0,0,0
"322",0,0,0,0,0,0,0
"323",65,4,66,6,3,2,1
"324",66,0,57,0,0,0,0
"325",64,6,56,6,5,2,2
"326",67,0,59,0,0,0,0
"327",0,0,1,0,0,0,0
"328",58,0,47,0,0,0,0
"329",1,0,1,0,0,0,0
"330",1,0,2,0,0,0,0
"331",0,0,1,0,0,0,0
"332",0,0,1,0,0,0,0
"333",0,0,1,0,0,0,0
"334",89,0,80,0,0,0,0
"335",65,0,56,0,1,0,1
"336",55,6,45,6,6,2,3
"337",0,0,1,0,0,0,0
"338",53,0,44,0,1,0,0
"339",1,0,1,0,0,0,0
"340",57,4,56,5,4,2,2
"341",62,0,61,1,0,0,0
"342",66,1,52,2,3,2,2
"343",61,0,49,0,1,0,0
"344",0,0,1,0,0,0,0
"345",0,0,1,0,0,0,0
"346",59,4,58,2,2,2,1
"347",1,0,2,0,0,0,0
"348",0,0,1,0,0,0,0
"349",56,3,58,5,4,2,2
"350",1,0,1,0,0,0,0
"351",63,0,57,0,0,0,0
"352",60,0,54,0,0,0,0
"353",0,0,1,0,0,0,0
"354",76,0,74,0,0,0,0
"355",56,0,37,0,1,0,0
"356",0,0,1,0,0,0,0
"357",85,0,64,0,0,0,0
"358",0,0,1,0,0,0,0
"359",55,0,43,0,0,0,0
"360",0,0,1,0,0,0,0
"361",0,0,1,0,0,0,0
"362",69,8,65,7,6,3,4
