"","age1.D","age2_no_comorbid.D","age2_comorbid.D","age3_no_comorbid.D","age3_comorbid.D"
"1",0,0,0,0,0
"2",52,81,36,11,41
"3",56,82,41,10,41
"4",52,74,39,9,36
"5",0,1,0,0,0
"6",60,87,36,9,30
"7",61,70,35,4,36
"8",0,0,0,0,0
"9",55,84,30,11,39
"10",51,67,40,12,32
"11",54,72,35,11,39
"12",47,82,28,6,45
"13",66,82,32,6,40
"14",63,88,33,9,43
"15",0,0,0,0,0
"16",54,71,25,8,36
"17",67,63,27,6,33
"18",66,75,33,8,32
"19",0,0,0,0,0
"20",56,65,39,7,38
"21",0,0,0,0,0
"22",68,76,26,6,39
"23",56,94,30,6,41
"24",65,102,27,8,38
"25",0,0,0,0,0
"26",62,87,29,12,40
"27",57,74,37,10,30
"28",59,86,48,6,37
"29",69,74,33,12,46
"30",0,0,0,0,0
"31",0,0,0,0,0
"32",56,89,41,9,40
"33",59,82,25,12,41
"34",74,87,31,8,41
"35",67,74,30,10,36
"36",53,83,21,10,34
"37",0,1,0,0,0
"38",0,0,0,0,0
"39",0,0,0,0,0
"40",55,79,30,9,36
"41",68,89,29,10,37
"42",63,64,30,10,45
"43",0,0,0,0,0
"44",68,76,39,13,39
"45",0,0,0,0,0
"46",55,81,37,11,36
"47",53,86,34,7,42
"48",68,91,39,5,39
"49",60,84,33,6,41
"50",0,0,0,0,0
"51",48,79,39,9,36
"52",58,70,29,10,37
"53",56,69,31,7,33
"54",54,68,34,8,41
"55",72,74,46,8,42
"56",64,85,30,10,43
"57",0,0,0,0,0
"58",70,92,38,6,34
"59",50,85,33,5,37
"60",0,0,0,0,0
"61",62,71,33,8,49
"62",62,74,28,7,41
"63",54,66,35,11,36
"64",60,85,34,11,40
"65",56,80,35,9,39
"66",0,0,0,0,0
"67",65,89,33,13,48
"68",59,69,32,10,36
"69",55,84,39,11,43
"70",66,82,37,7,42
"71",56,78,33,5,34
"72",75,77,37,10,45
"73",56,62,27,15,36
"74",68,89,30,5,41
"75",58,87,35,10,44
"76",0,0,0,0,0
"77",62,91,33,8,43
"78",65,95,27,7,34
"79",56,81,32,9,38
"80",61,89,38,4,37
"81",66,68,38,7,35
"82",66,88,32,8,41
"83",63,83,40,11,40
"84",50,83,33,9,29
"85",0,0,0,0,0
"86",60,73,38,7,46
"87",63,76,31,11,41
"88",0,0,0,0,0
"89",55,72,34,8,43
"90",62,84,35,9,44
"91",49,72,36,7,36
"92",55,79,34,12,36
"93",66,80,26,6,40
"94",49,73,28,6,43
"95",68,81,30,7,44
"96",66,82,38,4,45
"97",52,88,33,9,40
"98",50,76,35,9,40
"99",63,82,37,8,32
"100",42,86,31,8,31
"101",0,0,0,0,0
"102",63,69,37,13,42
"103",60,70,38,7,33
"104",67,95,33,7,44
"105",0,0,0,0,0
"106",74,69,30,10,45
"107",0,0,0,0,0
"108",45,70,29,9,37
"109",64,82,39,9,39
"110",59,75,25,6,29
"111",67,65,29,7,33
"112",71,77,33,10,39
"113",65,73,38,9,36
"114",54,70,22,13,36
"115",59,83,35,8,36
"116",67,72,34,9,40
"117",59,71,44,10,37
"118",51,74,31,15,40
"119",48,87,34,7,46
"120",63,74,28,5,37
"121",0,0,0,0,0
"122",53,77,30,7,32
"123",58,85,29,9,31
"124",54,94,28,13,40
"125",59,69,29,8,43
"126",53,91,29,8,37
"127",73,75,40,10,43
"128",58,78,32,15,28
"129",0,0,0,0,0
"130",65,75,33,14,31
"131",65,67,33,6,38
"132",0,0,0,0,0
"133",59,87,46,14,39
"134",0,0,0,0,0
"135",58,64,39,10,33
"136",42,82,35,7,38
"137",0,0,0,0,0
"138",50,75,36,7,34
"139",62,73,34,10,39
"140",0,0,0,0,0
"141",67,64,37,9,38
"142",55,96,30,9,37
"143",56,78,34,8,38
"144",59,86,31,9,40
"145",0,1,0,0,0
"146",54,69,33,12,38
"147",46,86,35,13,36
"148",47,66,38,9,35
"149",65,80,33,9,38
"150",53,81,31,8,41
"151",0,0,0,0,0
"152",64,91,33,14,37
"153",53,78,32,5,33
"154",66,93,29,11,46
"155",48,68,39,8,37
"156",65,72,40,10,50
"157",58,88,32,4,46
"158",0,1,0,0,0
"159",65,89,27,8,36
"160",53,76,32,12,38
"161",72,98,40,8,36
"162",0,0,0,0,0
"163",48,78,30,10,36
"164",61,85,31,15,32
"165",49,72,41,9,33
"166",56,70,34,6,37
"167",64,75,34,9,36
"168",0,0,0,0,0
"169",52,82,38,9,43
"170",63,87,29,7,32
"171",60,62,32,8,35
"172",68,91,38,9,29
"173",63,85,37,8,40
"174",57,85,39,12,43
"175",57,79,34,10,36
"176",61,67,34,13,41
"177",66,87,30,8,34
"178",67,72,27,8,31
"179",57,80,30,7,39
"180",65,73,37,11,36
"181",59,99,34,11,44
"182",63,68,30,11,30
"183",45,98,30,12,36
"184",57,66,39,9,38
"185",57,82,33,6,46
"186",61,75,32,11,34
"187",51,101,27,13,34
"188",59,83,31,14,36
"189",0,0,0,0,0
"190",61,75,38,9,39
"191",51,73,31,9,43
"192",47,91,34,8,39
"193",0,0,0,0,0
"194",69,83,48,12,43
"195",66,98,30,9,47
"196",71,76,31,10,46
"197",59,87,41,10,41
"198",55,80,38,6,31
"199",52,97,29,7,37
"200",0,0,0,0,0
"201",77,80,32,10,35
"202",78,80,33,8,45
"203",60,103,38,10,37
"204",53,75,33,15,40
"205",64,84,33,12,48
"206",64,75,39,7,29
"207",63,72,40,6,42
"208",73,73,26,7,40
"209",59,84,26,3,31
"210",62,88,34,11,29
"211",58,77,20,13,43
"212",75,90,34,10,34
"213",49,63,40,10,36
"214",59,89,31,9,43
"215",62,86,32,15,35
"216",65,82,41,16,37
"217",50,88,33,11,35
"218",49,79,42,7,36
"219",0,0,0,0,0
"220",56,68,45,5,43
"221",55,99,38,8,36
"222",0,0,0,0,0
"223",61,68,31,7,45
"224",0,0,0,0,0
"225",60,65,32,8,38
"226",0,0,0,0,0
"227",44,82,27,8,38
"228",61,76,32,9,38
"229",0,0,0,0,0
"230",53,85,33,5,35
"231",61,72,34,10,30
"232",48,75,29,12,48
"233",61,86,40,9,37
"234",76,80,30,11,45
"235",65,90,26,8,40
"236",57,91,33,8,36
"237",64,82,35,8,34
"238",58,84,36,7,42
"239",61,69,39,6,33
"240",70,80,21,11,40
"241",56,62,26,5,32
"242",59,86,29,12,36
"243",63,75,33,12,34
"244",71,81,26,12,43
"245",63,87,28,9,41
"246",70,82,27,6,33
"247",0,1,0,0,0
"248",62,69,35,6,46
"249",0,0,0,0,0
"250",0,0,0,0,0
"251",51,73,37,5,35
"252",47,73,18,8,40
"253",58,77,28,6,28
"254",59,75,29,8,34
"255",69,84,38,9,36
"256",0,0,0,0,0
"257",60,79,38,12,43
"258",72,74,40,11,38
"259",61,83,33,7,35
"260",40,70,22,6,38
"261",50,84,35,10,37
"262",51,91,37,12,34
"263",0,0,0,0,0
"264",60,76,33,12,37
"265",60,72,36,8,40
"266",64,72,29,9,41
"267",52,86,31,9,37
"268",58,90,34,11,40
"269",55,70,34,9,42
"270",59,79,36,11,48
"271",54,74,23,11,36
"272",76,82,40,12,37
"273",51,60,26,6,34
"274",0,0,0,0,0
"275",0,0,0,0,0
"276",73,84,38,11,36
"277",56,63,36,11,40
"278",60,77,33,11,38
"279",64,78,33,13,38
