"","age1.P","age2_no_comorbid.P","age2_comorbid.P","age3_no_comorbid.P","age3_comorbid.P"
"1",83,91,12,7,7
"2",83,71,13,5,10
"3",90,73,13,5,9
"4",81,87,12,7,9
"5",79,86,11,5,7
"6",97,84,13,6,8
"7",73,78,14,7,9
"8",92,75,15,6,11
"9",79,81,14,8,10
"10",83,86,12,5,6
"11",0,1,0,0,0
"12",77,79,12,4,9
"13",2,1,0,0,0
"14",71,88,13,5,8
"15",71,77,14,7,8
"16",70,82,13,8,8
"17",1,1,0,0,0
"18",70,80,13,4,10
"19",73,80,13,5,7
"20",83,78,14,5,7
"21",84,87,15,4,11
"22",94,70,16,5,7
"23",80,75,14,6,9
"24",91,96,14,6,8
"25",80,81,10,7,8
"26",86,85,14,7,10
"27",74,76,15,5,9
"28",69,75,15,4,10
"29",1,1,0,0,0
"30",80,80,16,8,10
"31",84,85,20,7,9
"32",78,85,16,6,9
"33",88,71,13,6,12
"34",0,1,0,0,0
"35",71,72,17,6,9
"36",85,81,19,6,8
"37",83,72,16,8,7
"38",80,91,13,5,10
"39",0,1,0,0,0
"40",73,71,12,5,6
"41",85,89,10,4,6
"42",1,1,0,0,0
"43",0,1,0,0,0
"44",0,1,0,0,0
"45",82,90,13,6,8
"46",89,73,15,5,8
"47",82,80,13,5,10
"48",0,1,0,0,0
"49",92,74,11,5,7
"50",73,71,15,6,9
"51",70,77,12,5,8
"52",76,68,13,5,6
"53",89,89,14,4,9
"54",80,93,17,6,11
"55",72,82,17,7,8
"56",0,1,0,1,0
"57",0,1,0,0,0
"58",1,2,0,0,0
"59",83,79,14,5,7
"60",93,85,16,6,12
"61",85,81,12,6,10
"62",71,69,15,6,6
"63",81,73,12,6,6
"64",1,1,0,0,0
"65",71,82,13,5,10
"66",95,72,13,5,8
"67",82,86,17,4,6
"68",84,77,14,6,6
"69",0,1,0,0,0
"70",92,80,15,4,7
"71",88,89,13,6,8
"72",91,83,13,5,8
"73",74,83,13,6,8
"74",85,89,13,6,9
"75",82,83,11,5,8
"76",74,88,16,5,10
"77",0,1,0,0,0
"78",81,70,17,7,8
"79",92,95,15,6,8
"80",81,76,14,6,6
"81",86,93,15,7,9
"82",81,75,16,5,9
"83",80,85,10,5,7
"84",0,1,0,0,0
"85",80,69,13,7,10
"86",74,65,15,5,5
"87",71,64,14,5,7
"88",0,1,0,0,0
"89",0,1,0,0,0
"90",100,81,17,5,7
"91",0,1,0,0,0
"92",82,83,18,4,7
"93",72,76,19,4,10
"94",1,1,0,0,0
"95",73,76,12,5,6
"96",83,91,13,5,10
"97",90,86,19,6,8
"98",74,84,14,7,11
"99",90,82,19,5,8
"100",96,87,14,7,10
"101",82,95,20,3,9
"102",89,83,15,7,8
"103",87,80,11,5,8
"104",80,83,13,6,8
"105",83,74,18,4,8
"106",0,1,0,0,0
"107",83,81,16,6,8
"108",0,1,0,0,0
"109",74,75,15,4,9
"110",88,88,13,6,10
"111",67,92,13,8,8
"112",77,80,14,5,8
"113",65,77,10,5,7
"114",76,79,14,6,8
"115",73,82,16,6,7
"116",67,68,12,5,8
"117",74,75,15,6,7
"118",67,77,11,5,10
"119",0,1,0,0,0
"120",89,87,14,5,9
"121",79,79,15,4,9
"122",73,64,13,5,6
"123",74,80,12,5,9
"124",87,91,11,7,10
"125",1,1,0,0,0
"126",75,82,19,6,6
"127",67,73,19,6,9
"128",73,82,12,7,6
"129",85,78,12,6,7
"130",0,1,0,0,0
"131",81,74,13,7,9
"132",77,72,19,7,7
"133",0,2,0,0,0
"134",70,86,15,6,9
"135",76,69,13,6,10
"136",69,74,14,5,7
"137",96,80,10,7,10
"138",101,81,14,6,9
"139",75,92,15,8,8
"140",0,1,0,0,0
"141",94,74,15,8,9
"142",82,76,14,4,5
"143",86,74,12,7,8
"144",73,76,11,5,6
"145",78,82,12,7,9
"146",76,71,13,4,10
"147",85,79,12,5,8
"148",87,93,15,8,11
"149",87,89,15,7,12
"150",89,79,16,7,7
"151",71,77,13,3,10
"152",94,91,12,4,9
"153",83,89,13,4,9
"154",71,74,14,5,10
"155",78,77,14,6,10
"156",0,1,0,0,0
"157",78,75,12,5,9
"158",0,1,0,0,0
"159",96,84,15,3,8
"160",0,1,0,0,0
"161",80,89,17,6,9
"162",73,66,15,5,5
"163",68,83,16,7,9
"164",79,78,13,6,10
"165",0,1,0,0,0
"166",76,90,13,5,6
"167",92,74,13,6,11
"168",81,71,13,5,7
"169",92,69,12,6,7
"170",78,74,16,5,6
"171",74,73,13,5,6
"172",70,73,14,8,7
"173",1,1,0,0,0
"174",84,78,12,5,12
"175",88,75,16,9,9
"176",91,89,16,6,6
"177",0,1,0,1,0
"178",76,81,17,8,8
"179",80,75,12,6,9
"180",71,68,13,7,10
"181",83,79,12,5,8
"182",70,76,11,5,9
"183",80,79,15,6,9
"184",0,1,0,0,0
"185",74,86,11,6,7
"186",0,1,0,0,0
"187",78,71,14,6,11
"188",73,76,9,6,9
"189",0,1,0,0,0
"190",74,74,12,5,9
"191",78,70,12,4,7
"192",77,67,18,5,8
"193",71,82,12,7,7
"194",74,88,14,6,8
"195",71,76,16,4,11
"196",70,72,13,6,7
"197",76,83,13,5,8
"198",76,83,14,4,7
"199",78,82,12,5,8
"200",90,68,13,6,10
"201",0,1,0,0,0
"202",82,79,11,6,7
"203",69,64,12,6,8
"204",81,77,13,5,10
"205",67,77,14,6,8
"206",0,1,0,0,0
"207",1,1,0,0,0
"208",0,1,0,0,0
"209",83,76,13,8,5
"210",90,75,14,5,11
"211",79,86,16,6,9
"212",77,84,13,6,8
"213",75,72,19,5,8
"214",0,1,0,0,0
"215",74,80,13,5,8
"216",0,1,0,0,0
"217",81,85,11,5,7
"218",82,76,17,5,9
"219",80,90,18,7,8
"220",71,80,13,8,7
"221",0,1,0,0,0
"222",76,91,14,6,8
"223",68,80,12,4,7
"224",77,64,10,4,10
"225",76,81,15,5,6
"226",1,1,0,0,0
"227",66,71,12,7,10
"228",87,85,13,5,10
"229",79,71,14,5,7
"230",81,77,14,5,8
"231",80,75,11,5,7
"232",0,1,0,0,0
"233",0,1,0,0,0
"234",73,76,16,6,6
"235",69,98,15,6,10
"236",0,1,0,0,0
"237",0,1,0,0,0
"238",77,80,19,5,9
"239",76,66,14,5,8
"240",0,1,0,0,0
"241",82,82,12,6,6
"242",0,1,0,0,0
"243",73,79,16,4,10
"244",73,90,15,5,7
"245",84,74,14,5,7
"246",89,89,14,5,11
"247",75,70,14,5,9
"248",85,72,13,5,10
"249",82,96,16,6,8
"250",74,72,14,5,9
"251",72,79,13,5,10
"252",1,1,0,0,0
"253",74,67,10,4,9
"254",88,79,13,5,8
"255",0,1,0,0,0
"256",76,78,13,5,7
"257",83,85,17,7,11
"258",83,76,14,7,8
"259",73,87,15,5,7
"260",71,94,15,4,7
"261",77,82,20,7,6
"262",75,92,14,8,8
"263",77,78,11,6,7
"264",73,86,16,4,7
"265",76,80,14,4,6
"266",87,73,15,9,10
"267",78,86,14,4,8
"268",78,82,13,7,8
"269",0,1,0,0,0
"270",73,70,14,3,8
"271",85,91,16,5,10
"272",71,86,14,4,8
"273",87,80,13,4,10
"274",70,68,11,6,9
"275",83,77,13,4,9
"276",93,83,17,6,9
"277",76,77,9,5,8
"278",70,76,11,4,8
"279",83,69,16,5,8
"280",63,75,14,4,7
"281",101,87,16,4,6
"282",0,1,0,0,0
"283",91,80,16,4,12
"284",0,1,0,0,0
"285",65,77,15,6,7
"286",0,1,0,0,0
"287",0,1,0,0,0
"288",70,76,13,6,8
"289",80,79,14,6,8
"290",2,1,0,0,0
"291",85,77,15,7,7
"292",93,76,13,4,8
"293",67,83,16,5,7
"294",87,63,13,6,7
"295",91,82,12,8,6
"296",82,84,12,5,6
"297",71,72,14,5,7
"298",0,1,0,0,0
"299",0,1,0,0,0
"300",78,79,14,4,8
"301",99,82,18,6,6
"302",67,75,15,6,8
"303",73,93,18,5,10
"304",84,81,14,8,10
"305",75,67,11,5,10
"306",0,1,0,0,0
"307",67,65,10,6,6
"308",0,1,0,0,0
"309",0,1,0,0,1
"310",0,1,0,0,0
"311",1,1,0,0,0
"312",79,76,13,6,7
"313",67,77,19,8,6
"314",73,85,12,6,10
"315",74,74,14,8,8
"316",86,86,13,5,7
"317",69,61,12,5,9
"318",0,1,0,0,0
"319",0,1,0,0,0
"320",99,76,14,7,11
