"","age1_orange.O","age1_green.O","age2_no_comorbid_orange.O","age2_no_comorbid_green.O","age2_comorbid_green.O","age3_no_comorbid_green.O","age3_comorbid_green.O"
"372",68,0,60,0,0,0,0
"373",60,3,59,2,2,1,1
"374",0,0,1,0,0,0,0
"375",64,0,68,0,0,0,0
"376",58,1,66,2,0,0,1
"377",1,0,1,0,0,0,0
"378",68,0,68,0,1,0,0
"379",65,0,63,0,0,0,0
"380",73,2,66,2,3,1,1
"381",84,7,63,5,7,2,3
"382",62,0,46,0,0,0,1
"383",0,0,1,0,0,0,0
"384",0,0,0,0,0,0,0
"385",0,0,1,0,0,0,0
"386",76,0,54,0,1,0,0
"387",65,0,45,0,1,0,0
"388",0,0,1,0,0,0,0
"389",82,0,64,0,0,0,0
"390",0,0,0,0,0,0,0
"391",0,0,2,0,0,0,0
"392",83,0,58,0,1,0,0
"393",67,0,72,0,0,0,0
"394",72,0,48,0,1,0,0
"395",0,0,1,0,0,0,0
"396",66,0,55,0,0,0,0
"397",0,0,1,0,0,0,0
"398",57,0,49,0,0,0,0
"399",71,0,60,0,0,0,0
"400",73,0,63,0,0,0,0
"401",68,0,61,0,0,0,0
"402",77,4,52,7,5,3,3
"403",62,0,66,0,1,0,0
"404",57,0,54,0,0,0,0
"405",65,1,59,1,2,0,0
"406",0,0,1,0,0,0,0
"407",2,0,1,0,0,0,0
"408",0,0,0,0,0,0,0
"409",63,0,54,0,0,0,0
"410",66,0,66,0,0,0,0
"411",61,0,53,1,1,0,1
"412",53,0,57,0,0,0,0
"413",62,0,51,0,0,0,0
"414",81,0,59,0,0,0,0
"415",67,0,66,0,0,0,0
"416",86,2,68,3,2,1,1
"417",0,0,1,0,0,0,0
"418",69,0,60,0,0,0,0
"419",0,0,1,0,0,0,0
"420",79,5,63,3,3,2,2
"421",82,0,59,0,0,0,0
"422",73,1,60,0,0,0,1
"423",82,0,76,0,1,0,0
"424",73,0,76,0,0,0,0
"425",59,0,58,0,0,0,0
"426",85,0,67,0,0,0,0
"427",0,0,1,0,0,0,0
"428",65,1,69,1,0,0,1
"429",0,0,1,0,0,0,0
"430",79,0,60,0,0,0,0
"431",0,0,1,0,0,0,0
"432",64,0,41,0,0,0,0
"433",69,0,46,0,0,0,0
"434",70,0,57,0,0,0,0
"435",61,0,50,0,1,0,0
"436",0,0,1,0,0,0,0
"437",67,0,58,0,0,0,0
"438",0,0,0,0,0,0,0
"439",59,0,66,1,0,0,0
"440",75,0,61,0,0,0,0
"441",0,0,1,0,0,0,0
"442",64,0,72,0,0,0,0
"443",69,2,61,3,2,0,1
"444",63,0,60,0,1,0,0
"445",70,0,79,0,0,0,0
"446",83,0,53,1,0,0,0
"447",62,0,53,0,0,0,0
"448",51,0,44,0,0,0,0
"449",86,0,63,0,0,0,0
"450",0,0,0,0,0,0,0
"451",66,0,60,0,0,0,0
"452",74,0,58,0,0,0,0
"453",76,0,57,0,0,0,0
"454",47,0,48,0,0,0,1
"455",72,1,64,0,0,0,0
"456",69,2,66,1,1,1,2
"457",81,0,66,1,0,0,0
"458",0,0,1,0,0,0,0
"459",0,0,1,0,0,0,0
"460",1,0,1,0,0,0,0
"461",67,0,64,0,0,0,0
"462",76,0,59,1,0,0,0
"463",0,0,1,0,0,0,0
"464",65,0,51,0,0,0,0
"465",82,0,74,0,0,0,0
"466",81,0,68,0,1,0,0
"467",72,4,61,3,3,2,2
"468",1,0,1,0,0,0,0
"469",89,0,85,0,0,0,1
"470",73,0,56,1,0,0,0
"471",1,0,1,0,0,0,0
"472",0,0,2,0,0,0,0
"473",66,0,52,0,0,0,0
"474",67,5,61,3,4,2,2
"475",59,4,67,5,6,5,2
"476",0,0,1,0,0,0,0
"477",63,5,69,6,5,4,3
"478",0,0,1,0,0,0,0
"479",76,1,62,0,0,0,0
"480",69,2,64,0,1,0,1
"481",71,0,62,0,0,0,0
"482",81,0,67,0,1,0,0
"483",69,1,57,0,0,0,1
"484",0,0,1,0,0,0,0
"485",77,0,53,0,0,0,0
"486",75,0,65,0,0,0,0
"487",65,0,59,0,0,0,0
"488",1,0,1,0,0,0,0
"489",69,0,65,0,0,0,0
"490",86,2,65,2,1,0,0
"491",76,0,56,0,0,0,0
"492",62,0,43,0,0,0,0
"493",73,0,67,0,0,0,0
"494",0,0,1,0,0,0,0
"495",0,0,1,0,0,0,0
"496",76,0,64,2,1,1,0
"497",0,0,1,0,0,0,0
"498",75,0,57,0,0,0,0
"499",68,3,53,1,1,1,1
"500",64,0,47,0,0,0,0
"501",81,9,58,6,5,3,2
"502",68,1,71,0,2,0,0
"503",61,0,58,0,0,0,0
"504",0,0,1,0,0,0,0
"505",67,0,67,0,0,0,0
"506",75,0,50,0,0,0,0
"507",58,0,58,0,0,0,0
"508",0,0,1,0,0,0,0
"509",0,0,0,0,0,0,0
"510",0,0,1,0,0,0,0
"511",0,0,1,0,0,0,0
"512",77,0,57,0,0,0,0
"513",1,0,1,0,0,0,0
"514",85,0,61,0,0,0,0
"515",71,0,52,3,1,1,2
"516",65,7,54,7,7,2,4
"517",66,2,57,3,3,1,2
"518",96,0,98,1,1,0,1
"519",64,0,67,0,0,0,0
"520",68,0,50,0,0,0,0
"521",71,0,63,0,0,0,0
"522",65,6,56,5,9,2,3
"523",0,0,0,0,0,0,0
"524",81,5,60,4,4,2,2
"525",0,0,1,0,0,0,0
"526",79,2,59,1,1,1,0
"527",0,0,1,0,0,0,0
"528",86,4,80,5,4,1,3
"529",1,0,1,0,0,0,0
"530",58,0,61,0,0,0,0
"531",0,0,0,0,0,0,0
"532",62,0,58,0,0,0,0
"533",92,5,67,6,4,2,3
"534",85,0,65,0,0,0,0
"535",53,3,53,3,4,2,3
"536",59,0,54,0,0,0,0
"537",67,0,63,0,0,0,0
"538",77,0,64,1,0,0,0
"539",91,0,64,0,0,0,0
"540",0,0,1,0,0,0,0
"541",1,0,2,0,0,0,0
"542",77,9,68,4,6,3,3
"543",0,0,1,0,0,0,0
"544",1,0,1,0,0,0,0
"545",0,0,1,0,0,0,0
"546",47,6,40,7,8,3,4
"547",79,0,61,0,0,0,0
"548",0,0,1,0,0,0,0
"549",71,0,56,0,0,0,0
"550",1,0,1,0,0,0,0
"551",76,0,66,0,0,0,0
"552",76,0,62,0,0,0,1
"553",81,0,53,0,0,0,0
"554",64,0,55,0,0,0,1
"555",0,0,0,0,0,0,0
"556",68,0,55,0,0,0,0
"557",78,0,69,1,1,0,0
"558",68,0,64,0,0,0,0
"559",0,0,0,0,0,0,0
"560",73,0,64,0,0,0,0
"561",0,0,0,0,0,0,0
"562",67,0,81,0,0,1,0
"563",0,0,1,0,0,0,0
"564",59,5,55,4,5,2,3
"565",67,0,52,0,0,0,0
"566",0,0,1,0,0,0,0
"567",75,0,78,0,0,0,0
"568",67,0,59,0,0,0,0
"569",71,5,59,6,4,1,3
"570",72,0,67,0,0,0,0
"571",89,0,55,0,0,0,0
"572",68,3,56,1,1,0,0
"573",88,0,51,0,1,0,0
"574",1,0,1,0,0,0,0
"575",65,0,44,0,0,0,0
"576",64,0,61,0,0,0,0
"577",81,0,68,0,0,0,0
"578",58,0,58,0,0,0,0
"579",81,0,68,0,0,0,0
"580",74,0,53,0,0,0,0
"581",62,0,54,0,0,1,0
"582",1,0,1,0,0,0,0
"583",90,8,66,7,7,3,4
"584",86,0,57,0,0,0,0
"585",74,0,62,0,0,0,0
"586",75,0,51,0,0,0,1
"587",70,0,49,0,0,0,0
"588",1,0,1,0,0,0,0
"589",58,0,56,0,0,0,0
"590",1,0,1,0,0,0,0
"591",0,0,1,0,0,0,0
"592",0,0,1,0,0,0,0
"593",68,0,63,0,0,0,0
"594",78,0,63,0,0,0,0
"595",3,0,1,0,0,0,0
"596",80,2,65,3,4,2,4
"597",51,0,49,0,0,0,0
"598",67,1,51,1,0,0,0
"599",0,0,1,0,0,0,0
"600",67,0,59,0,0,0,1
"601",77,1,56,2,3,0,1
"602",73,0,53,1,0,0,0
"603",70,0,70,0,0,0,0
"604",0,0,1,0,0,0,0
"605",80,4,70,6,6,2,2
"606",81,4,69,4,5,2,2
"607",0,0,1,0,0,0,0
"608",0,0,1,0,0,0,0
"609",85,0,76,0,0,0,0
"610",75,0,66,0,0,0,0
"611",73,0,56,0,0,0,0
"612",0,0,1,0,0,0,0
"613",78,0,70,0,0,0,0
"614",73,2,55,2,2,1,0
"615",73,0,62,0,0,0,0
"616",77,0,56,0,0,0,0
"617",73,1,64,2,2,0,1
"618",0,0,1,0,0,0,0
"619",69,0,66,0,0,0,0
"620",78,0,68,0,0,0,0
"621",55,0,51,0,0,0,0
"622",0,0,1,0,0,0,0
"623",69,0,65,0,0,0,0
"624",76,0,50,0,0,0,0
"625",53,5,46,4,4,2,2
"626",75,0,82,0,0,0,0
"627",71,0,67,0,0,0,0
"628",61,1,56,0,1,1,0
"629",80,5,67,2,4,1,1
"630",0,0,1,0,0,0,0
"631",0,0,1,0,0,0,0
"632",62,0,59,0,0,0,0
"633",0,0,1,0,0,0,0
"634",0,0,1,0,0,0,0
"635",0,0,1,0,0,0,0
"636",82,4,72,8,4,2,2
"637",0,0,1,0,0,0,0
"638",46,0,41,0,0,0,0
"639",1,0,1,0,0,0,0
"640",77,0,84,0,0,0,0
"641",72,0,60,0,1,0,1
"642",66,2,59,1,3,0,1
"643",93,0,64,0,0,0,0
"644",2,0,1,0,0,0,0
"645",71,0,62,0,0,0,0
"646",54,0,36,0,0,0,1
"647",92,0,78,0,0,0,0
"648",72,0,57,0,0,0,0
"649",84,2,66,3,2,1,1
"650",76,1,58,1,0,0,0
"651",0,0,1,0,0,0,0
"652",0,0,1,0,0,0,0
"653",79,0,71,1,0,0,0
"654",67,0,70,0,1,0,0
"655",0,0,1,0,0,0,0
"656",0,0,1,0,0,0,0
"657",0,0,1,0,0,0,0
"658",0,0,1,0,0,0,0
"659",87,1,65,1,2,1,0
"660",0,0,1,0,0,0,0
"661",0,0,1,0,0,0,0
"662",79,0,76,0,0,0,0
"663",1,0,1,0,0,0,0
"664",62,0,55,0,0,0,0
"665",0,0,1,0,0,0,0
"666",73,1,59,0,0,0,0
"667",65,0,42,0,0,0,1
"668",0,0,1,0,0,0,0
"669",0,0,1,0,0,0,0
"670",85,0,65,0,0,0,0
"671",70,0,62,0,0,0,0
"672",56,0,54,0,0,0,0
"673",0,0,1,0,0,0,0
"674",84,0,64,0,0,0,0
"675",0,0,1,0,0,0,0
"676",0,0,1,0,0,0,0
"677",0,0,0,0,0,0,0
"678",0,0,1,0,0,0,0
"679",1,0,1,0,0,0,0
"680",62,0,59,0,0,0,0
"681",1,0,1,0,0,0,0
"682",0,0,0,0,0,0,0
"683",75,0,69,0,0,0,0
"684",1,0,1,0,0,0,0
"685",1,0,1,0,0,0,0
"686",0,0,1,0,0,0,0
"687",0,0,1,0,0,0,0
"688",96,0,75,0,0,0,0
"689",62,0,52,0,1,0,0
