"","age1_orange.S","age1_green.S","age2_no_comorbid_orange.S","age2_no_comorbid_green.S","age2_comorbid_green.S","age3_no_comorbid_green.S","age3_comorbid_green.S"
"1912",182,57,376,94,116,44,74
"1913",153,62,327,94,125,44,75
"1914",752,62,847,94,125,44,75
"1915",183,62,341,94,125,44,75
"1916",181,62,345,94,125,44,75
"1917",752,62,847,94,125,44,75
"1918",142,62,314,94,125,44,75
"1919",752,62,847,94,125,44,75
"1920",750,62,845,94,125,44,75
"1921",215,62,383,94,125,44,75
"1922",161,62,325,94,125,44,75
"1923",179,62,353,94,125,44,75
"1924",752,62,847,94,125,44,75
"1925",752,62,847,94,125,44,75
"1926",156,62,322,94,125,44,75
"1927",749,62,845,94,125,44,75
"1928",752,62,847,94,125,44,75
"1929",151,15,336,39,50,23,51
"1930",188,62,354,94,125,44,75
"1931",181,62,359,94,125,44,75
"1932",752,62,847,94,125,44,75
"1933",752,62,847,94,125,44,75
"1934",139,62,334,94,125,44,75
"1935",168,62,335,94,125,44,75
"1936",159,62,336,93,124,44,75
"1937",752,62,847,94,125,44,75
"1938",164,62,363,94,125,44,75
"1939",751,62,846,94,125,44,75
"1940",189,25,337,57,68,34,52
"1941",160,31,352,72,88,35,56
"1942",752,62,847,94,125,44,75
"1943",752,62,847,94,125,44,75
"1944",152,36,291,69,91,39,62
"1945",201,62,363,94,125,44,75
"1946",166,62,314,94,125,44,75
"1947",165,62,334,94,125,44,75
"1948",170,62,324,94,125,44,75
"1949",151,54,323,92,115,42,68
"1950",752,62,847,94,125,44,75
"1951",750,62,844,94,125,44,75
"1952",185,62,316,94,125,44,75
"1953",190,62,355,94,125,44,75
"1954",165,38,320,68,86,39,59
"1955",176,62,381,93,125,44,75
"1956",752,62,847,94,125,44,75
"1957",176,62,326,94,125,44,75
"1958",752,62,847,94,125,44,75
"1959",748,62,846,94,125,44,75
"1960",218,62,415,94,125,44,75
"1961",161,62,323,94,125,44,75
"1962",154,62,337,94,125,44,75
"1963",180,51,326,79,111,40,62
"1964",752,62,847,94,125,44,75
"1965",752,62,847,94,125,44,75
"1966",752,62,847,94,125,44,75
"1967",752,62,846,94,125,44,75
"1968",752,62,847,94,125,44,75
"1969",747,62,843,94,125,44,75
"1970",752,62,847,94,125,44,75
"1971",184,62,373,94,125,43,75
"1972",752,62,847,94,125,44,75
"1973",176,62,334,94,125,44,75
"1974",160,62,313,94,125,43,75
"1975",751,62,844,94,125,44,75
"1976",158,62,290,94,125,44,75
"1977",752,62,847,94,125,44,75
"1978",751,62,847,94,125,44,75
"1979",167,61,331,92,125,44,74
"1980",747,62,844,94,125,44,75
"1981",752,62,847,94,125,44,75
"1982",169,60,315,94,123,43,74
"1983",748,62,846,94,125,44,75
"1984",185,62,349,94,125,44,75
"1985",190,62,345,94,124,44,75
"1986",194,61,387,94,125,44,75
"1987",161,62,332,94,125,44,75
"1988",173,62,308,94,125,44,75
"1989",112,62,318,94,125,44,75
"1990",136,62,280,94,125,44,75
"1991",184,62,351,94,125,44,75
"1992",751,62,847,94,125,44,75
"1993",748,62,846,94,125,44,75
"1994",751,62,847,94,125,44,75
"1995",157,62,307,94,125,44,75
"1996",752,62,847,94,125,44,75
"1997",158,50,334,86,114,43,68
"1998",752,62,847,94,125,44,75
"1999",752,62,847,94,125,44,75
"2000",752,62,846,94,125,44,75
"2001",752,62,847,94,125,44,75
"2002",752,62,847,94,125,44,75
"2003",752,62,847,94,125,44,75
"2004",752,62,847,94,125,44,75
"2005",752,62,847,94,125,44,75
"2006",115,62,296,94,125,44,75
"2007",751,62,847,94,125,44,75
"2008",125,62,281,94,125,44,75
"2009",750,62,846,94,125,44,75
"2010",170,62,309,94,125,44,74
"2011",752,62,846,94,125,44,75
"2012",752,62,847,94,125,44,75
"2013",144,62,342,94,125,44,75
"2014",750,62,847,94,125,44,75
"2015",208,30,368,68,82,31,57
"2016",752,62,847,94,125,44,75
"2017",752,62,847,94,125,44,75
"2018",752,62,845,94,125,44,75
"2019",752,62,847,94,125,44,75
"2020",159,60,314,94,122,44,75
"2021",750,62,847,94,125,44,75
"2022",752,62,847,94,125,44,75
"2023",169,62,361,94,125,44,75
"2024",149,60,341,94,124,44,75
"2025",752,62,847,94,125,44,75
"2026",148,62,305,94,125,44,75
"2027",151,61,359,94,124,44,75
"2028",163,62,338,94,125,44,75
"2029",170,62,336,93,125,44,75
"2030",158,62,313,94,125,44,75
"2031",204,62,404,94,125,44,75
"2032",187,62,350,94,125,44,75
"2033",751,62,847,94,125,44,75
"2034",145,25,304,57,76,31,52
"2035",175,62,312,94,125,44,75
"2036",183,62,337,94,125,44,75
"2037",159,62,320,94,125,44,75
"2038",164,59,325,94,123,44,73
"2039",239,62,420,94,125,44,75
"2040",190,60,392,90,123,43,72
"2041",752,62,846,94,125,44,75
"2042",164,62,333,94,125,44,75
"2043",195,55,344,92,122,44,72
"2044",752,62,847,94,125,44,75
"2045",750,62,842,94,125,44,75
"2046",751,62,847,94,125,44,75
"2047",156,60,352,94,121,44,74
"2048",160,62,332,94,125,44,75
"2049",750,62,847,94,125,44,75
"2050",752,62,847,94,125,44,75
"2051",752,62,847,94,125,44,75
"2052",750,62,847,94,125,44,75
"2053",172,62,342,94,125,44,75
"2054",752,62,847,94,125,44,75
"2055",159,62,337,94,125,44,75
"2056",752,62,847,94,125,44,75
"2057",747,62,846,94,125,44,75
"2058",748,62,843,94,125,44,75
"2059",752,62,847,94,125,44,75
"2060",751,62,846,94,125,44,75
"2061",153,62,318,94,125,44,75
"2062",187,46,342,73,95,40,64
"2063",178,62,345,94,125,44,75
"2064",150,62,319,94,125,44,75
"2065",138,62,258,94,125,44,75
"2066",152,62,354,94,125,44,75
"2067",170,62,324,94,125,44,74
"2068",751,62,847,94,125,44,75
"2069",170,62,371,94,125,44,75
"2070",752,62,846,94,125,44,75
"2071",149,62,362,94,123,44,75
"2072",177,62,340,93,124,44,75
"2073",173,62,350,94,124,44,75
"2074",752,62,847,94,125,44,75
"2075",752,62,847,94,125,44,75
"2076",752,62,847,94,125,44,75
"2077",153,62,302,94,125,44,75
"2078",752,62,847,94,125,44,75
"2079",134,62,335,94,125,44,75
"2080",213,62,369,94,125,44,75
"2081",752,62,847,94,125,44,75
"2082",187,62,343,94,125,44,75
"2083",752,62,846,94,125,44,75
"2084",752,62,847,94,125,44,75
"2085",168,62,382,94,124,44,75
"2086",161,62,334,94,125,44,75
"2087",752,62,847,94,125,44,75
"2088",752,62,847,94,125,44,75
"2089",185,62,334,94,125,44,75
"2090",749,62,846,94,125,44,75
"2091",131,62,282,93,123,44,75
"2092",163,62,353,94,125,44,75
"2093",172,62,374,94,125,44,75
"2094",752,62,847,94,125,44,75
"2095",752,62,846,94,125,44,75
"2096",85,62,294,94,125,44,75
"2097",750,62,846,94,125,44,75
"2098",752,62,847,94,125,44,75
"2099",752,62,847,94,125,44,75
"2100",752,62,847,94,125,44,75
"2101",166,62,364,94,125,44,75
"2102",752,62,847,94,125,44,75
"2103",748,62,847,94,125,44,75
"2104",752,62,847,94,125,44,75
"2105",752,62,847,94,125,44,75
"2106",752,62,847,94,125,44,75
"2107",160,27,327,66,83,37,60
"2108",176,62,366,94,124,44,75
"2109",164,62,318,94,125,44,75
"2110",166,62,333,94,125,44,75
"2111",232,33,360,60,82,30,58
"2112",751,62,847,94,125,44,75
"2113",217,62,405,94,125,44,75
"2114",752,62,847,94,125,44,75
"2115",751,62,847,94,125,44,75
"2116",752,62,847,94,125,44,75
"2117",144,62,328,94,125,44,75
"2118",752,62,847,94,125,44,75
"2119",169,62,339,94,124,44,75
"2120",140,62,328,94,125,44,75
"2121",142,62,320,94,124,44,75
"2122",166,62,347,94,125,44,75
"2123",171,35,307,65,86,39,61
"2124",153,62,308,94,125,44,75
"2125",750,62,845,94,125,44,75
"2126",752,62,847,94,125,44,75
"2127",741,62,843,94,125,44,75
"2128",750,62,847,94,125,44,75
"2129",752,62,847,94,125,44,75
"2130",752,62,847,94,125,44,75
"2131",752,62,847,94,125,44,75
"2132",752,62,847,94,125,44,75
"2133",751,62,846,94,125,44,75
"2134",752,62,846,94,125,44,75
"2135",752,62,847,94,125,44,75
"2136",143,62,319,94,125,44,75
"2137",751,62,847,94,125,44,75
"2138",145,62,328,94,125,44,74
"2139",751,62,847,94,125,44,75
"2140",200,62,351,94,125,44,75
"2141",164,62,309,94,124,44,75
"2142",752,62,847,94,125,44,75
"2143",752,62,847,94,125,44,75
"2144",752,62,847,94,125,44,75
"2145",751,62,847,94,125,44,75
"2146",208,62,408,94,125,44,75
