"","age1_orange.I","age1_green.I","age2_no_comorbid_orange.I","age2_no_comorbid_green.I","age2_comorbid_green.I","age3_no_comorbid_green.I","age3_comorbid_green.I"
"703",215,19,210,25,32,12,17
"704",223,17,224,21,27,13,21
"705",229,15,238,18,31,10,11
"706",189,0,205,0,0,0,0
"707",221,23,200,21,33,9,10
"708",0,0,1,0,0,0,0
"709",219,18,220,26,39,11,16
"710",187,0,194,0,0,0,0
"711",208,26,191,25,32,11,13
"712",214,18,217,28,36,10,12
"713",204,13,196,18,21,8,16
"714",192,13,230,25,21,8,15
"715",219,16,218,28,26,12,18
"716",212,20,214,24,32,14,16
"717",217,17,231,21,22,9,19
"718",0,0,1,0,0,0,0
"719",210,18,242,20,36,12,14
"720",233,0,225,0,0,0,0
"721",203,21,202,23,31,10,17
"722",208,24,181,21,31,10,14
"723",234,13,223,20,25,11,18
"724",217,17,228,22,27,13,15
"725",217,16,235,24,33,9,15
"726",0,0,1,0,0,0,0
"727",210,18,207,23,36,12,17
"728",182,19,218,29,32,14,21
"729",203,18,211,16,23,8,13
"730",215,17,212,22,41,5,22
"731",213,21,216,26,34,11,16
"732",0,0,1,0,0,0,0
"733",225,18,215,21,37,11,18
"734",0,0,1,0,0,0,0
"735",0,0,1,0,0,0,0
"736",236,14,230,24,31,12,18
"737",242,23,198,24,30,14,18
"738",230,25,223,29,33,12,13
"739",242,21,252,24,23,13,17
"740",213,17,252,26,32,12,12
"741",192,19,241,22,43,11,15
"742",209,20,229,18,31,10,20
"743",221,23,213,25,33,15,23
"744",188,18,199,26,36,7,15
"745",206,22,209,31,43,9,17
"746",194,14,205,18,25,10,12
"747",0,0,0,0,0,0,0
"748",234,17,223,24,32,12,12
"749",240,0,236,0,0,0,0
"750",209,18,234,22,31,9,15
"751",196,0,222,0,0,0,0
"752",200,23,199,20,33,8,12
"753",213,20,224,31,29,16,16
"754",198,21,189,25,32,13,15
"755",234,18,231,26,38,16,16
"756",237,19,230,28,25,12,12
"757",237,18,212,24,30,9,13
"758",222,26,222,27,28,15,12
"759",211,21,215,29,33,12,19
"760",204,17,193,24,32,16,21
"761",225,0,214,0,0,0,0
"762",209,21,247,25,25,12,20
"763",0,0,1,0,0,0,0
"764",2,0,1,0,0,0,0
"765",222,20,214,25,28,11,18
"766",213,18,237,22,25,8,12
"767",212,21,225,26,31,11,17
"768",209,0,216,0,0,0,0
"769",194,17,198,31,31,8,19
"770",233,24,223,24,27,8,17
"771",226,16,225,21,31,16,14
"772",0,0,0,0,0,0,0
"773",231,13,228,23,22,9,8
"774",227,20,220,25,26,12,17
"775",213,14,233,19,26,8,19
"776",214,19,236,24,27,11,13
"777",209,19,207,22,31,10,22
"778",206,19,226,19,27,11,12
"779",215,14,210,21,24,12,21
"780",215,19,212,18,24,12,14
"781",210,16,227,18,30,14,20
"782",217,14,234,17,31,8,16
"783",0,0,1,0,0,0,0
"784",0,0,1,0,0,0,0
"785",202,13,224,26,23,8,14
"786",228,17,239,24,25,10,14
"787",207,16,206,23,31,10,22
"788",202,16,202,21,33,5,13
"789",214,21,203,20,29,10,19
"790",206,25,233,27,30,10,13
"791",247,25,224,23,36,11,17
"792",202,16,203,25,38,11,15
"793",216,23,226,23,24,9,14
"794",0,0,1,0,0,0,0
"795",222,22,192,18,32,9,15
"796",195,19,217,26,35,11,19
"797",0,0,1,0,0,0,0
"798",206,22,201,23,33,9,13
"799",217,25,218,24,27,11,16
"800",228,18,201,25,29,11,20
"801",196,14,193,21,29,13,17
"802",228,18,207,28,26,12,15
"803",223,14,207,20,23,9,11
"804",0,0,1,0,0,0,0
"805",212,15,197,31,35,14,17
"806",235,22,220,22,38,7,19
"807",228,0,218,0,0,0,0
"808",224,20,245,26,29,9,12
"809",218,20,208,22,28,13,14
"810",214,20,213,26,28,11,13
"811",226,15,238,21,26,9,13
"812",234,19,220,21,33,13,17
"813",210,16,235,21,32,9,14
"814",0,0,1,0,0,0,0
"815",216,0,207,0,0,0,0
"816",231,22,198,24,27,12,13
"817",200,16,217,20,26,9,13
"818",200,16,204,22,32,10,16
"819",217,26,226,27,32,10,16
"820",219,24,233,22,35,8,14
"821",246,20,237,27,36,12,18
"822",202,20,196,23,25,9,13
"823",218,0,232,1,0,0,1
"824",220,25,189,26,35,11,19
"825",228,18,215,17,29,8,11
"826",224,19,222,26,34,8,12
"827",215,18,206,25,34,11,22
"828",1,0,1,0,0,0,0
"829",214,21,211,23,31,12,18
"830",218,16,223,25,28,13,19
"831",202,0,226,0,0,0,0
"832",227,21,227,26,35,14,20
"833",214,2,221,0,0,0,0
"834",232,22,225,18,34,6,16
"835",222,21,244,28,30,9,20
"836",241,0,226,0,0,0,0
"837",237,13,229,19,22,12,12
"838",206,18,212,19,28,11,12
"839",203,22,212,24,30,11,18
"840",226,18,218,30,28,16,21
"841",235,15,229,22,30,12,17
"842",1,0,1,0,0,0,0
"843",211,0,217,1,0,0,0
"844",219,17,217,19,28,8,15
"845",215,22,242,21,30,17,20
"846",185,17,196,26,25,9,14
"847",0,0,0,0,0,0,0
"848",190,20,209,23,28,8,15
"849",209,20,216,26,33,13,17
"850",200,20,209,22,24,12,17
"851",210,21,221,21,38,16,19
"852",0,0,1,0,0,0,0
"853",0,0,1,0,0,0,0
"854",222,19,220,24,29,10,20
"855",216,16,225,21,25,9,17
"856",194,18,222,28,42,14,19
"857",208,0,208,2,0,0,1
"858",216,16,221,22,30,9,12
"859",232,20,229,26,31,14,18
"860",233,25,240,29,35,9,16
"861",191,24,229,22,41,9,20
"862",246,14,227,20,24,10,18
"863",0,0,1,0,0,0,0
"864",221,14,220,26,20,8,10
"865",212,1,215,1,1,0,0
"866",202,21,215,24,32,19,18
"867",199,13,213,22,23,9,14
"868",201,0,226,0,0,0,0
"869",0,0,0,0,0,0,0
"870",213,18,215,20,25,9,17
"871",239,20,250,29,29,13,15
"872",208,21,212,19,29,10,15
"873",0,0,1,0,0,0,0
"874",225,0,243,0,0,0,0
"875",195,19,184,26,28,13,17
"876",1,0,0,0,0,0,0
"877",210,0,239,0,1,0,0
"878",0,0,1,0,0,0,0
"879",230,22,224,29,33,12,15
"880",215,23,229,23,36,12,20
"881",1,0,1,0,0,0,0
"882",203,19,226,27,28,11,20
"883",221,14,231,29,27,8,16
"884",205,23,217,19,31,12,17
"885",208,19,210,17,25,14,13
"886",232,0,202,1,0,0,0
"887",199,13,196,18,24,9,12
"888",214,24,217,28,36,11,19
"889",214,21,213,26,35,12,14
"890",0,0,1,0,0,0,0
"891",216,20,223,22,29,11,21
"892",217,0,193,0,1,0,0
"893",215,0,233,0,0,0,0
"894",244,0,247,1,0,0,0
"895",191,18,202,27,31,17,10
"896",212,21,198,25,28,12,14
"897",198,0,205,0,0,0,0
"898",222,16,200,21,26,10,18
"899",235,25,225,24,32,7,17
"900",199,18,187,22,30,10,16
"901",236,23,232,19,32,11,17
"902",231,18,207,20,32,9,17
"903",192,14,216,18,29,10,17
"904",227,20,262,24,26,12,11
"905",201,17,218,24,28,10,16
"906",0,0,1,0,0,0,0
"907",238,19,242,21,26,7,15
"908",220,21,214,20,31,13,12
"909",213,16,209,25,37,10,17
"910",199,20,217,20,31,9,19
"911",209,0,210,0,0,0,0
"912",208,17,209,17,22,10,14
"913",193,21,207,23,30,10,12
"914",179,18,210,23,29,12,16
"915",0,0,1,0,0,0,0
"916",211,22,216,21,28,12,22
"917",229,20,223,27,29,10,14
"918",219,17,206,23,24,10,13
"919",185,21,198,25,35,10,15
"920",221,16,208,24,30,7,17
"921",205,23,187,22,32,11,16
"922",239,25,234,24,42,9,17
"923",212,22,225,25,34,9,20
"924",250,23,224,25,31,9,18
"925",244,23,232,26,31,8,13
"926",217,22,222,21,29,10,17
"927",232,22,205,23,31,8,12
"928",222,16,223,26,33,13,18
"929",198,17,185,24,44,10,17
"930",213,20,226,21,28,11,13
"931",201,15,232,18,29,8,17
"932",0,0,0,0,0,0,0
"933",1,0,1,0,0,0,0
"934",214,18,212,23,29,7,17
"935",232,20,212,26,30,15,16
"936",230,20,209,27,39,9,16
"937",0,0,1,0,0,0,0
"938",211,21,188,23,28,9,18
"939",203,19,190,24,30,14,23
"940",209,20,213,25,37,13,18
"941",239,0,248,0,0,0,0
"942",215,15,221,23,44,15,16
"943",221,14,221,20,25,9,14
"944",0,0,1,0,0,0,0
"945",212,24,216,31,31,16,15
"946",224,15,230,20,35,10,15
"947",178,12,183,18,34,12,11
"948",216,16,215,24,30,9,14
"949",213,15,228,23,25,9,17
"950",193,22,230,27,39,16,14
"951",202,16,245,21,23,8,16
"952",0,0,1,0,0,0,0
"953",198,21,210,27,32,10,16
"954",206,21,225,24,36,9,18
"955",0,0,1,0,0,0,0
"956",0,0,1,0,0,0,0
"957",221,14,229,17,27,6,16
"958",246,0,216,0,1,1,0
"959",0,0,1,0,0,0,0
"960",0,0,1,0,0,0,0
"961",219,18,244,30,29,13,17
"962",239,18,221,23,35,12,17
"963",0,0,0,0,0,0,0
"964",207,22,217,25,35,7,15
"965",228,17,245,16,30,11,18
