"","Model","Fraction_Dead"
"1","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.0633380675099941
"2","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.00132501569917875
"3","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.113286355468623
"4","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.105426269358197
"5","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.0784753882864528
"6","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.0203655058994262
"7","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.0503884558413373
"8","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.0250009102851607
"9","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.000346160202414607
"10","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.130303949419486
"11","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.0194739028689569
"12","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.065328591459687
"13","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.00286711460261697
"14","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",8.73160896539677e-05
"15","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.0178201006710944
"16","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.0715546072140147
"17","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.0188549460639152
"18","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.0193365351043922
"19","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.102008542504767
"20","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.08184605499515
"21","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.128780879064088
"22","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.00254882191562656
"23","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.00659771779807033
"24","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.00114397209532601
"25","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.000970782610896139
"26","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.000180786634074562
"27","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.0579633535203582
"28","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.00191207205002212
"29","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.0277565135619177
"30","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.00273579840509323
"31","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.110865839825352
"32","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.000133483619590496
"33","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.0779308019031358
"34","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.113372671600916
"35","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.000761196618743166
"36","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.000135636304770962
"37","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.0001012048798655
"38","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.017591054253271
"39","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",8.03436730394869e-05
"40","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.156402257850529
"41","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.0872227522337877
"42","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.000617413509471776
"43","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.0959311273037788
"44","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.00316116992153227
"45","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.091028333970007
"46","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.083143726538767
"47","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.0144874216540835
"48","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.00762394661757688
"49","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.00335236962019219
"50","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",6.49836581260005e-05
"51","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.0943611896912996
"52","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.108728917777025
"53","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.136161850050101
"54","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.000326852264429497
"55","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.0149457857438948
"56","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.00458125855630801
"57","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.0165298781996573
"58","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.0616620253460178
"59","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.0163853204972372
"60","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.000245621375156803
"61","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.000247728629191568
"62","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.0778202967252369
"63","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.0291537232753821
"64","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.124156598068687
"65","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.000222396317290411
"66","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.0226681910070864
"67","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.0950883567170199
"68","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.141389308876886
"69","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.108423150821302
"70","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.0102284999063063
"71","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.0177852652223313
"72","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.00198916698795539
"73","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.00731411867863424
"74","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.0637809487177833
"75","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",9.54668477457246e-05
"76","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.0591430912111137
"77","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.0860414995885769
"78","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.0924979265367877
"79","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.000102918982560995
"80","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.0976892835429983
"81","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.137289026109613
"82","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000",0.076945426431512
