"","age1_orange.D","age1_green.D","age2_no_comorbid_orange.D","age2_no_comorbid_green.D","age2_comorbid_green.D","age3_no_comorbid_green.D","age3_comorbid_green.D"
"184",47,5,76,12,27,6,35
"185",58,3,79,7,39,9,42
"186",57,8,71,8,37,8,30
"187",55,0,72,0,0,0,0
"188",0,0,0,0,0,0,0
"189",61,3,67,10,34,15,30
"190",54,0,69,0,0,0,1
"191",63,0,62,0,0,0,0
"192",59,2,70,11,30,10,41
"193",0,0,0,0,0,0,0
"194",68,4,71,9,36,14,46
"195",49,5,60,12,35,7,36
"196",70,1,80,9,28,11,35
"197",0,0,0,0,0,0,0
"198",41,6,70,11,29,11,43
"199",43,4,58,4,30,9,37
"200",55,6,61,8,35,9,41
"201",64,2,82,6,37,3,42
"202",67,6,74,4,38,7,28
"203",58,0,64,0,0,0,0
"204",0,0,0,0,0,0,0
"205",57,5,81,10,41,7,33
"206",43,0,56,0,0,0,0
"207",52,0,70,0,0,0,0
"208",55,7,67,6,32,3,35
"209",62,4,67,6,32,7,36
"210",0,0,0,0,0,0,0
"211",0,0,0,0,0,0,0
"212",66,12,56,7,34,9,43
"213",0,0,0,0,0,0,0
"214",78,6,79,6,35,6,34
"215",76,4,71,10,24,5,34
"216",55,0,68,0,0,0,0
"217",50,0,91,0,0,0,0
"218",47,4,84,5,28,5,40
"219",57,6,74,7,36,8,41
"220",0,0,0,0,0,0,0
"221",53,6,62,7,33,7,40
"222",53,0,81,0,0,0,0
"223",57,0,66,9,27,9,39
"224",0,0,0,0,0,0,0
"225",47,0,71,0,0,0,0
"226",46,1,83,7,36,13,38
"227",41,2,64,8,28,5,39
"228",49,0,66,0,0,0,0
"229",68,0,76,0,0,0,0
"230",56,7,86,9,31,9,43
"231",57,0,61,0,0,0,0
"232",52,2,77,8,35,10,37
"233",0,0,0,0,0,0,0
"234",56,0,77,0,0,0,0
"235",55,3,68,4,34,11,36
"236",52,8,67,10,28,8,34
"237",0,0,0,0,0,0,0
"238",57,4,75,12,30,10,36
"239",52,5,66,3,31,7,42
"240",49,4,69,5,30,13,34
"241",47,2,70,6,46,10,44
"242",52,5,74,2,39,7,32
"243",62,4,57,5,39,7,43
"244",49,5,76,5,42,8,40
"245",51,0,62,0,0,0,0
"246",54,0,76,0,0,0,0
