age1_orange,age1_green,age2_no_comorbid_orange,age2_no_comorbid_green,age2_comorbid_green,age3_no_comorbid_green,age3_comorbid_green,
age1_orange,10.725,0.0614285714285714,12.8464285714286,0.05,0.0892857142857142,0.0314285714285714,0.0535714285714286
age1_green,0.13,5.06785714285714,0.155714285714286,4.125,7.36607142857143,2.59285714285714,4.41964285714286
age2_no_comorbid_orange,6.175,0.0614285714285714,7.39642857142857,0.05,0.0892857142857142,0.0314285714285714,0.0535714285714286
age2_no_comorbid_green,0.13,2.91785714285714,0.155714285714286,2.375,4.24107142857143,1.49285714285714,2.54464285714286
age2_comorbid_green,0.13,2.91785714285714,0.155714285714286,2.375,4.24107142857143,1.49285714285714,2.54464285714286
age3_no_comorbid_green,0.13,1.84285714285714,0.155714285714286,1.5,2.67857142857143,0.942857142857143,1.60714285714286
age3_comorbid_green,0.13,1.84285714285714,0.155714285714286,1.5,2.67857142857143,0.942857142857143,1.60714285714286
