"","age1.D","age2_no_comorbid.D","age2_comorbid.D","age3_no_comorbid.D","age3_comorbid.D"
"1",57,77,30,7,28
"2",59,73,36,8,42
"3",0,0,0,0,0
"4",67,81,26,14,39
"5",0,0,0,0,0
"6",51,65,28,4,41
"7",51,64,30,5,43
"8",0,0,0,0,0
"9",61,75,26,11,32
"10",0,0,0,0,0
"11",0,0,0,0,0
"12",68,80,32,6,42
"13",0,0,0,0,0
"14",59,58,31,8,36
"15",50,83,30,3,34
"16",0,0,0,0,0
"17",0,0,0,0,0
"18",48,81,34,15,37
"19",53,74,29,12,33
"20",63,78,29,7,37
"21",0,0,1,0,0
"22",0,0,0,0,0
"23",47,71,41,8,40
"24",0,0,0,0,0
"25",66,81,33,9,36
"26",65,73,35,5,37
"27",65,82,26,5,37
"28",61,70,37,9,27
"29",58,70,30,8,36
"30",0,0,0,0,0
"31",0,0,0,0,0
"32",51,70,32,7,44
"33",48,78,28,10,34
"34",0,0,0,0,0
"35",57,79,37,9,35
"36",59,81,34,6,42
"37",58,70,29,7,33
"38",44,62,20,10,34
"39",63,81,39,6,35
"40",41,63,28,3,28
"41",57,79,33,8,38
"42",0,0,0,0,0
"43",58,65,32,8,34
"44",0,0,0,0,0
"45",48,65,34,9,38
"46",0,1,0,0,0
"47",66,87,34,12,33
"48",0,0,0,0,0
"49",45,68,38,6,39
"50",59,79,29,9,25
"51",0,0,0,0,0
"52",68,73,34,8,42
"53",58,83,29,11,43
"54",56,58,24,10,29
"55",0,0,0,0,0
"56",65,68,28,6,42
"57",56,67,33,9,36
"58",57,77,27,9,39
"59",59,64,36,10,30
"60",58,80,35,5,37
"61",0,0,0,0,0
"62",55,69,33,11,31
"63",60,65,34,12,40
"64",58,69,33,10,28
"65",0,0,0,0,0
"66",47,74,31,8,35
"67",0,0,0,0,0
"68",60,62,26,8,42
"69",53,83,33,10,41
"70",56,80,28,9,42
"71",56,75,32,8,40
"72",0,0,0,0,0
"73",44,65,28,6,39
"74",50,68,27,8,33
"75",35,82,36,9,35
"76",0,0,0,0,0
"77",55,86,32,7,37
"78",56,79,23,9,39
"79",60,70,29,6,40
"80",0,0,0,0,0
"81",53,81,34,8,33
"82",54,71,30,8,31
"83",56,68,33,8,49
"84",53,68,30,11,39
"85",0,0,0,0,0
"86",50,74,32,12,33
"87",0,0,0,0,0
"88",60,93,27,5,36
"89",0,0,0,0,0
"90",49,90,26,8,40
"91",0,0,0,0,0
"92",62,79,23,5,32
"93",0,0,0,0,0
"94",62,60,34,16,29
"95",63,59,24,14,36
"96",72,78,30,7,31
"97",52,77,33,6,40
"98",59,71,30,9,46
"99",0,1,0,0,0
"100",47,61,27,9,31
"101",51,93,29,9,39
"102",62,67,29,6,43
"103",59,72,32,7,32
"104",0,0,0,0,0
"105",75,70,27,7,26
"106",0,0,0,0,0
"107",57,88,38,6,31
"108",59,68,17,6,34
"109",56,66,30,12,32
"110",0,0,0,0,0
"111",60,63,30,7,42
"112",63,82,35,6,35
"113",68,71,36,11,33
"114",61,77,40,10,36
"115",50,84,30,7,40
"116",62,78,37,8,36
"117",49,62,28,7,33
"118",56,60,35,9,35
"119",0,0,0,0,0
"120",64,74,32,12,28
"121",0,0,0,0,0
"122",46,78,46,7,31
"123",55,85,30,10,30
"124",64,73,30,10,44
"125",40,70,33,9,37
"126",0,0,0,0,0
"127",63,61,30,10,35
"128",0,0,0,0,0
"129",63,76,34,7,39
"130",0,0,0,0,0
"131",0,1,0,0,0
"132",63,80,27,5,30
"133",0,0,0,0,0
"134",0,0,0,0,0
"135",53,69,28,17,33
"136",68,85,32,9,31
