"contacts","Npop","Isolate","Limit","Onset","Fate","Tcheck","lock","self"
"null_model_mixed",2000,"NO",0,0,"D","NO","NO","NO"
"null_model_mixed",2000,"NO",10,0,"D","NO","NO","NO"
"null_model_mixed",2000,"NO",25,0,"D","NO","NO","NO"
"null_model_mixed",2000,"NO",50,0,"D","NO","NO","NO"
"null_model_mixed",2000,"NO",100,0,"D","NO","NO","NO"
"null_model_mixed",2000,"NO",250,0,"D","NO","NO","NO"
"null_model_mixed",2000,"NO",500,0,"D","NO","NO","NO"
"null_model_mixed",2000,"NO",2000,0,"D","NO","NO","NO"
