"contacts","Npop","Isolate","Limit","Onset","Fate","Tcheck","lock","self"
"shield_cont2_age3_age2_20",2000,"NO",0,0,"D","YES","NO","NO"
"shield_cont2_age3_age2_20",2000,"NO",0,0,"D","YES",0.5,"NO"
"shield_cont2_age3_age2_20",2000,"NO",0,0,"D","YES",0.9,"NO"
